App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 11:39:52 AM","57 sec","Trepn_2018.10.19_113950.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
103,3,87,2740740,100,476961,0,108,180000,109,0,111,26,111,1248000,88,960000,91,960000,93,960000,97,633600,101,633600,104,633600,106,633600,82,50,90,44,93,38,96,42,99,15,103,0,106,0,108,0,
127,3,114,2741052,125,2043553,1065674,132,180000,132,0,134,41,188,1555200,115,1248000,117,1248000,121,1555200,123,633600,125,633600,127,633600,129,633600,113,100,116,100,121,66,123,100,125,0,126,0,128,0,131,0,
202,3,190,2741300,199,1583963,606084,206,180000,206,0,207,28,288,1555200,191,1555200,193,1555200,195,1555200,197,633600,199,633600,202,633600,204,633600,189,50,192,42,195,25,196,100,199,16,201,0,204,0,205,0,
299,3,291,2741168,297,763222,0,303,180000,303,0,304,12,389,1344000,291,1555200,292,1555200,294,1555200,295,633600,297,633600,299,633600,300,633600,290,33,292,30,293,11,295,30,297,10,298,0,300,0,302,0,
401,3,391,2741188,399,342242,0,405,180000,405,0,406,7,489,1248000,392,1344000,393,1344000,395,1344000,397,633600,399,633600,401,633600,403,633600,390,36,393,11,395,11,397,0,398,9,400,0,402,0,404,0,
502,3,492,2741632,500,408934,0,506,180000,506,0,508,8,590,1555200,492,1248000,494,1248000,496,1248000,498,633600,500,633600,502,633600,504,633600,491,25,494,36,495,10,497,11,499,0,501,0,503,0,505,0,
602,3,592,2741828,599,537757,0,605,180000,606,0,607,10,691,768000,593,1555200,594,1555200,596,1555200,598,633600,599,633600,602,633600,604,633600,591,33,594,11,595,22,597,9,599,0,601,0,603,0,605,0,
714,3,695,2742304,711,142230,0,719,180000,720,0,722,9,791,1248000,696,768000,699,768000,704,768000,709,633600,712,633600,714,633600,717,633600,693,33,699,9,703,10,707,9,711,0,714,0,716,0,719,0,
801,3,793,2741912,799,683220,0,805,180000,805,0,806,15,891,1555200,793,1248000,795,1248000,796,1248000,798,633600,800,633600,801,633600,803,633600,792,50,794,40,796,36,798,11,799,0,801,0,803,0,804,0,
900,3,893,2742372,899,623798,0,903,180000,904,0,905,11,992,1555200,893,1555200,895,1555200,896,1555200,898,633600,899,633600,901,633600,902,633600,892,55,894,11,896,11,897,10,899,0,900,0,902,0,903,0,
