App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 12:09:17 PM","59 sec","Trepn_2018.10.19_120916.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
74,3,53,2705788,69,520783,0,80,180000,81,0,84,26,87,1248000,53,960000,57,960000,62,960000,66,633600,70,633600,74,633600,77,633600,50,43,56,52,60,56,65,28,68,6,73,0,76,0,79,0,
100,3,90,2706280,98,2335056,1376619,105,180000,105,0,107,42,188,1555200,91,1555200,93,1555200,95,1555200,97,633600,99,633600,100,633600,103,633600,90,100,92,50,94,100,96,100,98,25,100,0,102,0,104,0,
201,3,190,2706964,199,1405338,446901,205,180000,206,0,207,23,288,1555200,191,1555200,193,1555200,195,1555200,197,633600,199,633600,201,633600,203,633600,189,44,192,30,194,22,196,100,198,0,200,20,203,0,205,0,
302,3,291,2707264,300,651694,0,306,180000,306,0,307,12,389,1555200,292,1555200,294,1555200,297,1555200,299,633600,301,633600,302,633600,304,633600,290,33,294,22,296,20,299,11,300,0,302,0,304,0,305,0,
404,3,393,2708252,402,653918,0,408,180000,408,0,409,11,489,1555200,394,1555200,396,1555200,398,1555200,400,633600,402,633600,404,633600,406,633600,391,40,395,27,398,22,400,0,402,9,404,0,406,0,407,0,
500,3,491,2708252,498,695499,0,504,180000,504,0,505,9,589,1555200,492,1555200,493,1555200,495,1555200,497,633600,498,633600,500,633600,502,633600,490,57,493,22,495,18,496,0,498,0,500,0,501,0,503,0,
600,3,592,2708972,598,609457,0,604,180000,604,0,606,11,690,1555200,592,1555200,594,1555200,595,1555200,597,633600,599,633600,601,633600,602,633600,591,44,593,20,595,11,597,10,598,0,600,0,602,0,604,0,
702,3,692,2709308,700,539196,0,706,180000,706,0,707,9,790,1555200,693,1555200,694,1555200,696,1555200,698,633600,700,633600,702,633600,704,633600,691,44,694,9,696,20,698,0,700,9,702,0,704,0,705,0,
802,3,793,2710016,800,573607,0,806,180000,806,0,807,12,890,1555200,793,1555200,795,1555200,797,1555200,799,633600,801,633600,802,633600,804,633600,791,60,794,11,796,0,798,9,800,0,802,0,804,0,805,0,
904,3,893,2710264,902,652478,0,908,180000,908,0,910,7,991,1555200,894,1555200,896,1555200,898,1555200,900,633600,903,633600,904,633600,906,633600,892,60,896,11,898,20,900,0,902,0,904,0,906,0,908,0,
1002,3,993,2710512,1000,478172,0,1006,180000,1006,0,1007,8,1092,384000,994,1555200,995,1555200,997,1555200,999,633600,1000,633600,1002,633600,1004,633600,992,44,995,10,997,10,998,0,1000,11,1002,0,1003,0,1005,0,
1118,3,1097,2710760,1114,55367,0,1124,180000,1125,0,1128,11,1192,1248000,1098,384000,1103,384000,1107,460800,1112,633600,1115,633600,1118,633600,1121,633600,1096,0,1102,0,1106,18,1111,23,1114,8,1117,0,1121,0,1124,0,
1203,3,1194,2711308,1201,648311,0,1207,180000,1208,0,1209,16,1293,1555200,1195,1248000,1197,1248000,1198,1248000,1200,633600,1202,633600,1203,633600,1205,633600,1194,66,1196,20,1198,16,1200,28,1201,0,1203,0,1205,0,1207,0,
1302,3,1294,2711804,1301,853241,0,1305,180000,1306,0,1307,9,1393,1555200,1295,1555200,1296,1555200,1298,1555200,1299,633600,1301,633600,1302,633600,1304,633600,1294,54,1296,20,1297,20,1299,25,1300,0,1302,0,1303,0,1305,0,
1403,3,1395,2712116,1401,301143,0,1406,180000,1407,0,1408,6,1494,1555200,1395,1555200,1396,1555200,1398,1555200,1400,633600,1401,633600,1403,633600,1404,633600,1394,22,1396,0,1397,9,1399,11,1401,0,1403,0,1404,0,1406,0,
1506,3,1497,2712364,1504,408695,0,1509,180000,1510,0,1512,6,1595,1555200,1497,1555200,1499,1555200,1501,1555200,1502,633600,1504,633600,1506,633600,1508,633600,1496,20,1498,9,1500,10,1502,18,1504,0,1505,0,1507,0,1509,0,
1604,3,1597,2712664,1602,430205,0,1606,180000,1607,0,1608,9,1696,1555200,1597,1555200,1599,1555200,1600,1555200,1601,633600,1603,633600,1604,633600,1605,633600,1596,40,1598,0,1600,10,1601,10,1602,0,1604,0,1605,0,1606,0,
1711,3,1699,2713108,1708,286803,0,1715,180000,1716,0,1717,6,1796,1555200,1700,1555200,1702,1555200,1704,1555200,1707,633600,1709,633600,1712,633600,1713,633600,1698,30,1702,0,1704,10,1706,0,1708,0,1711,0,1713,0,1715,0,
1806,3,1798,2713592,1804,490759,0,1810,180000,1810,0,1811,9,1898,460800,1799,1555200,1800,1555200,1802,1555200,1803,633600,1805,633600,1806,633600,1807,633600,1797,55,1800,11,1801,0,1803,0,1804,10,1806,0,1807,0,1809,0,
