App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 01:31:02 PM","57 sec","Trepn_2018.10.19_133101.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
127,3,113,2643288,124,460797,0,132,180000,132,0,134,19,134,1248000,114,960000,118,1248000,120,1248000,122,633600,125,633600,127,633600,130,633600,112,47,117,28,119,36,121,28,124,5,127,0,129,0,131,0,
147,3,137,2643532,145,2363681,1463447,151,180000,151,0,152,40,188,1555200,137,1478400,139,1478400,141,1478400,143,633600,145,633600,147,633600,149,633600,136,66,138,100,140,100,142,100,144,33,146,0,148,0,150,0,
201,3,191,2644044,199,1633996,733762,205,180000,206,0,207,26,289,1555200,191,1555200,193,1555200,195,1555200,197,633600,199,633600,201,633600,203,633600,190,50,192,100,194,33,196,40,198,20,201,0,203,0,205,0,
299,3,291,2644532,297,788710,0,302,180000,302,0,304,14,389,1555200,291,1555200,293,1555200,294,1555200,296,633600,297,633600,299,633600,301,633600,290,22,292,55,294,22,295,11,297,0,299,0,300,0,302,0,
401,3,392,2645084,399,709839,0,405,180000,406,0,407,9,490,1555200,392,1555200,394,1555200,396,1555200,398,633600,400,633600,402,633600,404,633600,391,33,393,36,395,10,397,20,399,0,401,0,403,0,405,0,
500,3,492,2645868,499,630968,0,503,180000,504,0,505,11,590,1555200,492,1555200,494,1555200,496,1555200,497,633600,499,633600,500,633600,502,633600,491,37,494,33,496,18,497,0,498,0,500,0,502,0,503,0,
605,3,593,2646168,602,745689,0,609,180000,610,0,611,10,690,1555200,594,1555200,596,1555200,598,1555200,600,633600,602,633600,605,633600,607,633600,592,55,596,9,597,40,599,0,602,0,604,0,607,0,609,0,
700,3,692,2646088,698,752859,0,703,180000,703,0,704,14,791,1555200,693,1555200,694,1555200,696,1555200,697,633600,698,633600,700,633600,701,633600,691,66,694,11,695,10,697,18,698,0,699,0,701,0,702,0,
802,3,793,2646612,800,752859,0,805,180000,806,0,807,11,891,1555200,793,1555200,795,1555200,797,1555200,799,633600,801,633600,802,633600,803,633600,792,50,795,18,796,10,798,27,800,0,802,0,803,0,805,0,
902,3,893,2646860,900,473226,0,906,180000,906,0,907,11,992,1555200,894,1555200,895,1555200,897,1555200,899,633600,901,633600,902,633600,904,633600,892,44,895,11,897,0,898,11,900,0,902,0,903,0,905,0,
