device,subject,browser,Memory Usage [KB],CPU3 Load [%],CPU3 Frequency [kHz],CPU2 Frequency [kHz],CPU5 Load [%],CPU6 Load [%],CPU5 Frequency [kHz],CPU4 Load [%],CPU8 Load [%],CPU Load [%],Battery Status,CPU6 Frequency [kHz],CPU4 Frequency [kHz],GPU Frequency [KHz],duration(s),CPU2 Load [%],CPU1 Frequency [kHz],Battery Power* [uW],CPU8 Frequency [kHz],CPU7 Frequency [kHz],GPU Load [%],CPU1 Load [%],CPU7 Load [%]
nexus6p,dojo2,comandroidchrome,2716160.2548262547,16.961389961389962,1329516.6023166024,1330193.0501930502,21.592664092664094,11.313346228239846,1054925.0965250966,16.332046332046332,6.692456479690522,17.87814313346228,3.0,1053924.3243243243,1328478.7644787645,183868.47195357832,58,21.333976833976834,1336837.0656370656,339996.1447876448,1058636.750483559,1057782.5918762088,1.9961315280464216,43.245173745173744,7.427466150870406
nexus6p,dojo2,comandroidchrome,2703865.9076923076,19.73846153846154,1351578.4615384615,1353092.3076923077,23.552986512524086,8.339113680154142,1057368.7861271675,15.084615384615384,4.699421965317919,17.612716763005782,3.0,1056554.9132947978,1352944.6153846155,184576.10789980734,58,20.982692307692307,1354089.2307692308,373257.67437379574,1056406.936416185,1057479.7687861272,2.098265895953757,44.02884615384615,6.5626204238921
nexus6p,dojo2,comandroidchrome,2692055.1603053436,18.948473282442748,1353425.9541984734,1354525.1908396946,22.16793893129771,9.48091603053435,1052592.3664122138,15.778625954198473,5.456106870229007,17.797323135755256,3.0,1055230.5343511452,1350870.2290076336,184532.4427480916,59,22.282442748091604,1353810.6870229007,413537.5171755725,1053545.0381679388,1055340.4580152673,2.30019120458891,43.76335877862596,6.75763358778626
nexus6p,dojo2,comandroidchrome,2716124.9010526314,18.610526315789475,1273192.4210526317,1274233.2631578948,18.36842105263158,9.429473684210526,1020793.2631578947,15.67578947368421,5.227848101265823,16.780590717299578,3.0,1021116.6315789474,1275324.6315789474,181845.99156118144,58,19.153684210526315,1278214.7368421052,294638.9115789474,1018936.7088607595,1020637.9746835442,1.5654008438818565,42.305263157894736,7.624472573839663
nexus6p,dojo2,comandroidchrome,2709657.7888675625,18.603846153846153,1319364.2994241843,1321990.019193858,20.246153846153845,11.561538461538461,1058215.3846153845,16.71153846153846,6.338461538461538,18.03076923076923,3.0,1059950.7692307692,1321320.0,183365.38461538462,58,21.888675623800385,1324449.9040307102,390707.2711538462,1056110.7692307692,1058289.2307692308,1.0538461538461539,44.23800383877159,6.4423076923076925
nexus6p,dojo2,comandroidchrome,2721681.6724470137,18.51930501930502,1309909.8265895953,1309373.4104046242,20.60810810810811,9.872586872586872,1046251.7374517374,16.69111969111969,7.104247104247104,18.22200772200772,3.0,1045436.2934362935,1310687.2586872587,184826.25482625482,58,22.473988439306357,1311482.0809248555,427469.8725868726,1045658.6872586872,1046288.8030888031,2.0424710424710426,43.24470134874759,9.218146718146718
nexus6p,dojo2,comandroidchrome,2692126.9865642996,19.119001919385795,1316655.6621880997,1316646.4491362765,19.42226487523992,12.055662188099808,1038568.905950096,15.18042226487524,5.217307692307692,17.698076923076922,3.0,1039637.6199616123,1318544.3378119003,183365.38461538462,59,20.90595009596929,1319815.7389635316,400119.1458733205,1042633.8461538461,1042892.3076923077,2.453846153846154,43.341650671785025,8.838461538461539
nexus6p,dojo2,comandroidchrome,2697068.935361217,18.752851711026615,1327756.6539923954,1328760.4562737644,21.747148288973385,10.653992395437262,1039902.6615969582,18.098859315589355,4.570342205323194,17.895238095238096,3.0,1038552.0912547528,1330786.3117870723,182614.06844106465,58,21.29657794676806,1334920.1520912547,358333.2927756654,1039574.144486692,1038479.0874524715,1.3250950570342206,43.98098859315589,5.891634980988593
nexus6p,dojo2,comandroidchrome,2705696.061776062,18.52998065764023,1337872.3404255318,1339431.6602316601,22.009671179883945,9.570599613152805,1068849.5164410057,16.02127659574468,6.286266924564797,17.895551257253384,3.0,1069777.9497098646,1336869.6324951644,183626.69245647968,58,20.476833976833976,1337819.305019305,427251.2843326886,1067921.083172147,1068218.1818181819,1.553191489361702,43.61776061776062,8.479690522243713
nexus6p,dojo2,comandroidchrome,2703329.126213592,18.46990291262136,1316719.2233009709,1317530.0970873786,20.95145631067961,12.551456310679612,1064798.4466019417,16.376699029126215,6.531128404669261,17.961089494163424,3.0,1064052.8155339805,1319776.3106796117,183647.859922179,58,20.928155339805826,1318723.1067961166,391636.4854368932,1064947.572815534,1062561.5533980583,1.9708171206225682,44.05825242718446,6.137864077669903
nexus6p,dojo2,comandroidchrome,2719089.939914163,20.15236051502146,1284700.4291845493,1287285.8369098713,23.60430107526882,10.21505376344086,1058229.677419355,17.393548387096775,6.320430107526882,18.329032258064515,3.0,1058229.677419355,1290105.8064516129,182419.35483870967,58,21.324034334763947,1298142.4892703863,388654.7462365591,1054678.7096774194,1057238.7096774194,1.621505376344086,42.44206008583691,7.2387096774193544
