App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 05:07:28 PM","58 sec","Trepn_2018.10.19_170727.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
102,3,89,2674432,99,522062,0,107,180000,108,0,109,23,110,1248000,90,960000,92,960000,95,960000,98,633600,100,633600,102,633600,105,633600,88,42,92,40,95,36,97,33,99,15,102,0,104,0,107,0,
123,3,112,2674432,121,1825244,797510,127,180000,128,0,129,41,189,1555200,113,1248000,115,1248000,117,1248000,119,633600,121,633600,123,633600,125,633600,111,100,114,100,116,66,119,100,121,0,123,0,125,0,127,0,
204,3,192,2674916,201,1355959,328225,207,180000,208,0,209,22,289,1555200,192,1555200,195,1555200,197,1555200,199,633600,202,633600,204,633600,206,633600,191,50,194,33,196,0,199,100,201,25,203,0,205,0,207,0,
302,3,291,2675336,300,695499,0,306,180000,306,0,308,15,389,1555200,291,1555200,293,1555200,297,1555200,298,633600,300,633600,302,633600,304,633600,290,33,292,0,296,20,298,44,300,0,302,0,304,0,305,0,
404,3,393,2675680,402,641331,0,408,180000,408,0,410,8,490,1555200,394,1555200,396,1555200,398,1555200,401,633600,403,633600,404,633600,406,633600,392,33,395,18,397,18,400,18,402,10,404,0,406,0,407,0,
502,3,493,2675780,501,619820,0,505,180000,506,0,507,12,590,1555200,493,1555200,495,1555200,497,1555200,498,633600,501,633600,502,633600,504,633600,491,44,494,20,496,20,498,0,500,10,502,0,504,0,505,0,
600,3,592,2676028,598,645308,0,603,180000,603,0,604,12,691,1555200,593,1555200,594,1555200,596,1555200,597,633600,599,633600,600,633600,602,633600,591,60,594,0,595,12,597,18,598,0,600,0,601,0,603,0,
702,3,693,2676328,700,760029,0,707,180000,708,0,709,10,791,1555200,694,1555200,696,1555200,697,1555200,699,633600,701,633600,704,633600,706,633600,692,50,695,9,697,27,699,20,700,0,702,0,706,0,707,0,
804,3,794,2675612,802,734542,0,808,180000,808,0,810,14,892,1555200,794,1555200,796,1555200,798,1555200,800,633600,802,633600,804,633600,806,633600,793,50,796,11,798,12,800,27,802,10,804,0,806,0,807,0,
908,3,895,2675664,905,673988,0,913,180000,914,0,915,12,992,1555200,896,1555200,898,1555200,901,1555200,903,633600,906,633600,908,633600,911,633600,894,54,898,10,900,10,902,20,905,0,907,0,910,0,913,0,
1003,3,995,2675468,1002,516246,0,1008,180000,1008,0,1009,9,1092,1555200,995,1555200,997,1555200,999,1555200,1000,633600,1002,633600,1004,633600,1006,633600,994,42,996,0,998,30,1000,0,1001,0,1003,0,1006,0,1007,0,
1103,3,1095,2675716,1101,881921,0,1106,180000,1106,0,1107,13,1193,1555200,1095,1555200,1096,1555200,1098,1555200,1100,633600,1102,633600,1103,633600,1104,633600,1094,66,1096,10,1098,27,1100,20,1101,0,1103,0,1104,0,1106,0,
1202,3,1195,2675716,1201,444545,0,1205,180000,1205,0,1206,10,1294,1555200,1195,1555200,1196,1555200,1198,1555200,1199,633600,1201,633600,1202,633600,1204,633600,1194,40,1196,0,1197,22,1199,0,1200,0,1202,0,1203,0,1205,0,
1308,3,1296,2675964,1306,358504,0,1314,180000,1315,0,1316,9,1394,1555200,1297,1555200,1299,1555200,1301,1555200,1304,633600,1307,633600,1310,633600,1312,633600,1295,9,1298,16,1300,25,1303,0,1306,0,1308,0,1312,0,1314,0,
1404,3,1396,2676212,1402,784733,0,1407,180000,1407,0,1408,11,1494,1555200,1396,1555200,1398,1555200,1399,1555200,1401,633600,1402,633600,1404,633600,1405,633600,1395,66,1397,0,1399,11,1400,30,1402,10,1403,0,1405,0,1406,0,
1506,3,1497,2676368,1504,440568,0,1509,180000,1510,0,1511,8,1595,460800,1497,1555200,1499,1555200,1501,1555200,1502,633600,1504,633600,1506,633600,1508,633600,1496,30,1499,9,1500,10,1502,10,1504,10,1506,0,1507,0,1509,0,
1619,3,1600,2676200,1617,71573,0,1624,180000,1625,0,1626,10,1696,1344000,1601,460800,1606,460800,1610,460800,1614,633600,1617,633600,1620,633600,1622,633600,1599,12,1605,9,1609,11,1613,18,1617,9,1619,0,1621,0,1624,0,
1707,3,1698,2676252,1705,533334,0,1711,180000,1711,0,1712,13,1796,1555200,1698,1344000,1700,1344000,1702,1478400,1704,633600,1706,633600,1708,633600,1709,633600,1697,58,1700,0,1702,11,1703,22,1705,0,1707,0,1709,0,1711,0,
1804,3,1798,2676108,1803,580777,0,1807,180000,1808,0,1809,7,1897,960000,1798,1555200,1799,1555200,1801,1555200,1802,633600,1803,633600,1804,633600,1806,633600,1797,40,1799,10,1800,11,1801,20,1803,0,1804,0,1805,0,1807,0,
1914,3,1900,2676352,1911,154310,0,1918,180000,1918,0,1919,6,1997,1555200,1901,960000,1904,960000,1906,960000,1909,633600,1912,633600,1915,633600,1916,633600,1899,20,1903,0,1906,0,1908,27,1911,0,1914,0,1916,0,1917,0,
2006,3,1999,2676456,2005,580777,0,2009,180000,2010,0,2011,11,2097,1555200,1999,1555200,2001,1555200,2002,1555200,2003,633600,2005,633600,2006,633600,2008,633600,1998,50,2000,0,2002,20,2003,11,2004,0,2006,0,2007,0,2009,0,
2106,3,2099,2676508,2105,408695,0,2109,180000,2109,0,2110,6,2198,600000,2099,1555200,2101,1555200,2102,1555200,2103,633600,2105,633600,2106,633600,2108,633600,2098,12,2101,25,2102,10,2103,10,2104,0,2106,0,2107,0,2109,0,
2226,3,2204,2676508,2222,93631,0,2234,180000,2235,0,2237,13,2298,1478400,2205,600000,2210,672000,2214,672000,2218,633600,2222,633600,2228,633600,2231,633600,2202,30,2209,16,2213,10,2217,0,2221,0,2226,0,2230,0,2233,0,
2308,3,2300,2676076,2306,1120118,92384,2311,180000,2311,0,2313,15,2399,1555200,2301,1478400,2302,1478400,2304,1478400,2305,633600,2307,633600,2308,633600,2309,633600,2300,66,2302,50,2303,14,2305,40,2306,0,2308,0,2309,0,2311,0,
2407,3,2401,2675684,2406,573607,0,2410,180000,2410,0,2411,7,2499,1555200,2401,1555200,2402,1555200,2403,1555200,2405,633600,2406,633600,2407,633600,2409,633600,2400,50,2402,10,2403,20,2404,0,2406,0,2407,0,2408,0,2409,0,
2513,3,2502,2675700,2509,200762,0,2516,180000,2517,0,2518,5,2600,1555200,2502,1555200,2504,1555200,2505,1555200,2507,633600,2509,633600,2513,633600,2515,633600,2501,18,2503,10,2505,0,2507,0,2509,0,2513,0,2514,0,2516,0,
2612,3,2603,2675848,2610,566437,0,2615,180000,2616,0,2617,11,2701,1555200,2604,1555200,2605,1555200,2607,1555200,2608,633600,2610,633600,2612,633600,2613,633600,2601,58,2605,10,2606,0,2608,11,2610,0,2611,0,2613,0,2615,0,
2709,3,2703,2675704,2708,509076,0,2712,180000,2712,0,2713,6,2801,1555200,2703,1555200,2704,1555200,2706,1555200,2707,633600,2708,633600,2709,633600,2711,633600,2702,33,2704,0,2705,18,2707,20,2708,0,2709,0,2710,0,2712,0,
2812,3,2803,2675704,2810,344164,0,2815,180000,2816,0,2817,9,2901,1555200,2804,1555200,2806,1555200,2807,1555200,2809,633600,2810,633600,2812,633600,2813,633600,2802,20,2805,0,2807,18,2808,10,2810,0,2811,0,2813,0,2815,0,
2910,3,2903,2676064,2908,587947,0,2912,180000,2913,0,2914,5,3002,1555200,2904,1555200,2905,1555200,2906,1555200,2907,633600,2909,633600,2910,633600,2911,633600,2903,44,2905,0,2906,11,2907,27,2908,0,2910,0,2911,0,2912,0,
3011,3,3004,2676312,3010,78871,0,3014,180000,3015,0,3016,6,3102,1555200,3004,1555200,3005,1555200,3007,1555200,3008,633600,3010,633600,3011,633600,3013,633600,3003,0,3005,0,3007,0,3008,11,3009,0,3011,0,3013,0,3014,0,
3114,3,3105,2676364,3112,659648,0,3117,180000,3118,0,3119,9,3203,1555200,3105,1555200,3107,1555200,3108,1555200,3110,633600,3112,633600,3114,633600,3115,633600,3104,44,3106,20,3108,18,3110,10,3112,0,3113,0,3115,0,3117,0,
3212,3,3205,2676468,3210,437375,0,3215,180000,3215,0,3216,5,3303,1555200,3205,1555200,3206,1555200,3208,1555200,3209,633600,3211,633600,3212,633600,3214,633600,3204,30,3206,9,3208,0,3209,22,3210,0,3212,0,3213,0,3215,0,
3314,3,3305,2676272,3312,344164,0,3317,180000,3318,0,3319,7,3403,1555200,3306,1555200,3307,1555200,3309,1555200,3311,633600,3312,633600,3314,633600,3316,633600,3304,27,3307,10,3309,0,3310,11,3312,0,3314,0,3315,0,3317,0,
3412,3,3405,2676324,3410,752859,0,3414,180000,3415,0,3415,11,3504,1555200,3405,1555200,3407,1555200,3408,1555200,3409,633600,3411,633600,3412,633600,3413,633600,3404,40,3406,18,3408,20,3409,27,3410,0,3412,0,3413,0,3414,0,
3515,3,3508,2676564,3513,222272,0,3518,180000,3518,0,3519,6,3605,1555200,3508,1555200,3509,1555200,3511,1555200,3512,633600,3514,633600,3515,633600,3516,633600,3506,11,3509,0,3511,9,3512,11,3513,0,3515,0,3516,0,3518,0,
3614,3,3607,2676812,3612,544927,0,3617,180000,3617,0,3618,9,3705,1555200,3607,1555200,3609,1555200,3610,1555200,3611,633600,3613,633600,3614,633600,3615,633600,3606,55,3608,11,3610,0,3611,10,3612,0,3614,0,3615,0,3616,0,
3718,3,3708,2676812,3715,136231,0,3722,180000,3723,0,3724,3,3806,1555200,3709,1555200,3711,1555200,3712,1555200,3714,633600,3716,633600,3718,633600,3720,633600,3706,10,3711,0,3712,9,3714,0,3715,0,3718,0,3720,0,3722,0,
3821,3,3809,2675736,3818,849683,0,3825,180000,3825,0,3827,14,3906,1555200,3809,1555200,3812,1555200,3814,1555200,3817,768000,3819,768000,3821,633600,3823,633600,3807,54,3811,30,3814,10,3816,18,3818,20,3821,0,3823,0,3824,0,
3916,3,3908,2675588,3914,501906,0,3919,180000,3919,0,3920,9,4007,1555200,3909,1555200,3910,1555200,3912,1555200,3913,633600,3914,633600,3916,633600,3917,633600,3907,28,3910,11,3911,11,3913,20,3914,0,3915,0,3917,0,3918,0,
4023,3,4011,2675588,4021,279633,0,4026,180000,4027,0,4028,6,4107,1555200,4012,1555200,4014,1555200,4017,1555200,4019,633600,4021,633600,4023,633600,4025,633600,4009,22,4014,9,4016,0,4019,8,4021,0,4023,0,4024,0,4026,0,
4118,3,4109,2676084,4116,648501,0,4121,180000,4122,0,4123,10,4207,1555200,4110,1555200,4111,1555200,4113,1555200,4115,633600,4116,633600,4118,633600,4120,633600,4108,50,4111,18,4112,20,4114,0,4116,10,4118,0,4119,0,4121,0,
4217,3,4210,2671628,4215,523416,0,4221,180000,4221,0,4223,8,4308,1555200,4210,1555200,4211,1555200,4213,1555200,4214,633600,4216,633600,4217,633600,4219,633600,4209,44,4211,11,4212,0,4214,18,4215,0,4217,0,4218,0,4220,0,
4326,3,4312,2679104,4324,623013,0,4330,180000,4330,0,4332,14,4408,1555200,4313,1555200,4316,1555200,4319,1555200,4322,633600,4324,633600,4326,633600,4328,633600,4311,54,4316,10,4319,8,4321,10,4324,20,4326,0,4328,0,4329,0,
4418,3,4411,2679352,4417,657424,0,4422,180000,4422,0,4424,8,4509,384000,4411,1555200,4412,1555200,4414,1555200,4415,633600,4417,633600,4418,633600,4420,633600,4410,66,4412,12,4414,11,4415,0,4416,11,4418,0,4419,0,4421,0,
4538,3,4515,2679696,4532,42729,0,4550,180000,4551,0,4555,8,4610,600000,4516,384000,4520,460800,4524,460800,4528,633600,4533,633600,4539,633600,4544,633600,4513,18,4519,8,4524,18,4528,0,4531,0,4537,0,4543,0,4548,0,
4629,3,4614,2679944,4626,226499,0,4635,180000,4635,0,4637,15,4710,1478400,4615,600000,4618,768000,4621,768000,4624,633600,4627,633600,4629,633600,4633,633600,4612,63,4617,25,4620,25,4623,11,4626,0,4629,0,4632,0,4634,0,
4720,3,4712,2680244,4718,744549,0,4723,180000,4724,0,4725,13,4811,1555200,4713,1478400,4714,1478400,4716,1478400,4717,633600,4719,633600,4720,633600,4722,633600,4711,55,4714,22,4715,36,4717,0,4718,0,4720,0,4721,0,4723,0,
4821,3,4813,2680456,4820,602287,0,4825,180000,4825,0,4826,7,4911,1555200,4814,1555200,4815,1555200,4817,1555200,4818,633600,4820,633600,4822,633600,4823,633600,4812,44,4815,20,4817,20,4818,0,4820,0,4821,0,4823,0,4824,0,
4924,3,4914,2680704,4922,71700,0,4928,180000,4929,0,4931,6,5012,1555200,4915,1555200,4917,1555200,4919,1555200,4921,633600,4923,633600,4925,633600,4926,633600,4913,0,4916,0,4918,10,4920,0,4922,0,4924,0,4926,0,4928,0,
5027,3,5015,2681532,5025,1055443,27709,5031,180000,5031,0,5033,17,5112,1555200,5016,1555200,5018,1555200,5021,1555200,5023,633600,5025,633600,5027,633600,5029,633600,5014,55,5017,40,5020,30,5022,20,5025,9,5027,0,5028,0,5030,0,
5123,3,5115,2682360,5121,1375504,347770,5127,180000,5127,0,5128,21,5213,1344000,5115,1555200,5117,1555200,5118,1555200,5120,1824000,5122,1824000,5123,1824000,5125,1824000,5114,60,5116,11,5118,20,5120,0,5121,77,5123,0,5125,0,5126,0,
5220,3,5215,2683600,5219,1291601,263867,5222,180000,5223,0,5223,17,5313,1555200,5215,1344000,5216,1344000,5218,1344000,5219,1958400,5220,1958400,5221,1958400,5222,1958400,5214,30,5216,0,5218,0,5219,11,5219,100,5220,10,5221,0,5222,0,
5318,3,5314,2683968,5317,1848067,820333,5320,180000,5320,0,5320,27,5413,1555200,5315,1555200,5315,1555200,5316,1555200,5317,1958400,5317,1958400,5318,1958400,5319,1958400,5314,44,5315,40,5316,0,5317,11,5317,100,5318,10,5319,0,5319,0,
5419,3,5415,2686432,5418,1582774,555040,5420,180000,5421,0,5421,20,5514,1555200,5415,1555200,5416,1555200,5416,1555200,5417,1958400,5418,1958400,5419,1958400,5420,1958400,5414,30,5416,18,5416,10,5417,0,5418,100,5418,10,5419,0,5420,0,
5524,3,5516,2648132,5521,2080021,1052287,5529,180000,5529,0,5530,47,5614,1555200,5516,1555200,5518,1555200,5519,1555200,5520,1248000,5522,1248000,5524,1248000,5527,1248000,5515,80,5517,60,5519,70,5520,50,5521,22,5523,27,5526,27,5529,16,
5621,3,5616,2645628,5620,2641276,1613542,5623,180000,5623,0,5624,45,5715,1555200,5616,1555200,5618,1555200,5619,1555200,5619,1248000,5620,1248000,5621,1248000,5622,1248000,5615,90,5617,55,5618,60,5619,66,5620,70,5621,22,5622,11,5623,10,
5730,3,5719,2646244,5728,1046172,18438,5732,180000,5732,0,5733,30,5815,1555200,5720,1555200,5722,1555200,5724,1555200,5727,1958400,5729,1958400,5731,1958400,5732,1958400,5718,57,5721,12,5724,20,5726,27,5728,0,5730,8,5731,9,5732,100,
5820,3,5817,2647392,5819,3188908,2161174,5822,180000,5822,0,5822,30,5916,1555200,5817,1555200,5818,1555200,5818,1555200,5819,1958400,5820,1958400,5820,1958400,5821,1958400,5816,80,5817,33,5818,28,5819,33,5819,66,5820,0,5821,0,5821,22,
5921,3,5917,2652184,5920,1434726,406992,5922,180000,5922,0,5923,31,6016,1555200,5917,1555200,5918,1555200,5919,1555200,5919,1958400,5920,1958400,5921,1958400,5922,1958400,5917,72,5918,30,5919,33,5919,0,5920,22,5921,0,5921,0,5922,70,
6021,3,6017,2654636,6020,2867515,1839781,6023,180000,6023,0,6023,35,6117,1555200,6018,1555200,6018,1555200,6019,1555200,6020,1958400,6020,1958400,6021,1958400,6022,1958400,6017,81,6018,40,6019,27,6019,30,6020,80,6021,18,6022,0,6022,10,
6122,3,6118,2657412,6121,2248591,1220857,6124,180000,6124,0,6125,45,6219,1555200,6118,1555200,6119,1555200,6120,1555200,6121,1958400,6121,1958400,6122,1958400,6123,1958400,6118,71,6119,50,6120,55,6120,37,6121,40,6122,22,6123,0,6124,60,
6223,3,6220,2659292,6222,2908947,1881213,6225,180000,6225,0,6225,46,6319,1555200,6220,1555200,6221,1555200,6221,1555200,6222,1958400,6222,1958400,6223,1958400,6224,1958400,6219,90,6220,63,6221,54,6222,33,6222,30,6223,80,6224,30,6224,0,
6324,3,6320,2660076,6323,2405866,1378132,6325,180000,6325,0,6325,20,6419,1555200,6321,1555200,6321,1555200,6322,1555200,6322,1958400,6323,1958400,6324,1958400,6324,1958400,6320,60,6321,37,6322,11,6322,50,6323,10,6323,10,6324,0,6325,0,
6424,3,6421,2660404,6424,1661993,634259,6426,180000,6426,0,6426,28,6522,1555200,6421,1555200,6422,1555200,6423,1555200,6423,1958400,6424,1958400,6424,1958400,6425,1958400,6420,70,6422,100,6423,22,6423,25,6424,0,6424,9,6425,0,6425,0,
6529,3,6523,2660364,6528,1407601,379867,6531,180000,6531,0,6532,22,6622,1555200,6523,1555200,6525,1555200,6526,1555200,6527,960000,6528,960000,6529,960000,6530,960000,6523,45,6524,100,6525,11,6526,27,6527,0,6529,0,6530,0,6531,0,
6633,3,6624,2660364,6631,946452,0,6636,180000,6637,0,6638,21,6723,1555200,6625,1555200,6626,1555200,6628,1555200,6630,633600,6631,633600,6633,633600,6635,633600,6624,22,6626,100,6628,10,6629,0,6631,0,6633,18,6634,0,6636,0,
6733,3,6725,2660460,6731,1329346,301612,6737,180000,6737,0,6740,24,6823,1555200,6725,1555200,6727,1555200,6728,1555200,6730,768000,6732,768000,6733,768000,6735,768000,6724,50,6727,100,6728,11,6730,20,6731,0,6733,10,6735,0,6736,0,
6836,3,6826,2659284,6834,1206382,178648,6841,180000,6842,0,6843,21,6924,1555200,6826,1555200,6828,1555200,6830,1555200,6832,633600,6834,633600,6837,633600,6839,633600,6825,45,6828,100,6830,0,6832,20,6833,0,6836,0,6838,0,6841,0,
6941,3,6928,2659284,6939,1084123,56389,6945,180000,6945,0,6946,20,7024,1555200,6929,1555200,6932,1555200,6935,1555200,6937,633600,6939,633600,6941,633600,6943,633600,6926,30,6931,100,6934,10,6937,9,6939,9,6941,0,6943,0,6944,0,
7040,3,7027,2662760,7038,1998792,971058,7043,180000,7043,0,7044,36,7124,1555200,7028,1555200,7030,1555200,7032,1555200,7035,1824000,7039,1824000,7040,1824000,7042,1824000,7026,70,7029,70,7032,22,7034,12,7038,80,7040,20,7041,0,7043,0,
7129,3,7126,2664992,7129,1580766,553032,7131,305000,7131,0,7131,28,7225,1555200,7126,1555200,7127,1555200,7127,1555200,7128,1958400,7129,1958400,7129,1958400,7130,1958400,7125,75,7126,33,7127,33,7128,37,7128,11,7129,75,7130,0,7130,0,
7242,3,7229,2665472,7239,1032232,4498,7245,305000,7246,0,7247,10,7326,1555200,7229,1555200,7232,1555200,7234,1555200,7236,633600,7240,633600,7242,633600,7244,633600,7228,11,7231,11,7234,0,7236,11,7238,0,7242,0,7243,7,7245,0,
7337,3,7328,2665708,7335,904557,0,7344,305000,7344,0,7345,12,7426,1555200,7329,1555200,7330,1555200,7332,1555200,7333,633600,7336,633600,7338,633600,7341,633600,7327,62,7330,22,7332,27,7333,11,7335,10,7337,0,7340,0,7343,0,
7435,3,7428,2665464,7433,896261,0,7437,305000,7438,0,7439,15,7528,672000,7428,1555200,7430,1555200,7431,1555200,7432,633600,7434,633600,7435,633600,7436,633600,7427,50,7429,30,7431,25,7432,20,7433,0,7435,0,7436,0,7437,0,
7547,3,7532,2665628,7544,256096,0,7552,305000,7553,0,7555,18,7628,672000,7532,672000,7535,672000,7538,672000,7541,633600,7545,633600,7547,633600,7550,633600,7530,45,7535,36,7538,20,7541,33,7544,0,7547,0,7549,0,7552,0,
7652,3,7632,2665628,7650,214050,0,7658,180000,7659,0,7661,13,7728,1555200,7633,672000,7638,672000,7642,672000,7646,633600,7651,633600,7653,633600,7656,633600,7630,50,7637,20,7640,20,7646,22,7649,0,7652,0,7655,0,7658,0,
7741,3,7731,2666292,7739,927664,0,7744,180000,7744,0,7745,18,7829,1248000,7731,1555200,7733,1555200,7736,1555200,7737,633600,7739,633600,7741,1248000,7743,1248000,7730,81,7733,11,7735,12,7737,20,7739,22,7741,0,7742,0,7743,0,
7850,3,7832,2667684,7847,1499682,471948,7856,180000,7857,0,7859,23,7929,1555200,7834,1248000,7837,1248000,7841,1248000,7845,1958400,7848,1958400,7850,1958400,7854,1958400,7831,50,7836,11,7840,18,7844,9,7847,100,7850,0,7853,0,7855,0,
