App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 06:21:41 PM","58 sec","Trepn_2018.10.19_182140.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
138,3,122,2730872,135,548049,0,142,180000,143,0,144,23,145,1555200,123,1248000,126,1248000,128,1248000,134,633600,136,633600,138,633600,140,633600,119,54,125,40,128,29,133,26,135,8,138,4,140,0,142,0,
159,3,147,2730872,158,2962715,1984260,163,180000,164,0,165,50,176,1555200,148,1555200,152,1555200,154,1555200,156,633600,158,633600,160,633600,162,633600,146,100,150,100,153,100,156,100,157,50,159,50,161,50,163,0,
189,3,179,2730872,187,1724070,745615,192,180000,193,0,193,41,277,1555200,179,1555200,181,1555200,183,1555200,185,1248000,187,1248000,189,1248000,191,1248000,177,33,181,33,182,100,185,50,187,0,189,50,191,0,192,0,
294,3,281,2730748,292,1600520,622065,298,180000,299,0,300,20,377,1555200,281,1555200,283,1555200,286,1555200,290,633600,293,633600,295,633600,296,633600,280,55,283,33,285,80,289,18,292,10,294,0,296,0,298,0,
388,3,379,2730996,387,724179,0,392,180000,393,0,394,13,477,1555200,380,1555200,382,1555200,383,1555200,385,633600,387,633600,389,633600,391,633600,378,50,381,18,383,33,385,0,386,0,388,0,390,0,392,0,
492,3,481,2731640,490,575047,0,496,180000,496,0,497,10,578,1555200,481,1555200,483,1555200,485,1555200,488,633600,491,633600,493,633600,494,633600,479,25,482,20,485,11,487,22,490,9,492,0,494,0,495,0,
587,3,580,2731640,586,659648,0,590,180000,591,0,592,13,678,1555200,580,1555200,581,1555200,583,1555200,584,633600,586,633600,587,633600,589,633600,579,63,581,20,583,9,584,0,585,0,587,0,588,0,590,0,
689,3,681,2731916,687,652478,0,692,180000,693,0,694,11,778,1555200,681,1555200,683,1555200,684,1555200,686,633600,688,633600,689,633600,691,633600,679,42,682,22,684,27,686,0,687,0,689,0,690,0,692,0,
789,3,781,2731576,787,677181,0,792,180000,792,0,794,12,879,1555200,782,1555200,783,1555200,784,1555200,786,633600,787,633600,789,633600,790,633600,780,45,783,18,784,11,786,18,787,10,788,0,790,0,792,0,
891,3,881,2731876,889,516246,0,895,180000,895,0,896,8,979,1555200,881,1555200,883,1555200,885,1555200,887,633600,889,633600,891,633600,893,633600,880,50,883,11,885,0,887,11,889,0,891,0,893,0,894,0,
991,3,982,2731876,989,638138,0,994,180000,995,0,996,10,1080,1555200,982,1555200,984,1555200,986,1555200,987,633600,989,633600,991,633600,993,633600,981,60,984,20,985,0,987,9,989,0,991,0,992,0,994,0,
1094,3,1083,2732228,1092,595117,0,1097,180000,1098,0,1099,12,1180,1555200,1084,1555200,1086,1555200,1088,1555200,1091,633600,1092,633600,1094,633600,1096,633600,1081,37,1085,27,1087,9,1090,10,1092,0,1094,0,1095,0,1097,0,
1190,3,1182,2731940,1188,662841,0,1193,180000,1194,0,1195,10,1280,1555200,1183,1555200,1184,1555200,1186,1555200,1187,633600,1188,633600,1190,633600,1191,633600,1182,37,1184,12,1185,30,1187,11,1188,10,1189,0,1191,0,1193,0,
1289,3,1282,2731548,1288,383207,0,1293,180000,1294,0,1295,5,1381,600000,1283,1555200,1284,1555200,1285,1555200,1287,633600,1288,633600,1290,633600,1292,633600,1282,41,1284,10,1285,0,1286,0,1288,10,1289,0,1291,0,1293,0,
1402,3,1386,2731548,1400,102060,0,1406,180000,1407,0,1409,11,1482,1478400,1387,600000,1390,600000,1393,600000,1398,633600,1400,633600,1402,633600,1404,633600,1384,33,1389,10,1393,10,1397,10,1399,0,1402,0,1404,0,1406,0,
1493,3,1484,2732104,1491,757727,0,1498,180000,1499,0,1500,12,1582,1555200,1485,1478400,1486,1478400,1488,1555200,1490,633600,1491,633600,1493,633600,1496,633600,1483,55,1486,33,1488,27,1489,0,1491,0,1493,0,1495,0,1497,0,
1593,3,1585,2731620,1591,773408,0,1597,180000,1597,0,1598,12,1684,1555200,1585,1555200,1587,1555200,1588,1555200,1590,1248000,1592,1248000,1593,1248000,1595,1248000,1584,44,1586,11,1588,22,1590,10,1591,30,1593,0,1595,0,1596,0,
1705,3,1690,2731868,1703,243783,0,1709,180000,1709,0,1710,6,1783,1555200,1690,1555200,1693,1555200,1697,1555200,1701,633600,1703,633600,1705,633600,1707,633600,1687,11,1693,8,1696,0,1700,15,1703,0,1705,0,1707,0,1708,0,
1795,3,1786,2731672,1793,666818,0,1799,180000,1799,0,1801,11,1883,1555200,1787,1555200,1788,1555200,1790,1555200,1792,633600,1794,633600,1796,633600,1797,633600,1785,70,1788,12,1790,11,1792,0,1793,0,1795,0,1797,0,1798,0,
