App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 08:14:44 PM","57 sec","Trepn_2018.10.19_201443.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
128,3,110,2706624,125,489971,0,135,180000,136,0,139,23,140,1555200,111,960000,118,1248000,120,1248000,123,633600,126,633600,128,633600,132,633600,107,43,116,40,120,30,123,33,125,4,128,4,132,0,135,0,
154,3,144,2706864,152,2962715,1891243,159,180000,159,0,161,50,182,1555200,144,1555200,146,1555200,149,1555200,151,633600,153,633600,155,633600,157,633600,142,100,146,100,148,100,150,100,152,50,154,66,156,0,158,0,
203,3,193,2707316,201,1599285,527813,207,180000,207,0,209,28,282,1555200,193,1555200,195,1555200,197,1555200,199,1248000,201,1248000,203,1248000,205,1248000,192,33,195,60,197,0,199,100,201,20,203,25,205,0,206,0,
295,3,284,2708152,293,1279060,207588,300,180000,301,0,303,16,382,1555200,285,1555200,287,1555200,289,1555200,291,633600,293,633600,295,633600,298,633600,284,44,286,25,288,37,290,55,293,0,295,0,297,0,299,0,
393,3,384,2708676,391,810220,0,396,180000,397,0,398,15,483,1555200,385,1555200,386,1555200,388,1555200,389,633600,391,633600,393,633600,394,633600,384,37,386,30,388,36,389,10,391,0,392,0,394,0,396,0,
494,3,485,2709048,491,580777,0,498,180000,499,0,500,10,583,1555200,485,1555200,486,1555200,488,1555200,490,633600,492,633600,494,633600,496,633600,484,44,486,10,488,27,489,0,491,0,493,0,496,0,498,0,
594,3,585,2709332,592,709839,0,597,180000,598,0,599,11,684,1555200,586,1555200,587,1555200,589,1555200,591,633600,592,633600,594,633600,595,633600,585,70,587,10,589,10,590,9,592,0,593,0,595,0,597,0,
694,3,686,2709828,693,731349,0,698,180000,698,0,699,11,784,1555200,686,1555200,688,1555200,690,1555200,691,633600,693,633600,695,633600,696,633600,685,55,688,12,689,25,691,10,693,0,694,0,696,0,697,0,
795,3,786,2709984,793,659648,0,798,180000,799,0,800,12,885,1555200,787,1555200,788,1555200,790,1555200,792,633600,793,633600,795,633600,796,633600,786,44,788,10,790,18,791,20,793,0,794,0,796,0,798,0,
895,3,887,2709984,894,688329,0,899,180000,899,0,901,13,985,1555200,887,1555200,889,1555200,891,1555200,892,633600,894,633600,895,633600,897,633600,886,58,889,20,890,18,892,0,893,0,895,0,897,0,898,0,
996,3,987,2710232,994,466056,0,1000,180000,1001,0,1003,7,1086,1555200,988,1555200,989,1555200,991,1555200,992,633600,995,633600,996,633600,998,633600,987,33,989,10,990,22,992,0,994,0,996,0,998,0,1000,0,
1098,3,1088,2710728,1096,423035,0,1102,180000,1102,0,1104,6,1186,1555200,1089,1555200,1091,1555200,1092,1555200,1094,633600,1096,633600,1098,633600,1100,633600,1087,22,1090,18,1092,10,1094,9,1096,0,1097,0,1099,0,1101,0,
1195,3,1188,2711028,1193,473226,0,1198,180000,1198,0,1199,9,1287,1555200,1188,1555200,1190,1555200,1191,1555200,1192,633600,1194,633600,1195,633600,1196,633600,1187,44,1189,12,1191,10,1192,0,1193,0,1195,0,1196,0,1197,0,
1298,3,1289,2711276,1296,200762,0,1303,180000,1303,0,1304,3,1387,1555200,1290,1555200,1291,1555200,1293,1555200,1295,633600,1297,633600,1299,633600,1301,633600,1288,18,1291,0,1293,10,1295,0,1296,0,1298,0,1300,0,1302,0,
1398,3,1390,2711836,1396,695499,0,1401,180000,1402,0,1403,12,1487,1555200,1390,1555200,1392,1555200,1393,1555200,1395,633600,1397,633600,1398,633600,1399,633600,1389,55,1391,12,1393,20,1395,10,1396,0,1398,0,1399,0,1401,0,
1497,3,1489,2712156,1495,408695,0,1501,180000,1501,0,1502,6,1588,1555200,1490,1555200,1491,1555200,1492,1555200,1494,633600,1495,633600,1497,633600,1499,633600,1489,36,1491,10,1492,11,1493,0,1495,0,1497,0,1498,0,1500,0,
1600,3,1591,2712544,1598,394355,0,1604,180000,1605,0,1606,9,1688,1555200,1591,1555200,1593,1555200,1595,1555200,1597,633600,1599,633600,1601,633600,1602,633600,1589,25,1592,10,1594,10,1596,10,1598,0,1600,0,1602,0,1604,0,
1703,3,1693,2712236,1702,813822,0,1706,180000,1706,0,1707,14,1790,384000,1694,1555200,1696,1555200,1698,1555200,1700,864000,1702,864000,1703,864000,1705,864000,1691,50,1696,33,1698,20,1700,0,1701,27,1703,0,1704,0,1706,0,
1802,3,1793,2711648,1800,78611,0,1806,180000,1807,0,1808,6,1892,460800,1794,384000,1795,384000,1797,384000,1799,633600,1801,633600,1803,633600,1804,633600,1792,20,1795,10,1797,10,1799,10,1800,20,1802,0,1804,0,1806,0,
1913,3,1897,2711452,1910,115733,0,1920,180000,1921,0,1923,12,1992,864000,1897,600000,1901,600000,1904,600000,1907,864000,1910,864000,1913,864000,1916,864000,1895,50,1901,27,1904,0,1906,10,1909,0,1913,0,1916,0,1919,0,
2013,3,1996,2711504,2010,343820,0,2019,180000,2020,0,2022,15,2093,1555200,1998,960000,2001,960000,2004,960000,2008,633600,2011,633600,2014,633600,2016,633600,1995,55,2000,25,2003,11,2006,22,2010,0,2013,0,2016,0,2019,0,
2102,3,2095,2711508,2101,853241,0,2105,180000,2106,0,2107,11,2193,1555200,2095,1555200,2097,1555200,2098,1555200,2099,633600,2101,633600,2102,633600,2104,633600,2094,62,2096,11,2098,36,2099,10,2101,0,2102,0,2103,0,2105,0,
2202,3,2195,2711508,2201,602287,0,2205,180000,2206,0,2207,9,2294,864000,2196,1555200,2197,1555200,2199,1555200,2200,633600,2201,633600,2203,633600,2204,633600,2195,44,2197,9,2198,11,2200,20,2201,0,2202,0,2204,0,2205,0,
2310,3,2298,2711764,2307,50201,0,2315,180000,2315,0,2317,6,2394,1555200,2298,864000,2301,864000,2303,864000,2305,633600,2308,633600,2310,633600,2312,633600,2296,0,2300,0,2302,18,2305,0,2307,0,2309,0,2312,0,2314,0,
2404,3,2396,2711816,2402,831730,0,2408,180000,2408,0,2409,11,2495,1555200,2397,1555200,2398,1555200,2400,1555200,2401,633600,2403,633600,2404,633600,2406,633600,2395,63,2398,11,2399,30,2401,12,2402,0,2404,0,2405,0,2407,0,
2503,3,2496,2711696,2502,451715,0,2506,180000,2506,0,2507,6,2595,1555200,2497,1555200,2498,1555200,2499,1555200,2501,633600,2502,633600,2503,633600,2504,633600,2496,22,2498,10,2499,20,2500,11,2502,0,2503,0,2504,0,2505,0,
2606,3,2598,2711872,2604,279633,0,2610,180000,2611,0,2612,6,2696,1555200,2598,1555200,2600,1555200,2601,1555200,2603,633600,2605,633600,2606,633600,2608,633600,2597,11,2599,10,2601,18,2603,0,2604,0,2606,0,2608,0,2610,0,
2706,3,2698,2711872,2705,552097,0,2709,180000,2710,0,2711,13,2796,1555200,2698,1555200,2700,1555200,2702,1555200,2703,633600,2705,633600,2707,633600,2708,633600,2697,55,2700,10,2701,0,2703,12,2704,0,2706,0,2708,0,2709,0,
