device,subject,browser,Memory Usage [KB],CPU3 Load [%],CPU3 Frequency [kHz],CPU2 Frequency [kHz],CPU5 Load [%],CPU6 Load [%],CPU5 Frequency [kHz],CPU4 Load [%],CPU8 Load [%],CPU Load [%],Battery Status,CPU6 Frequency [kHz],CPU4 Frequency [kHz],GPU Frequency [KHz],duration(s),CPU2 Load [%],CPU1 Frequency [kHz],Battery Power* [uW],CPU8 Frequency [kHz],CPU7 Frequency [kHz],GPU Load [%],CPU1 Load [%],CPU7 Load [%]
nexus6p,vue,comandroidchrome,2714314.4045801526,19.63167938931298,1359077.8625954199,1357850.3816793894,18.77480916030534,12.820610687022901,1070949.6183206106,14.807251908396946,6.874045801526718,17.952290076335878,3.0,1068128.2442748093,1358821.3740458016,186851.14503816795,59,19.799618320610687,1356806.1068702291,388966.9103053435,1066369.4656488548,1066955.7251908397,1.7404580152671756,44.767175572519086,8.053435114503817
nexus6p,vue,comandroidchrome,2734301.478095238,19.662857142857142,1345417.142857143,1346176.0,22.396190476190476,10.093333333333334,1069458.2857142857,14.685714285714285,6.247619047619048,17.833969465648856,3.0,1068214.857142857,1346038.857142857,188616.41221374046,59,20.965714285714284,1347172.5714285714,301817.22285714286,1068178.2857142857,1068214.857142857,1.9732824427480915,43.52,7.689523809523809
nexus6p,vue,comandroidchrome,2710223.992366412,19.814885496183205,1353297.709923664,1352253.4351145038,21.345419847328245,9.879770992366412,1080696.1832061068,14.742366412213741,5.408396946564886,17.881453154875718,3.0,1080989.3129770993,1352235.1145038167,187261.4503816794,58,23.4293893129771,1350384.7328244275,384730.2633587786,1078461.06870229,1078570.9923664122,1.8030592734225621,43.26526717557252,7.620229007633588
nexus6p,vue,comandroidchrome,2707422.3186180424,18.433781190019193,1314481.3819577736,1317051.8234165066,20.261036468330133,11.343570057581575,1074352.3992322457,14.980806142034549,6.536538461538462,17.825,3.0,1074831.4779270634,1315651.4395393473,186250.0,58,21.978886756238005,1318590.4030710172,380735.86564299423,1073833.8461538462,1075790.7692307692,1.8288461538461538,43.424184261036466,8.296153846153846
nexus6p,vue,comandroidchrome,2748191.621212121,18.242424242424242,1357609.0909090908,1358154.5454545454,18.79127134724858,12.937381404174573,1045418.1818181818,15.634469696969697,4.910815939278938,17.58823529411765,3.0,1046491.0815939279,1359527.2727272727,187998.10246679318,57,21.570075757575758,1364254.5454545454,278046.80265654647,1049041.366223909,1048932.0683111954,1.3130929791271346,44.57575757575758,6.631878557874763
nexus6p,vue,comandroidchrome,2712246.195028681,19.7183908045977,1323016.0919540229,1323255.1724137932,21.032567049808428,11.840996168582375,1062841.3793103448,15.413793103448276,6.461685823754789,18.262452107279692,3.0,1062694.2528735632,1324377.0114942528,188151.34099616858,57,22.68773946360153,1319247.4187380497,395090.66475095786,1062216.0919540229,1064018.3908045976,1.367816091954023,43.70363288718929,7.419540229885057
nexus6p,vue,comandroidchrome,2738903.7629063097,18.75908221797323,1340971.3193116635,1336767.877629063,20.363288718929255,11.118546845124284,1064370.17208413,15.684512428298278,4.982791586998088,17.934990439770555,3.0,1063856.2141491396,1342549.9043977056,187571.7017208413,58,21.858508604206502,1336529.2543021033,381484.88910133846,1065104.397705545,1063378.9674952198,1.435946462715105,43.783938814531545,8.776290630975144
nexus6p,vue,comandroidchrome,2735325.257142857,18.843809523809522,1346038.857142857,1348105.142857143,21.965714285714284,11.049523809523809,1061449.142857143,17.02095238095238,5.16,17.954198473282442,3.0,1061997.7142857143,1346889.142857143,187942.85714285713,58,20.325714285714287,1352045.7142857143,393598.85333333333,1062180.5714285714,1063350.857142857,1.7099236641221374,44.66095238095238,6.838095238095238
nexus6p,vue,comandroidchrome,2714891.5223880596,20.166044776119403,1328077.6119402985,1329510.447761194,20.925373134328357,10.753271028037384,1070794.0298507463,15.593283582089553,5.727102803738318,18.097196261682242,3.0,1070794.0298507463,1327719.4029850746,185766.3551401869,59,22.824626865671643,1331910.447761194,383204.96268656716,1070857.570093458,1071180.5607476635,1.452336448598131,45.09141791044776,6.394392523364486
nexus6p,vue,comandroidchrome,2711120.946153846,19.24470134874759,1342163.076923077,1340603.076923077,21.705202312138727,10.175337186897881,1083375.7225433525,15.68208092485549,5.007707129094412,17.93256262042389,3.0,1082931.7919075144,1343870.520231214,188535.64547206165,58,22.96153846153846,1349944.6153846155,297133.74181117537,1078677.4566473989,1082968.7861271675,1.9788053949903661,44.69230769230769,6.38728323699422
