App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 11:14:41 AM","58 sec","Trepn_2018.10.20_111440.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
145,3,130,2690988,143,412381,0,150,180000,151,0,153,21,153,1248000,131,960000,133,960000,136,960000,139,633600,143,633600,146,633600,148,633600,129,47,133,54,135,34,138,23,143,4,145,0,148,0,150,0,
170,3,156,2691460,168,2261862,1358224,175,180000,204,0,206,30,206,1555200,157,1248000,159,1555200,161,1555200,165,633600,168,633600,170,633600,173,633600,155,100,159,66,161,100,164,100,167,0,170,0,172,0,175,0,
217,3,208,2691708,215,1383828,480190,220,180000,221,0,222,33,305,1555200,208,1555200,210,1555200,212,1555200,214,633600,215,633600,217,633600,219,633600,207,60,210,0,212,33,213,100,215,0,217,20,218,0,220,0,
316,3,307,2692656,314,1110580,206942,320,180000,321,0,322,17,406,1555200,307,1555200,309,1555200,311,1555200,313,633600,315,633600,317,633600,318,633600,306,44,309,30,311,22,312,54,314,0,316,0,318,0,320,0,
421,3,409,2693336,419,752859,0,427,180000,428,0,429,13,506,1555200,410,1555200,412,1555200,414,1555200,417,633600,419,633600,422,633600,426,633600,408,40,411,18,414,36,416,11,419,0,421,0,425,0,427,0,
517,3,509,2693808,515,612650,0,520,180000,521,0,522,11,606,1555200,509,1555200,511,1555200,512,1555200,514,633600,516,633600,517,633600,519,633600,507,50,510,11,512,22,514,0,515,10,517,0,518,0,520,0,
616,3,608,2694356,614,466056,0,619,180000,619,0,620,7,706,1555200,608,1555200,610,1555200,611,1555200,613,633600,614,633600,616,633600,618,633600,607,42,609,12,611,11,612,0,614,0,616,0,617,0,619,0,
717,3,709,2694732,715,573607,0,721,180000,721,0,722,9,807,1555200,709,1555200,711,1555200,712,1555200,714,633600,716,633600,718,633600,719,633600,708,40,710,20,712,20,714,0,715,0,717,0,719,0,720,0,
818,3,809,2694784,816,638138,0,822,180000,822,0,823,10,907,1555200,810,1555200,812,1555200,813,1555200,815,633600,817,633600,819,633600,820,633600,808,44,811,10,813,27,815,8,816,0,818,0,820,0,821,0,
917,3,909,2695384,915,595117,0,920,180000,920,0,921,11,1008,1555200,909,1555200,911,1555200,912,1555200,914,633600,915,633600,917,633600,918,633600,908,50,911,10,912,11,914,12,915,0,917,0,918,0,920,0,
