App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 12:41:39 PM","58 sec","Trepn_2018.10.20_124138.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
109,3,94,2708404,107,720500,0,114,180000,115,0,118,23,118,1248000,95,960000,100,1248000,103,1248000,105,633600,107,633600,110,633600,112,633600,93,50,100,35,102,45,104,40,107,10,109,0,112,0,114,0,
130,3,121,2708860,129,2400378,1598094,135,180000,135,0,136,40,176,1555200,121,1555200,123,1555200,125,1555200,127,633600,129,633600,131,633600,133,633600,120,50,123,100,125,100,126,100,128,0,130,0,132,0,134,0,
215,3,203,2709356,212,1419207,616923,222,180000,223,14,225,23,277,1555200,203,1555200,206,1555200,208,1555200,210,633600,213,633600,216,633600,218,633600,202,33,205,37,207,100,209,25,212,12,215,0,217,0,222,0,
288,3,279,2709564,286,805848,3564,291,180000,292,14,293,14,378,1555200,280,1555200,281,1555200,283,1555200,285,633600,286,633600,288,633600,290,633600,279,50,281,0,283,28,284,12,286,12,288,0,289,0,291,0,
391,3,380,2710124,388,834999,32715,394,180000,395,0,396,9,478,1555200,381,1555200,383,1555200,385,1555200,386,633600,389,633600,391,633600,393,633600,379,40,382,27,384,20,386,10,388,0,391,0,393,0,394,0,
492,3,481,2710372,490,324816,0,498,180000,498,0,500,11,579,1478400,482,1248000,484,1248000,486,1248000,488,633600,490,633600,493,633600,495,633600,480,30,483,0,486,22,488,0,490,0,492,0,494,0,497,0,
597,3,583,2711076,594,560059,0,603,180000,604,0,605,7,679,1555200,583,1478400,585,1478400,589,1555200,592,633600,595,633600,597,633600,600,633600,581,45,585,20,587,20,592,0,594,0,596,0,600,0,603,0,
692,3,681,2711600,689,784733,0,695,180000,695,0,696,13,779,1555200,682,1555200,684,1555200,685,1555200,687,633600,689,633600,692,633600,693,633600,680,55,683,22,685,30,687,0,689,10,691,0,693,0,694,0,
790,3,781,2711848,789,666818,0,794,180000,795,0,796,11,880,1555200,782,1555200,784,1555200,785,1555200,787,633600,789,633600,791,633600,793,633600,781,44,783,9,785,20,787,20,788,0,790,0,792,0,794,0,
892,3,882,2712200,890,717009,0,895,180000,896,0,897,12,980,1555200,883,1555200,885,1555200,886,1555200,888,633600,890,633600,892,633600,894,633600,881,60,884,20,886,20,888,0,889,0,891,0,893,0,895,0,
