App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 02:46:19 PM","59 sec","Trepn_2018.10.20_144618.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
84,3,67,2619952,81,454191,0,95,180000,96,0,98,25,99,1248000,68,960000,70,960000,76,960000,79,633600,82,633600,85,633600,87,633600,66,52,70,43,76,38,78,35,81,0,84,0,86,0,95,0,
112,3,101,2620188,110,2176101,1280951,117,180000,117,0,119,46,190,1555200,102,1248000,104,1248000,106,1555200,108,633600,110,633600,112,633600,114,633600,100,100,103,75,106,100,108,100,110,50,112,0,114,0,116,0,
213,3,202,2620684,211,1276276,381126,219,180000,219,0,221,22,290,1555200,202,1555200,205,1555200,207,1555200,209,633600,212,633600,214,633600,216,633600,199,33,204,100,207,18,209,27,211,0,213,18,216,0,218,0,
300,3,292,2620880,299,762908,0,304,180000,304,0,305,11,391,1555200,293,1555200,294,1555200,296,1555200,297,633600,299,633600,301,633600,302,633600,291,37,294,28,295,25,297,12,298,0,300,0,302,0,303,0,
404,3,394,2621444,402,530586,0,409,180000,410,0,411,7,492,1555200,395,1555200,397,1555200,399,1555200,401,633600,403,633600,405,633600,407,633600,393,33,396,30,398,0,400,11,402,0,404,0,406,0,409,0,
505,3,495,2622016,503,709839,0,509,180000,510,0,511,14,592,1555200,496,1555200,497,1555200,499,1555200,501,633600,503,633600,506,633600,507,633600,494,40,497,30,499,20,501,9,503,0,505,0,507,0,509,0,
602,3,595,2622068,601,731349,0,606,180000,606,0,607,9,693,1555200,595,1555200,596,1555200,598,1555200,599,633600,601,633600,603,633600,604,633600,594,55,596,10,598,27,599,10,601,0,602,0,604,0,605,0,
705,3,696,2622564,703,516246,0,709,180000,709,0,711,8,794,1555200,696,1555200,698,1555200,700,1555200,701,633600,703,633600,705,633600,707,633600,695,50,697,11,699,0,701,11,703,0,705,0,707,0,708,0,
805,3,796,2622780,804,673988,0,810,180000,811,0,812,13,895,1555200,797,1555200,799,1555200,800,1555200,802,633600,804,633600,806,633600,808,633600,795,54,798,30,800,10,802,0,803,0,805,0,808,0,810,0,
906,3,898,2623028,905,803050,0,909,180000,910,0,911,14,995,1555200,898,1555200,900,1555200,902,1555200,903,633600,905,633600,906,633600,908,633600,897,60,900,22,901,10,903,20,904,0,906,0,907,0,909,0,
1006,3,997,2623080,1005,661088,0,1010,180000,1010,0,1012,10,1095,1555200,998,1555200,1000,1555200,1002,1555200,1003,633600,1005,633600,1006,633600,1008,633600,996,60,999,10,1001,10,1003,10,1005,9,1006,0,1008,0,1009,0,
1104,3,1097,2623380,1103,569630,0,1107,180000,1108,0,1109,11,1196,1555200,1097,1555200,1099,1555200,1100,1555200,1102,633600,1103,633600,1105,633600,1106,633600,1096,37,1098,20,1100,0,1101,20,1103,10,1104,0,1106,0,1107,0,
1210,3,1199,2623732,1208,602287,0,1213,180000,1214,0,1215,11,1296,1555200,1199,1555200,1202,1555200,1204,1555200,1206,633600,1208,633600,1210,633600,1212,633600,1197,37,1201,27,1203,20,1205,0,1207,0,1209,0,1211,0,1213,0,
1306,3,1298,2624228,1304,372844,0,1309,180000,1309,0,1310,6,1397,600000,1298,1555200,1300,1555200,1302,1555200,1303,633600,1305,633600,1306,633600,1307,633600,1297,33,1300,0,1302,10,1303,9,1304,0,1305,0,1307,0,1308,0,
1419,3,1402,2624228,1416,116640,0,1426,180000,1426,0,1428,9,1497,1248000,1403,600000,1407,600000,1410,600000,1413,633600,1416,633600,1419,633600,1423,633600,1400,36,1406,36,1409,0,1412,0,1415,0,1418,0,1422,0,1425,0,
1508,3,1499,2625172,1506,673246,0,1512,180000,1513,0,1514,15,1597,1555200,1500,1248000,1501,1248000,1503,1248000,1505,633600,1507,633600,1508,633600,1510,633600,1498,66,1501,33,1503,14,1505,22,1506,0,1508,0,1510,0,1512,0,
1607,3,1600,2625412,1605,645308,0,1611,180000,1611,0,1612,11,1698,1555200,1600,1555200,1602,1555200,1603,1555200,1604,633600,1606,633600,1607,633600,1609,633600,1599,50,1601,20,1603,10,1604,10,1605,0,1607,0,1608,0,1610,0,
