App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 03:06:02 PM","1 min 0 sec","Trepn_2018.10.20_150600.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
90,3,67,2573440,87,496748,0,95,180000,96,0,97,24,98,1248000,68,960000,73,960000,82,1248000,85,633600,88,633600,90,633600,93,633600,66,47,72,50,82,44,85,26,87,10,90,0,92,0,94,0,
113,3,101,2573684,111,1985437,1085767,117,180000,117,0,119,41,181,1555200,101,1248000,105,1248000,107,1478400,109,633600,111,633600,113,633600,115,633600,100,100,104,100,107,66,109,100,110,0,112,0,114,0,116,0,
221,3,208,2574448,217,1141484,241814,226,180000,227,0,228,20,281,1555200,208,1555200,211,1555200,213,1555200,215,633600,218,633600,222,633600,224,633600,207,100,210,30,212,0,215,27,217,9,221,0,224,0,226,0,
295,3,286,2574720,293,910601,10931,299,180000,299,0,300,14,381,1555200,286,1555200,287,1555200,289,1555200,291,633600,293,633600,295,633600,297,633600,283,57,287,14,289,44,290,12,292,0,294,0,296,0,298,0,
397,3,385,2574844,395,539196,0,401,180000,401,0,402,11,482,1248000,386,1555200,387,1555200,390,1555200,393,633600,395,633600,397,633600,399,633600,384,33,387,20,390,10,393,10,395,9,397,0,399,0,400,0,
495,3,485,2574896,493,458961,0,500,180000,500,0,501,9,583,1344000,485,1248000,487,1248000,489,1248000,491,633600,493,633600,496,633600,498,633600,484,44,487,20,489,10,491,11,493,20,495,0,497,0,499,0,
595,3,585,2575392,593,422150,0,600,180000,600,0,601,9,684,1555200,586,1344000,588,1344000,590,1344000,592,633600,594,633600,596,633600,598,633600,584,30,587,18,589,0,591,27,593,0,595,0,597,0,599,0,
700,3,687,2575880,697,323071,0,706,180000,706,0,708,11,784,1248000,688,864000,690,864000,693,864000,695,633600,698,633600,701,633600,703,633600,686,33,690,11,692,0,695,20,697,0,700,0,702,0,705,0,
797,3,787,2576376,796,413921,0,802,180000,802,0,804,9,885,960000,788,1248000,790,1248000,792,1248000,794,633600,796,633600,798,633600,800,633600,786,33,789,20,791,10,793,20,795,0,797,0,799,0,801,0,
900,3,888,2576676,898,256089,0,905,180000,906,0,907,8,985,960000,889,960000,891,960000,893,960000,896,633600,898,633600,901,633600,903,633600,887,30,890,12,893,9,895,27,898,0,900,0,902,0,905,0,
