App,Package,Start Time,Duration,Filename
"System",,"Oct 23, 2018 @ 11:11:08 PM","58 sec","Trepn_2018.10.23_231106.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
9,3,1,2700416,8,1988691,1192980,10,180000,11,0,11,43,81,1555200,1,1555200,3,1555200,5,1555200,7,1824000,8,1824000,9,1824000,10,1824000,0,50,3,50,5,58,7,84,8,27,9,0,10,66,10,0,
109,3,100,2700144,107,1468716,673005,114,180000,115,0,116,15,181,1555200,100,1555200,102,1555200,103,1555200,105,1824000,108,1824000,110,1824000,112,1824000,98,20,102,11,103,18,105,55,107,11,109,10,111,0,114,0,
192,3,183,2700144,191,839589,43878,196,180000,197,0,198,12,281,1555200,184,1555200,185,1555200,187,1555200,189,633600,191,633600,193,633600,194,633600,182,55,185,25,187,14,188,10,190,0,192,0,194,0,196,0,
292,3,284,2700508,290,849263,53552,295,180000,295,0,297,14,382,1555200,284,1555200,285,1555200,287,1555200,289,633600,290,633600,292,633600,293,633600,283,50,285,33,287,22,288,11,290,10,291,0,293,0,295,0,
395,3,385,2700560,393,695499,0,399,180000,400,0,401,12,482,1555200,385,1555200,387,1555200,389,1555200,391,633600,393,633600,395,633600,398,633600,384,50,387,20,389,27,391,0,393,0,395,0,397,0,399,0,
494,3,485,2700860,493,573607,0,498,180000,499,0,500,12,583,1555200,486,1555200,487,1555200,489,1555200,491,633600,493,633600,495,633600,497,633600,484,50,487,20,489,0,491,10,492,0,494,0,496,0,498,0,
592,3,585,2700912,590,623798,0,595,180000,595,0,596,9,683,1555200,585,1555200,586,1555200,588,1555200,589,633600,591,633600,592,633600,593,633600,584,66,586,0,587,11,589,10,590,0,592,0,593,0,594,0,
692,3,685,2701068,691,702669,0,695,180000,696,0,697,9,783,1555200,685,1555200,687,1555200,688,1555200,690,633600,691,633600,693,633600,694,633600,684,50,686,11,688,27,689,10,691,0,692,0,694,0,695,0,
792,3,785,2701068,790,530586,0,795,180000,796,0,797,9,884,1555200,786,1555200,787,1555200,788,1555200,789,633600,791,633600,792,633600,794,633600,785,44,787,10,788,20,789,0,790,0,792,0,794,0,795,0,
895,3,886,2701068,893,286803,0,899,180000,900,0,901,6,984,1555200,887,1555200,888,1555200,890,1555200,892,633600,894,633600,895,633600,897,633600,885,20,888,10,890,10,891,0,893,0,895,0,896,0,899,0,
992,3,986,2701120,991,659648,0,995,180000,996,0,996,9,1085,1555200,986,1555200,988,1555200,989,1555200,990,633600,991,633600,993,633600,994,633600,985,55,987,0,989,27,990,10,991,0,992,0,994,0,995,0,
1098,3,1089,2701536,1096,143401,0,1101,180000,1102,0,1103,5,1185,1555200,1089,1555200,1091,1555200,1093,1555200,1094,633600,1096,633600,1098,633600,1100,633600,1088,10,1091,10,1092,0,1094,0,1095,0,1097,0,1099,0,1101,0,
1196,3,1188,2701464,1194,824560,28849,1199,180000,1200,0,1201,11,1286,1555200,1188,1555200,1190,1555200,1191,1555200,1193,633600,1194,633600,1196,633600,1198,633600,1187,55,1189,30,1191,20,1192,10,1194,0,1196,0,1197,0,1199,0,
1295,3,1288,2701268,1293,252392,0,1298,180000,1298,0,1299,6,1386,1555200,1288,1555200,1289,1555200,1291,1555200,1292,633600,1293,633600,1295,633600,1296,633600,1287,22,1289,11,1290,0,1292,0,1293,9,1294,0,1296,0,1297,0,
1395,3,1388,2701516,1393,329824,0,1398,180000,1398,0,1400,7,1486,1555200,1388,1555200,1389,1555200,1391,1555200,1392,633600,1394,633600,1395,633600,1396,633600,1387,12,1389,25,1391,9,1392,0,1393,0,1395,0,1396,0,1398,0,
1494,3,1488,2702048,1493,580777,0,1497,180000,1498,0,1499,7,1587,1555200,1488,1555200,1490,1555200,1491,1555200,1492,633600,1493,633600,1495,633600,1496,633600,1488,50,1489,22,1491,0,1492,9,1493,0,1494,0,1496,0,1497,0,
1602,3,1591,2702048,1599,430205,0,1606,305000,1606,0,1607,9,1687,1555200,1592,1555200,1593,1555200,1595,1555200,1597,633600,1600,633600,1602,633600,1604,633600,1589,9,1593,30,1595,11,1596,10,1599,0,1601,0,1604,0,1605,0,
1698,3,1689,2702568,1696,1204575,408864,1702,305000,1703,21,1704,20,1788,1555200,1690,1555200,1691,1555200,1693,1555200,1694,633600,1696,633600,1698,633600,1700,633600,1689,55,1691,50,1692,33,1694,30,1696,0,1697,0,1700,0,1702,0,
1797,3,1790,2702568,1795,1558366,762655,1801,305000,1802,21,1803,17,1889,460800,1790,1555200,1791,1555200,1793,1555200,1794,633600,1796,633600,1798,633600,1800,633600,1789,70,1791,36,1792,12,1794,33,1795,0,1797,0,1799,0,1801,0,
1911,3,1893,2702568,1908,566934,0,1918,180000,1919,21,1922,11,1990,1344000,1895,460800,1898,460800,1902,600000,1905,633600,1908,633600,1911,633600,1915,633600,1892,20,1898,22,1901,18,1904,15,1907,0,1911,0,1914,0,1918,0,
2002,3,1992,2702644,2000,895947,100236,2006,180000,2006,0,2008,14,2090,1555200,1993,1344000,1995,1344000,1996,1344000,1998,633600,2000,633600,2002,633600,2004,633600,1991,44,1994,44,1996,12,1998,22,2000,0,2002,0,2003,0,2005,0,
2102,3,2093,2702696,2100,745689,0,2106,180000,2106,0,2108,11,2191,1555200,2093,1555200,2095,1555200,2097,1555200,2099,633600,2100,633600,2102,633600,2104,633600,2092,55,2095,11,2096,18,2098,20,2100,0,2102,0,2103,0,2105,0,
2201,3,2193,2702832,2199,387185,0,2203,180000,2204,0,2205,5,2292,1555200,2193,1555200,2195,1555200,2197,1555200,2198,633600,2199,633600,2201,633600,2202,633600,2192,33,2194,0,2196,10,2198,11,2199,0,2200,0,2202,0,2203,0,
2304,3,2294,2702816,2302,415865,0,2308,180000,2308,0,2310,8,2392,1555200,2295,1555200,2296,1555200,2298,1555200,2300,633600,2302,633600,2304,633600,2306,633600,2293,30,2296,10,2298,9,2300,9,2301,0,2303,0,2305,0,2307,0,
2405,3,2394,2703544,2402,1209521,413810,2409,180000,2409,0,2411,26,2493,1555200,2395,1555200,2397,1555200,2399,1555200,2401,633600,2403,633600,2405,633600,2407,633600,2394,60,2396,44,2398,50,2400,12,2402,11,2404,0,2406,0,2408,0,
2502,3,2495,2703592,2501,856433,60722,2505,180000,2505,0,2506,12,2593,1555200,2495,1555200,2497,1555200,2498,1555200,2499,633600,2501,633600,2502,633600,2504,633600,2494,50,2496,30,2498,12,2499,25,2500,10,2502,0,2503,0,2505,0,
2606,3,2596,2703840,2605,301143,0,2611,180000,2612,0,2613,7,2694,1555200,2597,1555200,2599,1555200,2601,1555200,2603,633600,2605,633600,2607,633600,2609,633600,2595,0,2598,33,2600,9,2603,0,2605,0,2606,0,2609,0,2611,0,
2704,3,2696,2702128,2702,798043,2332,2708,180000,2708,0,2710,14,2794,1555200,2696,1555200,2698,1555200,2699,1555200,2701,1248000,2703,1248000,2704,1248000,2706,1248000,2695,55,2698,11,2699,18,2701,12,2702,22,2704,10,2706,0,2707,0,
2805,3,2796,2702128,2804,372524,0,2809,180000,2810,0,2811,5,2895,1555200,2797,1555200,2799,1555200,2800,1555200,2802,633600,2804,633600,2806,633600,2808,633600,2795,27,2798,9,2800,0,2802,9,2803,0,2805,0,2807,0,2809,0,
2909,3,2898,2702180,2907,410134,0,2912,180000,2913,0,2914,8,2995,1555200,2899,1555200,2901,1555200,2903,1555200,2905,633600,2907,633600,2909,633600,2911,633600,2897,44,2900,0,2903,11,2904,0,2906,9,2908,0,2910,0,2912,0,
3004,3,2998,2702428,3003,695499,0,3008,180000,3008,0,3009,10,3096,1555200,2998,1555200,2999,1555200,3001,1555200,3002,633600,3003,633600,3005,633600,3006,633600,2996,50,2999,20,3000,27,3002,0,3003,0,3004,0,3006,0,3007,0,
3110,3,3100,2702508,3108,143401,0,3114,180000,3114,0,3115,5,3196,1555200,3101,1555200,3103,1555200,3104,1555200,3106,633600,3109,633600,3110,633600,3112,633600,3098,0,3102,0,3104,20,3106,0,3108,0,3110,0,3112,0,3113,0,
3207,3,3199,2702508,3205,698378,0,3211,180000,3211,0,3212,13,3296,1555200,3199,1555200,3201,1555200,3202,1555200,3204,633600,3205,633600,3207,633600,3209,633600,3198,63,3200,10,3202,20,3203,0,3205,18,3207,0,3209,0,3210,0,
3305,3,3298,2702560,3303,401525,0,3307,180000,3308,0,3309,6,3397,1555200,3299,1555200,3300,1555200,3301,1555200,3302,633600,3303,633600,3305,633600,3306,633600,3298,36,3300,20,3301,0,3302,0,3303,0,3304,0,3306,0,3307,0,
