device,subject,browser,Memory Usage [KB],CPU3 Load [%],CPU3 Frequency [kHz],CPU2 Frequency [kHz],CPU5 Load [%],CPU6 Load [%],CPU5 Frequency [kHz],CPU4 Load [%],CPU8 Load [%],CPU Load [%],Battery Status,CPU6 Frequency [kHz],CPU4 Frequency [kHz],GPU Frequency [KHz],duration(s),CPU2 Load [%],CPU1 Frequency [kHz],Battery Power* [uW],CPU8 Frequency [kHz],CPU7 Frequency [kHz],GPU Load [%],CPU1 Load [%],CPU7 Load [%]
nexus6p,angular,comandroidchrome,2685737.2972972975,18.85907335907336,1323308.1081081082,1322214.6718146717,24.969111969111967,12.092664092664092,1114971.4285714286,16.61003861003861,5.656370656370656,18.745173745173744,3.0,1115786.8725868727,1321899.613899614,186119.69111969112,58,21.835907335907336,1327959.8455598454,466816.0617760618,1110857.142857143,1114971.4285714286,2.335907335907336,44.58108108108108,8.177606177606178
nexus6p,angular,comandroidchrome,2659171.6240601502,19.892857142857142,1325539.84962406,1325377.4436090225,22.7406015037594,11.609022556390977,1115187.969924812,14.896616541353383,6.481203007518797,18.7406015037594,3.0,1114105.2631578948,1328174.4360902256,184464.2857142857,59,22.577067669172934,1325322.3264540338,417359.1052631579,1113852.6315789474,1113419.5488721805,2.268796992481203,44.70864661654135,9.114661654135338
nexus6p,angular,comandroidchrome,2701113.4442344047,19.08506616257089,1345651.4177693762,1345887.334593573,22.514177693761816,13.0586011342155,1089391.3043478262,15.449905482041588,6.391304347826087,18.87121212121212,3.0,1088846.8809073723,1343900.189035917,184962.19281663516,59,23.179584120982987,1347230.245746692,403740.94896030246,1090044.6124763705,1089500.189035917,1.6427221172022684,44.56332703213611,9.01890359168242
nexus6p,angular,comandroidchrome,2641234.6156787765,20.256704980842912,1295696.551724138,1296348.7571701722,23.39080459770115,14.272030651340996,1096864.367816092,19.61685823754789,6.2011494252873565,19.340996168582375,3.0,1098114.9425287356,1295926.4367816092,185507.66283524904,60,22.007648183556405,1300983.5564053538,458452.2049808429,1098078.1609195403,1098335.632183908,1.5708812260536398,43.65583173996176,7.473180076628353
nexus6p,angular,comandroidchrome,2693160.5303030303,19.393939393939394,1343745.4545454546,1342890.9090909092,21.90719696969697,13.60910815939279,1113054.5454545454,17.410984848484848,5.798861480075901,18.855787476280835,3.0,1114146.4895635673,1343163.6363636365,184743.8330170778,60,22.056818181818183,1342781.8181818181,344605.84250474384,1115749.5256166982,1114875.1423149905,2.27134724857685,45.00757575757576,7.776091081593928
nexus6p,angular,comandroidchrome,2696355.737335835,18.77110694183865,1361308.818011257,1362173.3583489682,24.287593984962406,12.265037593984962,1102989.4736842106,15.37406015037594,6.1992481203007515,18.610902255639097,3.0,1101184.962406015,1363849.6240601505,184783.83458646617,59,22.303939962476548,1367648.780487805,430970.79887218046,1101509.7744360901,1099524.8120300751,1.6334586466165413,43.62101313320826,7.723684210526316
nexus6p,angular,comandroidchrome,2651431.520599251,20.256554307116104,1358480.8988764044,1359433.7078651686,24.24765478424015,11.455909943714822,1102561.797752809,15.387640449438202,6.136960600375234,18.765478424015008,3.0,1103081.425891182,1359137.0786516855,185637.89868667917,59,22.4812734082397,1364530.3370786516,421983.93808630394,1103369.6060037524,1104018.0112570357,2.0131332082551596,44.52247191011236,7.840525328330206
nexus6p,angular,comandroidchrome,2648646.664092664,20.14092664092664,1347845.5598455598,1348577.6061776062,20.38030888030888,15.287644787644787,1100256.3706563707,17.306949806949806,7.115830115830116,18.61003861003861,3.0,1100627.027027027,1346937.4517374518,184343.62934362935,57,20.48841698841699,1348688.803088803,444860.71814671817,1100627.027027027,1100997.6833976833,1.945945945945946,42.54054054054054,7.525096525096525
nexus6p,angular,comandroidchrome,2698219.6824196596,18.655954631379963,1347139.5085066163,1346096.0302457467,19.829867674858225,15.198487712665406,1115487.334593573,15.4234404536862,6.185255198487713,18.26086956521739,3.0,1113019.281663516,1346627.2727272727,183308.12854442344,60,21.939508506616257,1348981.4744801512,353565.7920604915,1111857.8449905482,1112765.2173913044,1.9603024574669188,43.12854442344045,7.568998109640832
nexus6p,angular,comandroidchrome,2643919.74904943,20.59315589353612,1355032.699619772,1357368.8212927757,23.20912547528517,12.584761904761905,1120243.3460076046,14.346007604562738,6.131428571428572,18.48190476190476,3.0,1121243.4285714286,1355580.2281368822,184761.90476190476,59,22.127376425855513,1361557.4144486692,427038.95238095237,1122742.857142857,1122048.0,2.699047619047619,43.165399239543724,7.904761904761905
nexus6p,angular,comandroidchrome,2643460.473282443,19.49618320610687,1360616.7938931298,1359984.7328244275,19.412213740458014,14.187022900763358,1111584.7328244275,15.708015267175572,6.37093690248566,18.776290630975144,3.0,1111291.6030534352,1363300.7633587786,185344.16826003825,59,22.797709923664122,1364125.1908396946,444454.58778625954,1109157.9349904398,1112500.7633587786,1.7495219885277247,43.912213740458014,10.839388145315487
nexus6p,angular,comandroidchrome,2692137.9885714287,19.4293893129771,1340464.1221374045,1342561.8320610686,23.009541984732824,12.177480916030534,1120488.5496183205,15.772900763358779,6.316793893129771,18.862595419847327,3.0,1120195.4198473282,1342690.0763358779,183578.24427480917,59,23.232824427480917,1344731.4285714286,461239.26908396947,1116384.7328244275,1116201.5267175573,1.9293893129770991,43.72380952380952,9.66793893129771
nexus6p,angular,comandroidchrome,2696206.5954198474,19.16412213740458,1357364.8854961833,1360259.5419847327,19.126195028680687,17.05736137667304,1112241.6826003825,16.41108986615679,7.093690248565966,18.68642447418738,3.0,1112168.2600382408,1359114.503816794,184464.62715105162,59,21.251908396946565,1367853.4351145038,473238.1242829828,1114627.9158699808,1111837.858508604,1.875717017208413,43.704198473282446,8.204588910133843
nexus6p,angular,comandroidchrome,2651278.9118773947,18.072936660268713,1340038.3877159308,1340588.5057471264,22.81957773512476,13.324376199616124,1114042.2264875239,16.40307101727447,5.963531669865643,18.689059500959694,3.0,1112789.2514395392,1340996.5451055663,185124.76007677542,60,22.038314176245212,1343889.6551724137,372181.9654510557,1112715.547024952,1112347.0249520154,1.671785028790787,43.11302681992337,10.08253358925144
nexus6p,angular,comandroidchrome,2656331.992337165,19.272552783109404,1339816.0919540229,1338335.632183908,24.30518234165067,10.44721689059501,1119090.9788867563,15.854126679462572,7.5585412667946255,18.742802303262955,3.0,1119938.5796545106,1341236.084452975,183838.7715930902,59,22.7816091954023,1341765.5172413792,380376.73128598847,1113931.669865643,1116842.9942418425,1.4990403071017275,43.4367816091954,8.512476007677543
nexus6p,angular,comandroidchrome,2686050.3074003793,20.159392789373815,1368664.8956356735,1368364.3263757115,22.28842504743833,12.214421252371917,1096986.7172675522,17.343453510436433,6.165399239543726,18.70152091254753,3.0,1098225.4269449716,1370377.229601518,185313.68821292775,60,21.30360531309298,1372044.0227703985,437217.4174573055,1097168.880455408,1097168.880455408,2.153992395437262,44.717267552182165,7.992409867172675
nexus6p,angular,comandroidchrome,2650058.8150943397,20.160377358490567,1323586.4150943395,1325533.5849056605,23.071698113207546,12.29245283018868,1117729.8113207547,15.347169811320756,6.083018867924529,18.741020793950852,3.0,1114976.6037735848,1327707.1698113207,184245.28301886792,59,22.949056603773585,1326864.9056603773,479498.46226415096,1110267.1698113207,1112404.5283018867,1.5047258979206048,45.322641509433964,7.733962264150944
nexus6p,angular,comandroidchrome,2647141.4913957934,21.2881679389313,1336222.9007633587,1335905.1625239006,23.435114503816795,13.274809160305344,1106235.1145038167,14.162213740458014,6.3683206106870225,18.814885496183205,3.0,1106345.0381679388,1338741.9847328244,185486.64122137404,59,21.479923518164437,1339053.1548757171,427020.1259541985,1105099.2366412214,1104989.3129770993,2.177480916030534,43.52007648183557,8.715648854961833
nexus6p,angular,comandroidchrome,2648253.1571906353,20.150753768844222,1363063.5451505017,1363304.347826087,20.89112227805695,13.693467336683417,1078126.6331658291,14.916247906197654,5.206030150753769,18.490787269681743,3.0,1079798.9949748744,1364558.7939698494,184681.7420435511,60,23.254180602006688,1369822.0735785954,408236.9179229481,1079670.351758794,1077451.256281407,1.4941373534338358,45.551839464882946,6.772194304857622
nexus6p,angular,comandroidchrome,2782356.9696969697,19.973434535104364,1356300.0,1355209.0909090908,23.39089184060721,13.483870967741936,1122307.4003795066,17.098671726755217,6.407969639468691,19.49146110056926,3.0,1119137.760910816,1357598.4819734346,186489.56356736243,59,22.960227272727273,1357281.8181818181,433595.07400379505,1116951.8026565465,1116514.6110056925,2.318785578747628,45.23106060606061,8.988614800759013
