device,subject,browser,Memory Usage [KB],CPU3 Load [%],CPU3 Frequency [kHz],CPU2 Frequency [kHz],CPU5 Load [%],CPU6 Load [%],CPU5 Frequency [kHz],CPU4 Load [%],CPU8 Load [%],CPU Load [%],Battery Status,CPU6 Frequency [kHz],CPU4 Frequency [kHz],GPU Frequency [KHz],duration(s),CPU2 Load [%],CPU1 Frequency [kHz],Battery Power* [uW],CPU8 Frequency [kHz],CPU7 Frequency [kHz],GPU Load [%],CPU1 Load [%],CPU7 Load [%]
nexus6p,real-world,comandroidchrome,2748629.7164750956,17.483685220729367,1327434.932821497,1328560.91954023,20.103646833013435,10.057581573896353,1039563.9155470249,17.040307101727446,5.45489443378119,17.531669865642993,3.0,1040816.8905950096,1325813.4357005758,187687.14011516314,57,21.013435700575815,1335466.6666666667,383032.1669865643,1041848.7523992322,1042917.4664107485,2.053742802303263,42.729885057471265,8.836852207293665
nexus6p,real-world,comandroidchrome,2773844.099236641,18.998091603053435,1312854.9618320612,1312598.4732824427,19.773333333333333,10.06857142857143,1025844.2748091603,16.431297709923665,5.856870229007634,17.740458015267176,3.0,1023670.8571428572,1313056.4885496183,188845.41984732824,59,21.244274809160306,1316638.1679389314,341773.7733333333,1025221.3740458016,1025661.0687022901,1.734732824427481,44.13740458015267,7.290076335877862
nexus6p,real-world,comandroidchrome,2765325.5,18.79423076923077,1316861.5384615385,1315467.6923076923,21.121387283236995,10.699421965317919,1042941.0404624278,16.33140655105973,5.695568400770713,17.50674373795761,3.0,1044938.7283236994,1320360.6936416186,186984.58574181117,56,20.459615384615386,1320775.3846153845,382167.09248554916,1046344.5086705203,1044494.7976878613,1.905587668593449,42.64230769230769,6.628131021194605
nexus6p,real-world,comandroidchrome,2739350.153846154,18.93076923076923,1337907.6923076923,1337547.6923076923,20.307692307692307,8.685934489402698,1045181.5384615385,15.830769230769231,6.425818882466281,17.402697495183045,3.0,1045974.5664739885,1335978.4615384615,187813.1021194605,57,20.36730769230769,1341387.6923076923,365986.2576923077,1045049.710982659,1045863.5838150289,1.8516377649325626,43.16153846153846,7.886319845857418
nexus6p,real-world,comandroidchrome,2745115.2480620155,20.149224806201552,1313265.1162790698,1313879.0697674418,20.13372093023256,10.031007751937985,1041153.4883720931,14.335271317829458,5.874031007751938,17.553398058252426,3.0,1041376.7441860465,1309841.8604651163,185097.08737864078,58,21.837209302325583,1318520.9302325582,315122.23449612403,1041748.8372093023,1040744.1860465116,2.18252427184466,43.257751937984494,7.282945736434108
nexus6p,real-world,comandroidchrome,2762300.6384615386,18.865384615384617,1320756.923076923,1321107.6923076923,19.948176583493282,11.201535508637235,1038458.349328215,15.836538461538462,6.418426103646833,17.806142034548945,3.0,1040669.481765835,1318993.8461538462,189136.2763915547,57,21.151923076923076,1321584.6449136275,380078.18618042226,1041848.7523992322,1041664.4913627639,1.9309021113243763,43.723076923076924,7.585412667946257
nexus6p,real-world,comandroidchrome,2776638.7106796117,20.737864077669904,1284573.2038834952,1288963.1067961166,20.322330097087377,11.807766990291261,1041572.0388349515,15.924271844660193,5.519455252918288,17.896887159533073,3.0,1042131.2621359223,1283072.6213592233,183891.05058365758,58,20.840776699029128,1294974.7572815535,357887.19223300973,1043150.1945525291,1042802.3300970874,2.28988326848249,43.231067961165046,6.78988326848249
nexus6p,real-world,comandroidchrome,2735218.50101833,17.473577235772357,1278383.7067209776,1280925.4582484725,19.920731707317074,7.065040650406504,985482.9268292683,12.55691056910569,3.975609756097561,15.745934959349594,3.0,987629.268292683,1279648.780487805,184156.50406504064,59,21.236252545824847,1290281.0590631363,230211.01829268291,986887.8048780488,987356.0975609756,1.1504065040650406,41.20366598778004,5.119918699186992
nexus6p,real-world,comandroidchrome,2761120.2763915546,17.813819577735124,1321842.6103646832,1320515.9309021113,19.71017274472169,12.790384615384616,1055557.7735124761,15.307101727447217,5.165384615384616,17.421153846153846,3.0,1056036.8522072937,1323814.2034548945,187451.92307692306,58,21.953934740882918,1324366.9865642993,365660.1631477927,1057292.3076923077,1057403.076923077,2.1326923076923077,42.55662188099808,6.711538461538462
nexus6p,real-world,comandroidchrome,2758026.4743833016,21.22390891840607,1290553.320683112,1289924.8576850095,19.366223908918407,9.77988614800759,1032901.7077798862,14.10246679316888,5.7362428842504745,17.828897338403042,3.0,1035051.2333965844,1291154.459203036,186093.1558935361,59,21.110056925996204,1291965.0853889943,274408.055028463,1034468.311195446,1034978.3681214422,1.9809885931558935,44.84440227703985,8.66223908918406
