App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 11:46:24 AM","59 sec","Trepn_2018.10.19_114622.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
23,3,13,2736664,21,1352906,326941,28,180000,28,0,30,17,87,1555200,14,1555200,16,1555200,18,1555200,20,633600,22,633600,23,633600,26,633600,12,16,15,73,18,16,19,8,21,7,23,0,25,0,27,0,
103,3,89,2736896,101,743786,0,107,180000,107,0,108,16,187,1555200,90,1555200,93,1555200,97,1555200,99,1248000,101,1248000,103,1248000,105,1248000,88,50,92,14,95,0,98,14,101,37,103,0,104,0,106,0,
197,3,189,2737484,196,824560,0,201,180000,201,0,202,13,288,1555200,190,1555200,191,1555200,193,1555200,194,633600,196,633600,198,633600,199,633600,189,44,191,33,192,18,194,20,195,0,197,0,199,0,200,0,
297,3,290,2738256,296,659648,0,301,180000,301,0,302,9,388,1555200,290,1555200,291,1555200,293,1555200,295,633600,296,633600,298,633600,299,633600,289,50,291,22,293,20,294,0,296,0,297,0,299,0,300,0,
398,3,390,2738752,397,681158,0,401,180000,402,0,403,11,489,1555200,391,1555200,392,1555200,394,1555200,395,633600,397,633600,398,633600,400,633600,389,62,392,22,393,11,395,0,396,0,398,0,400,0,401,0,
498,3,490,2738804,497,803050,0,502,180000,502,0,503,15,589,1555200,491,1555200,492,1555200,494,1555200,495,633600,497,633600,499,633600,500,633600,490,54,492,18,494,40,495,0,497,0,498,0,500,0,501,0,
599,3,591,2739332,597,681158,0,602,180000,603,0,604,10,689,1555200,591,1555200,593,1555200,594,1555200,596,633600,598,633600,599,633600,601,633600,590,55,593,11,594,20,596,9,597,0,599,0,600,0,602,0,
700,3,692,2739932,699,462078,0,704,180000,705,0,706,7,790,384000,692,1555200,694,1555200,696,1555200,697,633600,699,633600,701,633600,702,633600,691,25,693,10,695,27,697,0,698,10,700,0,702,0,704,0,
807,3,794,2740000,804,33197,0,814,180000,814,0,815,7,891,1555200,794,960000,797,960000,799,960000,801,633600,805,633600,807,633600,811,633600,792,20,796,0,798,0,801,0,803,9,807,0,811,0,813,0,
903,3,893,2740104,901,638138,0,907,180000,907,0,908,11,991,1555200,894,1555200,895,1555200,897,1555200,899,633600,901,633600,903,633600,905,633600,892,40,895,22,897,27,899,0,900,0,903,0,905,0,906,0,
1000,3,993,2740872,998,587947,0,1003,180000,1003,0,1004,8,1092,384000,993,1555200,995,1555200,996,1555200,997,633600,999,633600,1000,633600,1001,633600,992,50,994,10,996,12,997,10,998,0,1000,0,1001,0,1002,0,
1118,3,1097,2741120,1114,49206,0,1124,180000,1124,0,1126,6,1193,1555200,1098,384000,1102,460800,1106,460800,1111,633600,1115,633600,1119,633600,1122,633600,1096,18,1102,18,1106,16,1110,0,1114,0,1118,0,1121,0,1123,0,
1204,3,1195,2741420,1202,860411,0,1210,180000,1211,0,1212,18,1293,1555200,1196,1555200,1197,1555200,1199,1555200,1200,633600,1202,633600,1204,633600,1208,633600,1194,55,1197,20,1199,25,1200,20,1202,0,1204,0,1208,0,1210,0,
1302,3,1295,2741948,1301,645308,0,1305,180000,1306,0,1307,8,1394,1555200,1296,1555200,1297,1555200,1298,1555200,1300,633600,1301,633600,1302,633600,1304,633600,1294,50,1297,20,1298,20,1299,0,1301,0,1302,0,1304,0,1305,0,
1410,3,1398,2742196,1408,129061,0,1414,180000,1415,0,1417,6,1494,1555200,1398,1555200,1401,1555200,1404,1555200,1406,633600,1408,633600,1410,633600,1412,633600,1396,18,1400,0,1403,0,1405,0,1408,0,1410,0,1412,0,1414,0,
1509,3,1497,2742672,1507,1121727,95762,1512,180000,1513,0,1514,20,1594,1555200,1498,1555200,1501,1555200,1504,1555200,1505,633600,1507,633600,1509,633600,1511,633600,1496,77,1500,33,1503,0,1505,44,1507,10,1509,0,1510,0,1512,0,
1606,3,1596,2743120,1604,827753,0,1610,180000,1610,0,1611,12,1695,1555200,1597,1555200,1599,1555200,1601,1555200,1603,633600,1605,633600,1606,633600,1608,633600,1596,60,1599,12,1600,41,1602,0,1604,10,1606,0,1608,0,1609,0,
1711,3,1699,2743680,1709,437375,0,1716,180000,1716,0,1717,9,1795,1555200,1700,1555200,1703,1555200,1706,1555200,1708,633600,1710,633600,1711,633600,1713,633600,1697,20,1702,10,1705,11,1708,20,1709,0,1711,0,1713,0,1715,0,
1809,3,1799,2743920,1807,717009,0,1812,180000,1813,0,1814,11,1896,1555200,1800,1555200,1802,1555200,1803,1555200,1805,633600,1807,633600,1809,633600,1811,633600,1798,60,1801,20,1803,0,1805,20,1807,0,1808,0,1810,0,1812,0,
1904,3,1897,2744456,1903,530586,0,1907,180000,1907,0,1908,8,1996,1555200,1898,1555200,1899,1555200,1900,1555200,1902,633600,1903,633600,1904,633600,1906,633600,1897,44,1899,20,1900,0,1901,10,1903,0,1904,0,1905,0,1906,0,
2008,3,1998,2744772,2006,272463,0,2012,180000,2013,0,2015,6,2096,1555200,1999,1555200,2001,1555200,2003,1555200,2005,633600,2007,633600,2008,633600,2010,633600,1998,11,2001,0,2003,9,2004,18,2006,0,2008,0,2010,0,2012,0,
2105,3,2098,2745236,2104,544927,0,2109,180000,2109,0,2110,8,2197,1555200,2099,1555200,2100,1555200,2101,1555200,2103,633600,2104,633600,2106,633600,2108,633600,2098,55,2100,11,2101,10,2102,0,2104,0,2105,0,2107,0,2109,0,
2207,3,2199,2743080,2206,515285,0,2211,180000,2211,0,2212,9,2297,1555200,2199,1555200,2201,1555200,2203,1555200,2204,1248000,2206,1248000,2208,1248000,2209,1248000,2198,20,2201,20,2202,11,2204,0,2205,30,2207,0,2209,0,2210,0,
2308,3,2300,2743124,2306,537757,0,2311,180000,2311,0,2312,6,2398,1344000,2300,1555200,2302,1555200,2304,1555200,2305,633600,2306,633600,2308,633600,2309,633600,2299,37,2302,20,2303,18,2305,0,2306,0,2308,0,2309,0,2311,0,
2411,3,2401,2743124,2409,61915,0,2416,180000,2417,0,2419,5,2498,1555200,2401,1344000,2403,1344000,2405,1344000,2407,633600,2410,633600,2412,633600,2414,633600,2400,0,2403,11,2405,0,2407,0,2409,0,2411,0,2413,0,2415,0,
2512,3,2501,2743640,2509,917772,0,2517,180000,2518,0,2519,15,2599,1555200,2502,1555200,2504,1555200,2506,1555200,2508,633600,2510,633600,2512,633600,2515,633600,2500,44,2503,30,2505,27,2507,27,2509,0,2511,0,2514,0,2516,0,
2609,3,2601,2743640,2607,408695,0,2612,180000,2612,0,2613,5,2699,1555200,2601,1555200,2603,1555200,2604,1555200,2606,633600,2607,633600,2609,633600,2610,633600,2600,37,2603,20,2604,0,2606,0,2607,0,2608,0,2610,0,2612,0,
2710,3,2701,2743888,2708,376037,0,2713,180000,2714,0,2715,6,2800,1555200,2702,1555200,2703,1555200,2705,1555200,2707,633600,2708,633600,2710,633600,2712,633600,2700,22,2703,18,2705,10,2706,0,2708,10,2710,0,2711,0,2713,0,
2808,3,2801,2743940,2807,453522,0,2811,180000,2811,0,2813,9,2900,1555200,2802,1555200,2803,1555200,2804,1555200,2806,768000,2807,768000,2809,768000,2810,768000,2801,50,2803,0,2804,0,2806,10,2807,10,2808,0,2810,0,2811,0,
2912,3,2902,2743940,2910,129061,0,2916,180000,2917,0,2918,5,3000,1555200,2902,1555200,2905,1555200,2906,1555200,2908,633600,2910,633600,2912,633600,2914,633600,2901,18,2904,0,2906,0,2908,0,2910,0,2912,0,2914,0,2916,0,
3011,3,3003,2743744,3009,681158,0,3014,180000,3015,0,3016,9,3101,1555200,3003,1555200,3005,1555200,3007,1555200,3008,633600,3010,633600,3011,633600,3013,633600,3002,55,3004,20,3006,20,3008,0,3009,0,3011,0,3013,0,3014,0,
3110,3,3103,2744044,3108,501906,0,3113,180000,3113,0,3114,7,3201,1478400,3103,1555200,3104,1555200,3106,1555200,3107,633600,3108,633600,3110,633600,3111,633600,3102,40,3104,30,3106,0,3107,0,3108,0,3110,0,3111,0,3112,0,
3212,3,3203,2744044,3210,204256,0,3216,180000,3216,0,3218,6,3302,1555200,3204,1478400,3206,1478400,3207,1478400,3209,633600,3211,633600,3213,633600,3214,633600,3203,11,3205,10,3207,10,3208,0,3210,0,3212,0,3214,0,3215,0,
3311,3,3304,2744196,3309,595117,0,3314,180000,3314,0,3315,8,3405,384000,3304,1555200,3306,1555200,3307,1555200,3308,633600,3310,633600,3311,633600,3312,633600,3303,50,3305,0,3307,33,3308,0,3309,0,3311,0,3312,0,3313,0,
3427,3,3410,2744320,3424,41980,0,3434,180000,3434,0,3437,6,3503,960000,3410,600000,3414,600000,3418,600000,3421,633600,3424,633600,3428,633600,3431,633600,3408,11,3414,0,3417,0,3420,20,3423,0,3427,0,3430,0,3433,0,
3517,3,3506,2744372,3515,397267,0,3521,180000,3521,0,3523,14,3603,1555200,3506,960000,3509,960000,3511,960000,3513,633600,3515,633600,3517,633600,3519,633600,3505,63,3508,25,3510,22,3513,11,3515,0,3517,0,3518,0,3520,0,
3614,3,3606,2744228,3613,595117,0,3618,180000,3618,0,3620,13,3704,1555200,3606,1555200,3608,1555200,3610,1555200,3611,633600,3613,633600,3615,633600,3616,633600,3605,50,3607,0,3609,11,3611,22,3612,0,3614,0,3616,0,3618,0,
3713,3,3706,2744476,3711,440254,0,3716,180000,3716,0,3717,5,3805,1555200,3706,1555200,3708,1555200,3709,1555200,3710,633600,3711,633600,3713,633600,3714,633600,3705,37,3707,10,3709,10,3710,0,3711,18,3713,0,3714,0,3715,0,
3818,3,3808,2744476,3816,279633,0,3821,180000,3822,0,3823,5,3905,1555200,3808,1555200,3810,1555200,3812,1555200,3814,633600,3816,633600,3818,633600,3820,633600,3806,20,3809,10,3812,0,3813,9,3816,0,3818,0,3819,0,3821,0,
3914,3,3907,2744476,3912,573607,0,3917,180000,3917,0,3918,9,4006,1555200,3907,1555200,3909,1555200,3910,1555200,3911,633600,3913,633600,3914,633600,3915,633600,3906,50,3908,10,3910,20,3911,0,3912,0,3914,0,3915,0,3916,0,
4017,3,4008,2744476,4015,387185,0,4020,180000,4021,0,4022,6,4106,1555200,4009,1555200,4010,1555200,4012,1555200,4013,633600,4015,633600,4017,633600,4018,633600,4007,27,4010,18,4011,0,4013,9,4015,0,4016,0,4018,0,4020,0,
4117,3,4108,2744724,4115,523416,0,4120,180000,4120,0,4121,10,4206,1555200,4108,1555200,4110,1555200,4112,1555200,4113,633600,4115,633600,4117,633600,4118,633600,4107,42,4110,0,4111,11,4113,20,4115,0,4116,0,4118,0,4119,0,
4215,3,4208,2744776,4213,358504,0,4218,180000,4219,0,4220,4,4307,1555200,4208,1555200,4209,1555200,4211,1555200,4212,633600,4214,633600,4216,633600,4217,633600,4207,30,4209,0,4210,20,4212,0,4213,0,4215,0,4217,0,4218,0,
4317,3,4309,2744940,4316,516246,0,4321,180000,4321,0,4323,9,4407,1555200,4309,1555200,4311,1555200,4313,1555200,4314,633600,4316,633600,4318,633600,4319,633600,4308,20,4311,25,4312,9,4314,18,4316,0,4317,0,4319,0,4321,0,
4417,3,4409,2753300,4415,776532,0,4420,180000,4420,0,4421,13,4508,384000,4410,1555200,4411,1555200,4412,1555200,4414,1248000,4415,1248000,4417,1248000,4418,1248000,4408,40,4411,11,4412,20,4414,22,4415,22,4417,0,4418,0,4419,0,
