App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 12:19:05 PM","59 sec","Trepn_2018.10.19_121904.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
129,3,109,2718188,126,421279,0,137,180000,137,0,139,19,139,1555200,110,1248000,113,1248000,115,1248000,125,633600,127,633600,129,633600,132,633600,108,45,112,27,115,20,123,26,126,4,129,0,132,4,136,0,
150,3,142,2718188,148,2747850,1921494,153,180000,154,0,155,46,187,1555200,142,1555200,144,1555200,146,1555200,147,768000,148,768000,150,768000,152,768000,141,100,144,66,145,100,147,100,148,50,150,0,151,50,153,0,
198,3,189,2718936,197,1357008,530652,202,180000,203,0,204,27,287,1555200,189,1555200,191,1555200,193,1555200,195,768000,197,768000,199,768000,201,768000,188,40,191,33,193,0,195,100,196,0,198,25,200,20,202,0,
297,3,289,2719396,295,1174707,348351,300,180000,300,0,302,17,387,1555200,289,1555200,291,1555200,292,1555200,294,633600,295,633600,297,633600,298,633600,288,50,291,36,292,11,293,50,295,9,297,0,298,0,299,0,
399,3,390,2720408,397,480396,0,403,180000,404,0,405,8,488,1555200,390,1555200,392,1555200,394,1555200,396,633600,398,633600,399,633600,401,633600,389,44,391,12,393,11,395,0,397,0,399,0,401,0,403,0,
497,3,490,2720264,496,652478,0,500,180000,501,0,502,10,588,1555200,490,1555200,491,1555200,493,1555200,494,633600,496,633600,497,633600,499,633600,489,60,491,20,492,0,494,11,495,0,497,0,498,0,500,0,
598,3,590,2720700,596,609457,0,601,180000,602,0,603,10,689,1555200,591,1555200,592,1555200,593,1555200,595,633600,596,633600,598,633600,599,633600,590,44,592,20,593,11,595,10,596,0,598,0,599,0,601,0,
699,3,691,2720804,697,745689,0,702,180000,703,0,704,11,789,1555200,692,1555200,693,1555200,695,1555200,696,633600,698,633600,699,633600,701,633600,691,55,693,20,694,20,696,9,697,0,699,0,700,0,702,0,
798,3,791,2721204,797,634161,0,802,180000,802,0,804,11,890,1555200,791,1555200,793,1555200,794,1555200,796,633600,797,633600,799,633600,800,633600,790,54,793,11,794,11,795,10,797,10,798,0,800,0,802,0,
899,3,892,2721452,897,351334,0,902,180000,903,0,904,7,990,1248000,892,1555200,893,1555200,894,1555200,896,633600,897,633600,899,633600,900,633600,891,37,893,0,894,0,896,12,897,0,898,0,900,0,902,0,
1006,3,993,2721452,1003,250169,0,1010,180000,1010,0,1012,8,1091,1555200,993,1248000,995,1248000,998,1248000,1001,633600,1003,633600,1006,633600,1008,633600,992,27,995,0,997,0,1001,20,1003,9,1005,0,1007,0,1009,0,
1105,3,1093,2722268,1102,788710,0,1109,180000,1110,0,1112,12,1191,1555200,1093,1555200,1096,1555200,1098,1555200,1100,633600,1102,633600,1105,633600,1107,633600,1092,60,1095,20,1098,10,1099,20,1102,0,1104,0,1106,0,1109,0,
1200,3,1193,2722268,1199,501906,0,1203,180000,1204,0,1205,6,1291,1555200,1193,1555200,1195,1555200,1196,1555200,1198,633600,1199,633600,1201,633600,1202,633600,1192,50,1195,9,1196,11,1197,0,1199,0,1200,0,1202,0,1203,0,
1301,3,1293,2722464,1299,286803,0,1304,180000,1304,0,1305,7,1392,1555200,1294,1555200,1295,1555200,1297,1555200,1298,633600,1300,633600,1301,633600,1302,633600,1293,22,1295,0,1296,18,1298,0,1299,0,1301,0,1302,0,1304,0,
1402,3,1394,2722568,1401,537757,0,1406,180000,1406,0,1407,8,1493,1555200,1394,1555200,1396,1555200,1397,1555200,1399,633600,1401,633600,1402,633600,1404,633600,1393,44,1395,11,1397,11,1398,9,1401,0,1402,0,1404,0,1405,0,
1508,3,1496,2721156,1506,489729,0,1513,180000,1513,0,1515,8,1593,1555200,1497,1555200,1499,1555200,1502,1555200,1504,1248000,1506,1248000,1508,1248000,1510,1248000,1495,10,1499,16,1501,27,1504,0,1506,22,1508,0,1510,0,1512,0,
1601,3,1595,2721548,1600,731349,0,1604,180000,1604,0,1605,11,1693,1555200,1595,1555200,1596,1555200,1597,1555200,1599,633600,1600,633600,1601,633600,1603,633600,1594,62,1596,20,1597,20,1598,0,1600,0,1601,0,1602,0,1603,0,
1706,3,1697,2721548,1704,136231,0,1711,180000,1711,0,1713,3,1793,1555200,1698,1555200,1700,1555200,1701,1555200,1702,633600,1705,633600,1707,633600,1709,633600,1695,10,1699,9,1701,0,1702,0,1704,0,1706,0,1708,0,1711,0,
