App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 01:53:55 PM","58 sec","Trepn_2018.10.19_135354.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
95,3,82,2635496,93,505839,0,101,180000,102,0,103,23,104,1248000,83,960000,85,960000,88,1248000,91,633600,94,633600,96,633600,98,633600,80,44,85,47,87,41,90,33,93,0,95,5,98,0,100,0,
119,3,106,2635396,116,1878894,956060,123,180000,123,0,125,41,184,1555200,107,1248000,109,1248000,111,1248000,113,633600,117,633600,119,633600,121,633600,105,75,108,100,111,100,113,100,115,0,119,0,121,0,122,0,
198,3,187,2635916,195,1498549,575715,203,180000,204,0,205,24,284,1555200,187,1555200,189,1555200,191,1555200,194,633600,196,633600,198,633600,200,633600,186,25,189,100,191,42,193,42,195,0,198,0,200,0,202,0,
297,3,287,2635628,295,1226366,303532,301,180000,301,0,303,21,385,1555200,287,1555200,289,1555200,291,1555200,293,1248000,295,1248000,297,1248000,299,1248000,286,44,289,50,291,22,293,30,294,36,296,0,298,0,300,0,
406,3,390,2636048,404,659648,0,410,180000,410,0,411,10,485,1555200,390,1555200,394,1555200,397,1555200,401,633600,404,633600,407,633600,408,633600,389,37,394,30,397,16,401,9,403,0,406,0,408,0,409,0,
500,3,488,2636320,498,492512,0,504,180000,504,0,505,10,585,1555200,489,1555200,490,1555200,493,1555200,494,633600,498,633600,501,633600,502,633600,487,42,490,12,492,12,494,0,497,11,500,0,502,0,503,0,
594,3,587,2636568,593,709839,0,598,180000,598,0,599,10,686,1555200,588,1555200,589,1555200,590,1555200,592,633600,593,633600,595,633600,596,633600,587,60,589,11,590,18,592,10,593,0,594,0,596,0,597,0,
697,3,688,2636672,695,659648,0,700,180000,700,0,701,10,786,1555200,689,1555200,690,1555200,692,1555200,693,633600,695,633600,697,633600,699,633600,687,50,690,20,691,11,693,11,695,0,696,0,698,0,700,0,
798,3,789,2637004,796,587947,0,802,180000,803,0,804,11,887,1555200,789,1555200,791,1555200,793,1555200,795,633600,797,633600,799,633600,801,633600,788,42,791,10,793,20,794,10,796,0,798,0,800,0,802,0,
896,3,889,2636808,894,645308,0,899,180000,899,0,900,11,987,1555200,889,1555200,890,1555200,892,1555200,893,633600,895,633600,896,633600,897,633600,888,50,890,11,891,20,893,9,894,0,896,0,897,0,898,0,
998,3,990,2637056,996,580777,0,1001,180000,1002,0,1003,10,1088,1555200,990,1555200,992,1555200,993,1555200,995,633600,997,633600,998,633600,1000,633600,989,44,991,27,993,0,995,10,996,0,998,0,1000,0,1001,0,
1099,3,1090,2636888,1097,573607,0,1102,180000,1102,0,1103,9,1188,1555200,1091,1555200,1092,1555200,1094,1555200,1096,633600,1097,633600,1099,633600,1100,633600,1089,37,1092,11,1094,10,1095,22,1097,0,1098,0,1100,0,1101,0,
1196,3,1190,2636744,1195,709839,0,1200,180000,1200,0,1201,11,1288,1555200,1190,1555200,1192,1555200,1193,1555200,1194,633600,1195,633600,1197,633600,1198,633600,1189,50,1191,20,1192,11,1194,18,1195,0,1196,0,1198,0,1199,0,
1303,3,1292,2636992,1300,344164,0,1307,180000,1307,0,1309,9,1390,1555200,1292,1555200,1294,1555200,1296,1555200,1299,633600,1301,633600,1303,633600,1305,633600,1290,30,1293,18,1296,0,1298,0,1300,0,1303,0,1305,0,1306,0,
1402,3,1393,2637572,1400,824560,0,1405,180000,1406,0,1407,14,1489,1555200,1394,1555200,1396,1555200,1397,1555200,1399,633600,1400,633600,1402,633600,1404,633600,1392,50,1395,18,1397,25,1398,22,1400,0,1402,0,1403,0,1405,0,
1499,3,1491,2637624,1497,325847,0,1505,180000,1505,0,1507,5,1590,1555200,1491,1555200,1493,1555200,1494,1555200,1496,633600,1497,633600,1499,633600,1503,633600,1490,33,1492,0,1494,0,1495,10,1497,10,1499,0,1503,0,1505,0,
1604,3,1593,2637624,1601,401525,0,1607,180000,1608,0,1609,7,1690,1555200,1593,1555200,1595,1555200,1598,1555200,1600,633600,1602,633600,1604,633600,1606,633600,1591,36,1595,0,1597,0,1599,20,1601,0,1603,0,1605,0,1607,0,
1699,3,1692,2637624,1698,530586,0,1702,180000,1702,0,1704,8,1791,600000,1692,1555200,1694,1555200,1695,1555200,1697,633600,1698,633600,1699,633600,1701,633600,1691,44,1694,10,1695,10,1696,10,1698,0,1699,0,1700,0,1702,0,
1812,3,1795,2637624,1809,144180,0,1818,180000,1819,0,1821,15,1891,1344000,1796,600000,1800,600000,1803,600000,1806,633600,1810,633600,1812,633600,1815,633600,1794,53,1799,11,1802,25,1805,0,1809,0,1812,0,1815,0,1818,0,
1906,3,1894,2637480,1903,624782,0,1911,180000,1912,0,1913,15,1991,1555200,1894,1344000,1897,1344000,1899,1344000,1901,633600,1903,633600,1906,633600,1909,633600,1893,63,1896,30,1898,0,1900,18,1903,0,1905,0,1909,0,1910,0,
2000,3,1993,2637680,1998,652478,0,2002,180000,2003,0,2004,8,2092,1555200,1994,1555200,1995,1555200,1996,1555200,1997,633600,1999,633600,2000,633600,2001,633600,1993,60,1995,11,1996,20,1997,0,1998,0,2000,0,2001,0,2002,0,
2103,3,2094,2637768,2102,78871,0,2107,180000,2108,0,2109,3,2192,1555200,2095,1555200,2097,1555200,2098,1555200,2100,633600,2102,633600,2104,633600,2105,633600,2093,11,2096,0,2098,0,2100,0,2102,0,2103,0,2105,0,2107,0,
2206,3,2196,2637944,2204,589387,0,2209,180000,2210,0,2211,10,2293,1555200,2196,1555200,2198,1555200,2200,1555200,2202,633600,2204,633600,2206,633600,2208,633600,2194,60,2197,20,2200,0,2202,0,2204,9,2206,0,2207,0,2209,0,
2302,3,2295,2637996,2301,444545,0,2305,180000,2306,0,2307,8,2393,960000,2296,1555200,2297,1555200,2298,1555200,2299,633600,2301,633600,2302,633600,2304,633600,2294,40,2297,11,2298,11,2299,0,2301,0,2302,0,2303,0,2305,0,
2411,3,2397,2637996,2409,190784,0,2416,180000,2417,0,2419,6,2494,1555200,2398,960000,2401,960000,2404,1248000,2407,633600,2409,633600,2412,633600,2414,633600,2396,20,2400,9,2404,0,2406,16,2409,9,2411,0,2414,0,2416,0,
