device,subject,browser,Memory Usage [KB],CPU3 Load [%],CPU3 Frequency [kHz],CPU2 Frequency [kHz],CPU5 Load [%],CPU6 Load [%],CPU5 Frequency [kHz],CPU4 Load [%],CPU8 Load [%],CPU Load [%],Battery Status,CPU6 Frequency [kHz],CPU4 Frequency [kHz],GPU Frequency [KHz],duration(s),CPU2 Load [%],CPU1 Frequency [kHz],Battery Power* [uW],CPU8 Frequency [kHz],CPU7 Frequency [kHz],GPU Load [%],CPU1 Load [%],CPU7 Load [%]
nexus6p,clojurescript,comandroidchrome,2793258.1884816755,16.479057591623036,1205757.4803149607,1201143.4554973822,12.395287958115183,13.039267015706807,948037.6963350786,15.366492146596858,3.112565445026178,14.421465968586388,3.0,948791.6230366492,1208670.1570680628,180981.67539267015,58,16.473821989528794,1212439.7905759162,193028.95287958116,952008.3769633508,949294.2408376964,1.2617801047120418,37.49214659685864,3.222513089005236
nexus6p,clojurescript,comandroidchrome,2760629.464285714,14.966517857142858,1239514.2857142857,1235775.0,15.446428571428571,8.102678571428571,943714.2857142857,14.055803571428571,2.185267857142857,13.848214285714286,3.0,946285.7142857143,1238667.857142857,180000.0,59,16.723214285714285,1236187.0824053453,166005.50892857142,948471.4285714285,946500.0,0.6785714285714286,37.21826280623608,4.620535714285714
nexus6p,clojurescript,comandroidchrome,2775590.9217391303,15.893478260869566,1250420.8695652173,1252236.5217391304,16.77391304347826,9.379084967320262,983332.1739130435,11.67608695652174,2.9847494553376905,14.342047930283224,3.0,984250.4347826086,1253603.4782608696,180544.6623093682,58,16.63478260869565,1258883.4782608696,205742.5,983675.816993464,985850.9803921569,1.0784313725490196,38.708695652173915,4.586056644880174
nexus6p,clojurescript,comandroidchrome,2783324.776859504,13.303719008264462,1285299.173553719,1284555.3719008265,16.43595041322314,9.34297520661157,990624.7933884298,13.597107438016529,3.59297520661157,14.452479338842975,3.0,990823.1404958678,1283533.8842975206,182066.11570247935,57,17.706611570247933,1285547.1074380165,232290.36983471076,992766.9421487603,990466.1157024794,0.8202479338842975,39.768595041322314,4.56404958677686
nexus6p,clojurescript,comandroidchrome,2789428.792792793,19.86186186186186,1172093.6936936937,1172324.3243243243,11.573573573573574,6.831325301204819,880086.4864864865,13.90990990990991,2.397590361445783,14.355421686746988,3.0,880424.0963855422,1176706.3063063063,180753.01204819276,59,19.95195195195195,1174227.027027027,234099.34834834834,885108.4337349398,882679.5180722892,1.4036144578313252,38.84084084084084,4.1656626506024095
nexus6p,clojurescript,comandroidchrome,2786621.1616438357,17.953296703296704,1225569.2307692308,1226695.8904109588,15.719780219780219,10.494505494505495,962320.8791208791,13.532967032967033,2.8763736263736264,14.653846153846153,3.0,955832.967032967,1236118.6813186812,182403.84615384616,59,17.865384615384617,1234520.5479452056,247303.97802197802,960791.2087912088,960527.4725274725,1.0384615384615385,37.97260273972603,3.3543956043956045
nexus6p,clojurescript,comandroidchrome,2788048.1396303903,15.447638603696099,1287218.0698151952,1290618.480492813,16.860369609856264,8.86652977412731,991973.7166324435,12.841889117043122,3.858316221765914,14.338809034907598,3.0,988188.9117043121,1289938.3983572896,180000.0,55,15.46817248459959,1290549.4866529773,166004.7248459959,986375.3593429158,988504.3121149897,0.5174537987679672,39.016427104722794,4.671457905544147
nexus6p,clojurescript,comandroidchrome,2786410.372881356,16.03954802259887,1182928.813559322,1184122.0338983051,14.858757062146893,8.426553672316384,959728.813559322,13.05367231638418,2.980225988700565,14.677053824362606,3.0,959457.6271186441,1191186.440677966,181059.3220338983,58,18.940677966101696,1188610.1694915255,219489.9463276836,956800.0,957722.033898305,1.348441926345609,38.4774011299435,6.511299435028248
nexus6p,clojurescript,comandroidchrome,2786850.350404313,14.89487870619946,1253692.7223719677,1257147.1698113207,14.487870619946092,7.991891891891892,948976.8194070081,12.377358490566039,3.4216216216216218,14.386486486486486,3.0,948064.8648648649,1261481.4016172506,180675.67567567568,58,18.797843665768195,1260873.3153638814,239539.24864864865,953824.8648648649,949362.1621621621,1.4405405405405405,39.894878706199464,5.816216216216216
nexus6p,clojurescript,comandroidchrome,2742050.6790123456,16.867283950617285,1177985.1851851852,1179051.851851852,13.234567901234568,7.520123839009288,898666.6666666666,14.87037037037037,2.2879256965944275,14.303405572755418,3.0,900378.947368421,1180814.8148148148,180773.99380804953,57,18.166666666666668,1188814.8148148148,190310.85185185185,901686.6873065016,900378.947368421,1.151702786377709,38.42283950617284,5.145510835913313
