App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 03:55:36 PM","58 sec","Trepn_2018.10.19_155535.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
182,3,161,2789632,178,966004,59900,186,180000,189,0,155,15,156,1248000,162,1248000,164,1248000,174,1555200,176,864000,179,864000,182,864000,184,864000,160,56,163,36,173,39,176,37,178,17,181,8,184,4,185,0,
200,3,193,2790056,198,3085579,2179475,203,180000,203,0,191,68,191,1555200,193,1555200,194,1555200,196,1555200,197,864000,198,864000,200,960000,202,960000,192,100,194,100,195,100,197,100,198,66,200,0,201,100,203,0,
246,3,237,2790328,244,1941591,1035487,251,180000,251,0,204,45,234,1555200,237,1555200,239,1555200,241,1555200,243,960000,245,960000,246,960000,248,960000,236,50,239,100,241,25,242,50,244,0,246,0,248,25,250,0,
346,3,336,2790880,344,1315336,409232,350,180000,351,0,253,31,334,1555200,337,1555200,339,1555200,340,1555200,342,633600,344,633600,346,633600,348,633600,335,50,338,70,340,30,342,22,344,0,346,0,347,0,349,0,
447,3,437,2791700,445,623798,0,451,180000,451,0,352,20,435,1555200,437,1555200,439,1555200,441,1555200,443,633600,445,633600,447,633600,449,633600,436,37,439,30,441,10,443,10,444,0,447,0,449,0,451,0,
500,3,488,2792196,497,717009,0,505,180000,506,0,454,10,485,1555200,488,1555200,491,1555200,493,1555200,495,633600,498,633600,500,633600,503,633600,487,60,490,0,493,0,495,40,497,0,500,0,502,0,505,0,
596,3,587,2792344,594,747129,0,600,180000,600,0,507,21,585,1555200,588,1555200,590,1555200,591,1555200,593,633600,595,633600,597,633600,598,633600,587,60,589,22,591,20,592,0,594,9,596,9,598,0,599,0,
699,3,688,2792592,697,610897,0,704,180000,705,0,601,10,686,1555200,689,1555200,691,1555200,693,1555200,695,633600,697,633600,700,633600,702,633600,687,28,691,27,693,18,695,10,697,0,699,0,701,0,704,0,
801,3,790,2792996,799,688329,0,805,180000,806,0,706,11,786,1555200,790,1555200,792,1555200,795,1555200,797,633600,799,633600,801,633600,803,633600,788,58,791,0,794,11,796,27,798,0,801,0,803,0,804,0,
896,3,888,2793100,894,559267,0,899,180000,900,0,807,12,886,1555200,889,1555200,890,1555200,892,1555200,893,633600,895,633600,896,633600,898,633600,888,55,890,12,891,11,893,0,894,0,896,0,897,0,899,0,
996,3,989,2793204,994,595117,0,1000,180000,1000,0,901,10,987,1555200,989,1555200,990,1555200,991,1555200,993,633600,995,633600,996,633600,998,633600,988,37,990,10,991,36,993,0,994,0,996,0,998,0,999,0,
1100,3,1090,2791812,1098,594156,0,1105,180000,1106,0,1001,8,1087,1555200,1090,1555200,1092,1555200,1094,1478400,1096,1248000,1098,1248000,1100,1248000,1103,1248000,1089,30,1092,20,1094,12,1096,0,1098,30,1100,0,1102,0,1105,0,
1199,3,1190,2791812,1197,609457,0,1203,180000,1204,0,1107,11,1188,1555200,1190,1555200,1192,1555200,1194,1555200,1195,633600,1197,633600,1199,633600,1201,633600,1189,54,1192,11,1193,20,1195,0,1197,0,1199,0,1201,0,1203,0,
1296,3,1290,2791864,1295,423035,0,1300,180000,1300,0,1205,13,1288,1555200,1290,1555200,1291,1555200,1293,1555200,1294,633600,1295,633600,1297,633600,1298,633600,1289,30,1291,20,1292,9,1294,0,1295,0,1296,0,1298,0,1299,0,
1413,3,1395,2792112,1410,114925,0,1420,180000,1421,0,1301,4,1389,672000,1396,672000,1400,864000,1403,864000,1407,633600,1410,633600,1414,633600,1418,633600,1393,22,1399,25,1402,9,1405,0,1410,0,1413,0,1417,0,1420,0,
1499,3,1491,2792216,1497,781540,0,1502,180000,1503,0,1422,9,1490,1555200,1492,1555200,1493,1555200,1495,1555200,1496,633600,1498,633600,1499,633600,1501,633600,1491,63,1493,22,1494,12,1496,12,1497,0,1499,0,1500,0,1502,0,
1604,3,1594,2792072,1602,401211,0,1608,180000,1608,0,1504,12,1590,1555200,1596,1555200,1598,1555200,1600,1555200,1601,633600,1603,633600,1605,633600,1606,633600,1592,16,1598,11,1599,11,1601,16,1602,8,1604,0,1606,0,1608,0,
1699,3,1692,2792072,1698,401525,0,1703,180000,1703,0,1610,9,1690,1555200,1693,1555200,1694,1555200,1695,1555200,1697,633600,1698,633600,1700,633600,1701,633600,1691,33,1694,0,1695,12,1696,11,1698,0,1699,0,1701,0,1702,0,
1800,3,1793,2792220,1798,559267,0,1803,180000,1803,0,1704,6,1791,1555200,1793,1555200,1795,1555200,1796,1555200,1797,633600,1799,633600,1800,633600,1801,633600,1792,40,1794,10,1796,18,1797,10,1798,0,1800,0,1801,0,1803,0,
1922,3,1900,2792468,1920,118260,0,1929,180000,1930,0,1805,8,1893,600000,1901,600000,1906,600000,1912,600000,1916,633600,1920,633600,1923,633600,1925,633600,1896,27,1905,18,1910,18,1915,10,1919,0,1922,0,1925,0,1928,0,
2006,3,1995,2792912,2004,1009561,103457,2011,180000,2011,0,1932,14,1992,1344000,1996,1555200,1998,1555200,2000,1555200,2002,633600,2004,633600,2006,633600,2008,633600,1994,80,1997,44,1999,12,2001,22,2003,0,2006,0,2008,0,2010,0,
2101,3,2094,2792936,2100,673988,0,2104,180000,2105,0,2013,13,2092,1555200,2095,1555200,2096,1555200,2097,1555200,2098,633600,2100,633600,2101,633600,2103,633600,2094,55,2096,10,2097,18,2098,11,2099,0,2101,0,2102,0,2104,0,
2205,3,2195,2793000,2204,71700,0,2209,180000,2209,0,2106,11,2193,1555200,2196,1555200,2199,1555200,2201,1555200,2203,633600,2204,633600,2206,633600,2207,633600,2194,0,2198,0,2201,0,2202,10,2204,0,2205,0,2207,0,2208,0,
2303,3,2295,2793124,2301,616628,0,2306,180000,2307,0,2210,4,2293,1555200,2295,1555200,2297,1555200,2298,1555200,2300,633600,2302,633600,2303,633600,2305,633600,2294,37,2297,0,2298,9,2300,40,2301,0,2303,0,2304,0,2306,0,
2403,3,2395,2793176,2402,329824,0,2407,180000,2407,0,2308,8,2393,1555200,2396,1555200,2397,1555200,2398,1555200,2400,633600,2402,633600,2404,633600,2405,633600,2395,25,2397,0,2398,11,2399,10,2401,0,2403,0,2405,0,2407,0,
2504,3,2496,2793032,2502,487566,0,2507,180000,2507,0,2409,3,2494,1555200,2496,1555200,2498,1555200,2499,1555200,2501,633600,2503,633600,2504,633600,2505,633600,2495,10,2497,18,2499,18,2501,22,2502,0,2504,0,2505,0,2507,0,
2604,3,2596,2793032,2603,566437,0,2607,180000,2607,0,2508,11,2594,1555200,2597,1555200,2599,1555200,2600,1555200,2602,633600,2603,633600,2604,633600,2606,633600,2595,42,2599,11,2600,16,2601,10,2603,0,2604,0,2605,0,2607,0,
2711,3,2698,2793032,2708,272463,0,2714,180000,2715,0,2608,10,2695,1555200,2699,1555200,2701,1555200,2704,1555200,2706,633600,2709,633600,2711,633600,2713,633600,2697,18,2701,0,2703,0,2706,20,2708,0,2710,0,2712,0,2714,0,
2807,3,2798,2793148,2805,711278,0,2811,180000,2812,0,2716,5,2795,1555200,2798,1555200,2800,1555200,2802,1555200,2804,633600,2806,633600,2808,633600,2809,633600,2796,50,2799,12,2801,10,2803,25,2805,9,2807,0,2809,0,2811,0,
2904,3,2897,2793464,2902,308314,0,2907,180000,2907,0,2813,9,2895,1555200,2898,1555200,2899,1555200,2900,1555200,2901,633600,2903,633600,2904,633600,2905,633600,2897,33,2899,0,2900,10,2901,0,2902,0,2904,0,2905,0,2906,0,
3009,3,2999,2793568,3007,423035,0,3013,180000,3014,0,2908,6,2996,1555200,3000,1555200,3002,1555200,3004,1555200,3006,633600,3007,633600,3009,633600,3011,633600,2998,33,3002,10,3003,16,3006,0,3007,0,3009,0,3011,0,3013,0,
3104,3,3098,2793752,3103,516246,0,3107,180000,3108,0,3015,7,3096,1555200,3098,1555200,3099,1555200,3101,1555200,3102,633600,3103,633600,3105,633600,3106,633600,3097,50,3099,11,3100,11,3102,0,3103,0,3104,0,3106,0,3107,0,
3215,3,3201,2793808,3212,144623,0,3221,180000,3221,0,3109,8,3197,1248000,3202,1248000,3204,1248000,3207,1248000,3209,633600,3213,633600,3215,633600,3218,633600,3199,11,3203,9,3206,0,3209,9,3211,0,3214,0,3217,0,3220,0,
3310,3,3300,2793912,3308,695499,0,3314,180000,3314,0,3222,7,3297,1555200,3301,1555200,3302,1555200,3304,1555200,3306,633600,3308,633600,3310,633600,3312,633600,3299,55,3302,20,3304,22,3306,0,3307,0,3310,0,3312,0,3313,0,
3407,3,3400,2793912,3406,430205,0,3410,180000,3410,0,3315,9,3398,1555200,3400,1555200,3402,1555200,3403,1555200,3405,633600,3406,633600,3407,633600,3408,633600,3399,50,3402,10,3403,0,3404,0,3406,0,3407,0,3408,0,3409,0,
3509,3,3501,2793912,3508,437375,0,3514,180000,3514,0,3411,6,3498,1555200,3501,1555200,3503,1555200,3504,1555200,3506,633600,3508,633600,3510,633600,3511,633600,3500,41,3502,0,3504,10,3506,10,3507,0,3509,0,3511,0,3513,0,
3608,3,3601,2793964,3606,473226,0,3611,180000,3611,0,3515,9,3599,1555200,3601,1555200,3603,1555200,3604,1555200,3605,633600,3607,633600,3608,633600,3609,633600,3600,45,3602,11,3604,10,3605,0,3606,0,3608,0,3609,0,3611,0,
3711,3,3702,2793964,3709,265293,0,3715,180000,3716,0,3612,8,3699,1555200,3702,1555200,3704,1555200,3705,1555200,3707,633600,3709,633600,3712,633600,3713,633600,3701,12,3703,9,3705,0,3707,16,3708,0,3711,0,3713,0,3715,0,
3812,3,3802,2792108,3810,1016268,110164,3816,180000,3817,0,3717,8,3800,1555200,3802,1555200,3804,1555200,3806,1555200,3808,960000,3810,960000,3813,960000,3815,633600,3801,50,3804,40,3806,27,3808,11,3810,30,3812,0,3814,0,3816,0,
3908,3,3902,2791960,3907,293973,0,3911,180000,3911,0,3818,15,3900,1555200,3902,1555200,3903,1555200,3904,1555200,3906,633600,3907,633600,3908,633600,3910,633600,3901,20,3903,10,3904,11,3905,0,3907,0,3908,0,3909,0,3911,0,
4016,3,4004,2792208,4013,279633,0,4019,180000,4020,0,3913,5,4000,1555200,4004,1555200,4006,1555200,4008,1555200,4011,633600,4013,633600,4016,633600,4018,633600,4002,30,4005,0,4008,9,4010,0,4013,0,4015,0,4017,0,4019,0,
4110,3,4103,2792384,4109,612650,0,4113,180000,4114,0,4021,7,4101,1555200,4103,1555200,4105,1555200,4106,1555200,4107,633600,4109,633600,4110,633600,4112,633600,4102,55,4104,10,4106,0,4107,18,4108,10,4110,0,4111,0,4113,0,
4215,3,4204,2792604,4213,215102,0,4218,180000,4219,0,4115,10,4201,1555200,4205,1555200,4207,1555200,4210,1555200,4211,633600,4213,633600,4215,633600,4217,633600,4203,20,4206,0,4209,10,4211,0,4213,0,4214,0,4216,0,4218,0,
4314,3,4304,2792656,4312,458886,0,4318,180000,4318,0,4220,2,4302,1555200,4305,1555200,4306,1555200,4308,1555200,4310,633600,4312,633600,4314,633600,4316,633600,4303,44,4306,0,4308,20,4310,0,4311,0,4313,0,4315,0,4317,0,
