App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 05:30:21 PM","59 sec","Trepn_2018.10.19_173020.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
10,3,3,2675032,8,1212676,132430,13,180000,13,0,14,26,83,1555200,3,1555200,4,1555200,6,1555200,7,768000,9,768000,10,768000,11,768000,2,27,4,92,5,21,7,21,8,25,10,23,11,8,12,0,
97,3,86,2675912,95,727543,0,100,180000,100,0,102,11,184,1555200,87,1555200,89,1555200,91,1555200,93,1248000,96,768000,97,768000,99,768000,85,44,88,30,90,0,93,0,95,25,97,0,98,0,100,0,
193,3,185,2676372,192,870774,0,197,180000,198,0,199,17,284,1555200,186,1555200,187,1555200,188,1555200,190,633600,192,633600,194,633600,195,633600,185,50,187,25,188,22,190,22,192,10,193,0,195,0,197,0,
298,3,286,2676376,294,437375,0,301,180000,302,0,304,11,384,1555200,287,1555200,289,1555200,291,1555200,293,633600,295,633600,298,633600,300,633600,286,33,289,10,290,18,292,0,294,0,297,10,299,0,301,0,
394,3,386,2676960,392,748882,0,397,180000,398,0,399,10,485,1555200,387,1555200,388,1555200,389,1555200,391,633600,393,633600,394,633600,396,633600,386,50,388,22,389,30,391,0,392,0,394,0,395,0,397,0,
496,3,487,2677260,494,552097,0,499,180000,500,0,501,11,585,1555200,487,1555200,489,1555200,491,1555200,493,633600,494,633600,496,633600,498,633600,486,55,488,11,490,0,492,11,494,0,496,0,497,0,499,0,
596,3,588,2677560,595,745689,0,600,180000,601,0,602,12,686,1555200,588,1555200,590,1555200,592,1555200,593,633600,595,633600,597,633600,598,633600,587,50,589,27,591,27,593,0,594,0,596,0,598,0,600,0,
697,3,688,2677860,695,652478,0,701,180000,701,0,703,10,786,1555200,688,1555200,690,1555200,692,1555200,693,633600,695,633600,697,633600,700,633600,687,55,690,25,691,11,693,0,695,0,697,0,699,0,701,0,
797,3,788,2678212,795,526609,0,801,180000,801,0,803,10,887,1555200,789,1555200,790,1555200,792,1555200,794,633600,796,633600,798,633600,799,633600,788,50,790,11,792,0,793,10,795,10,797,0,799,0,801,0,
899,3,889,2678584,897,705862,0,903,180000,903,0,905,12,987,1555200,889,1555200,891,1555200,893,1555200,895,633600,897,633600,899,633600,901,633600,888,50,891,18,893,18,895,10,896,10,899,0,901,0,902,0,
997,3,989,2678832,996,444545,0,1001,180000,1001,0,1002,6,1087,1555200,990,1555200,991,1555200,993,1555200,994,633600,996,633600,997,633600,999,633600,988,40,991,11,992,11,994,0,995,0,997,0,999,0,1000,0,
1098,3,1090,2679288,1096,423035,0,1102,180000,1102,0,1104,7,1188,1555200,1090,1555200,1092,1555200,1093,1555200,1095,633600,1097,633600,1099,633600,1100,633600,1089,30,1091,10,1093,9,1095,10,1096,0,1098,0,1100,0,1101,0,
1197,3,1190,2679536,1196,509076,0,1200,180000,1201,0,1202,10,1288,1555200,1190,1555200,1192,1555200,1193,1555200,1194,633600,1196,633600,1197,633600,1199,633600,1189,50,1191,10,1193,0,1194,11,1196,0,1197,0,1198,0,1200,0,
1303,3,1291,2680032,1301,286803,0,1307,180000,1308,0,1309,4,1389,1555200,1292,1555200,1294,1555200,1296,1555200,1299,633600,1301,633600,1304,633600,1306,633600,1290,22,1294,0,1296,9,1298,9,1301,0,1303,0,1305,0,1307,0,
1401,3,1391,2680652,1400,616628,0,1405,180000,1405,0,1406,14,1489,1555200,1392,1555200,1395,1555200,1396,1555200,1398,633600,1400,633600,1401,633600,1403,633600,1390,54,1394,11,1396,11,1398,10,1399,0,1401,0,1402,0,1404,0,
1498,3,1491,2680900,1497,595117,0,1501,180000,1502,0,1503,7,1590,1555200,1491,1555200,1493,1555200,1494,1555200,1495,633600,1497,633600,1498,633600,1500,633600,1490,50,1492,22,1494,0,1495,11,1497,0,1498,0,1500,0,1501,0,
1601,3,1592,2681172,1599,304022,0,1605,180000,1605,0,1607,6,1691,1555200,1592,1555200,1594,1555200,1596,1555200,1598,633600,1600,633600,1601,633600,1603,633600,1591,11,1594,18,1596,9,1597,0,1599,18,1601,0,1603,0,1604,0,
1706,3,1695,2681668,1704,573607,0,1711,180000,1711,0,1713,14,1792,1555200,1695,1555200,1698,1555200,1700,1555200,1702,1248000,1705,633600,1707,633600,1709,633600,1693,50,1697,20,1699,10,1701,0,1704,0,1706,0,1708,0,1710,0,
1802,3,1793,2679636,1801,641331,0,1806,180000,1806,0,1808,8,1892,1555200,1794,1555200,1796,1555200,1798,1555200,1799,633600,1801,633600,1803,633600,1804,633600,1793,44,1796,33,1798,0,1799,10,1801,10,1802,10,1804,0,1806,0,
1903,3,1894,2679440,1901,347357,0,1906,180000,1907,0,1908,9,1992,1555200,1895,1555200,1896,1555200,1898,1555200,1899,633600,1901,633600,1903,633600,1905,633600,1893,36,1896,10,1898,0,1899,0,1901,0,1903,0,1904,0,1906,0,
2001,3,1995,2679296,2000,653918,0,2005,180000,2005,0,2006,10,2093,1555200,1995,1555200,1996,1555200,1997,1555200,1999,633600,2000,633600,2002,633600,2003,633600,1994,50,1996,10,1997,11,1999,18,2000,9,2001,0,2003,0,2004,0,
2106,3,2096,2679776,2104,236613,0,2109,180000,2110,0,2111,3,2193,1555200,2097,1555200,2100,1555200,2101,1555200,2103,633600,2104,633600,2106,633600,2108,633600,2095,11,2099,22,2101,0,2102,0,2104,0,2105,0,2107,0,2109,0,
2202,3,2195,2679828,2201,466056,0,2206,180000,2206,0,2207,8,2294,1555200,2196,1555200,2197,1555200,2198,1555200,2200,633600,2201,633600,2203,633600,2204,633600,2195,25,2197,20,2198,20,2199,0,2201,0,2202,0,2204,0,2205,0,
2303,3,2296,2679828,2301,505099,0,2306,180000,2307,0,2308,8,2394,1555200,2296,1555200,2297,1555200,2299,1555200,2300,633600,2302,633600,2303,633600,2305,633600,2295,40,2297,18,2298,10,2300,0,2301,10,2303,0,2304,0,2306,0,
2405,3,2397,2680056,2403,437375,0,2407,180000,2408,0,2409,9,2495,1555200,2397,1555200,2399,1555200,2400,1555200,2402,633600,2403,633600,2405,633600,2406,633600,2396,30,2398,10,2400,11,2401,10,2403,0,2404,0,2406,0,2407,0,
2512,3,2496,2680328,2510,480396,0,2515,180000,2515,0,2516,7,2595,1555200,2497,1555200,2501,1555200,2505,1555200,2509,633600,2510,633600,2512,633600,2513,633600,2496,40,2500,0,2504,0,2508,27,2510,0,2511,0,2513,0,2514,0,
2604,3,2597,2680324,2602,229443,0,2607,180000,2607,0,2608,4,2695,1555200,2597,1555200,2599,1555200,2600,1555200,2601,633600,2603,633600,2604,633600,2606,633600,2596,11,2598,0,2600,10,2601,11,2602,0,2604,0,2605,0,2607,0,
2704,3,2697,2680128,2703,587947,0,2707,180000,2708,0,2709,8,2796,1248000,2698,1555200,2699,1555200,2700,1555200,2702,633600,2703,633600,2705,633600,2706,633600,2697,37,2699,0,2700,18,2702,27,2703,0,2704,0,2706,0,2707,0,
2812,3,2799,2680128,2809,129662,0,2818,180000,2818,0,2819,5,2897,1555200,2800,1248000,2802,1248000,2805,1248000,2807,633600,2810,633600,2812,633600,2815,633600,2798,16,2802,0,2804,10,2806,0,2809,0,2812,0,2815,0,2817,0,
2910,3,2899,2680532,2908,573607,0,2914,180000,2915,0,2916,13,2997,1555200,2900,1555200,2902,1555200,2904,1555200,2906,633600,2908,633600,2910,633600,2913,633600,2898,60,2901,20,2903,0,2906,0,2907,0,2910,0,2912,0,2914,0,
3006,3,2999,2680336,3004,688329,0,3008,180000,3009,0,3010,9,3097,1555200,2999,1555200,3000,1555200,3002,1555200,3003,633600,3004,633600,3006,633600,3007,633600,2998,55,3000,20,3001,11,3003,10,3004,0,3005,0,3007,0,3008,0,
3109,3,3100,2680336,3107,207932,0,3113,180000,3114,0,3115,4,3198,1555200,3100,1555200,3102,1555200,3104,1555200,3106,633600,3108,633600,3109,633600,3111,633600,3099,10,3102,10,3104,9,3105,0,3107,0,3109,0,3111,0,3113,0,
3209,3,3200,2680636,3207,645308,0,3212,180000,3212,0,3213,8,3298,1555200,3201,1555200,3202,1555200,3204,1555200,3206,633600,3207,633600,3209,633600,3211,633600,3199,62,3202,18,3203,10,3205,0,3207,0,3209,0,3210,0,3212,0,
3307,3,3300,2680884,3306,315484,0,3310,180000,3310,0,3311,5,3399,1555200,3300,1555200,3302,1555200,3303,1555200,3305,633600,3306,633600,3308,633600,3309,633600,3299,22,3301,11,3303,0,3305,11,3306,0,3307,0,3308,0,3310,0,
3408,3,3401,2680892,3406,358504,0,3411,180000,3411,0,3412,8,3499,1555200,3401,1555200,3402,1555200,3404,1555200,3405,633600,3407,633600,3408,633600,3409,633600,3400,30,3402,10,3403,10,3405,0,3406,0,3408,0,3409,0,3411,0,
3510,3,3501,2680892,3508,460325,0,3513,180000,3514,0,3515,6,3600,384000,3502,1555200,3503,1555200,3505,1555200,3507,633600,3508,633600,3510,633600,3512,633600,3501,33,3503,11,3505,18,3506,0,3508,9,3510,0,3511,0,3513,0,
