App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 06:57:39 PM","58 sec","Trepn_2018.10.19_185738.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
75,3,56,2666740,72,700527,0,79,180000,80,0,82,25,86,1555200,57,960000,66,1248000,69,1248000,71,633600,73,633600,75,633600,77,633600,55,60,65,41,68,47,70,56,72,0,75,0,77,0,79,0,
99,3,89,2666988,97,2130329,1123709,102,180000,103,0,104,42,187,1555200,89,1555200,91,1555200,93,1555200,95,633600,97,633600,99,633600,100,633600,88,75,91,66,93,50,95,100,97,25,98,0,100,0,102,0,
208,3,195,2666988,206,1178774,172154,212,180000,213,0,214,18,288,1555200,196,1555200,199,1555200,201,1555200,203,633600,207,633600,209,633600,210,633600,193,88,198,36,201,18,203,18,206,18,208,0,210,0,212,0,
300,3,291,2666988,298,564213,0,304,180000,304,0,306,11,389,1248000,291,1555200,293,1555200,295,1555200,296,633600,298,633600,300,633600,302,633600,289,44,292,22,294,0,296,10,297,11,300,0,302,0,303,0,
402,3,392,2667232,400,503687,0,406,180000,407,0,408,12,489,1248000,392,1248000,394,1248000,396,1248000,398,633600,400,633600,402,633600,404,633600,390,41,394,30,396,20,397,10,400,0,402,0,404,0,406,0,
503,3,493,2667480,501,443843,0,507,180000,508,0,509,12,590,1248000,493,1248000,495,1248000,497,1248000,500,633600,502,633600,504,633600,506,633600,491,30,495,11,497,30,499,18,501,0,503,0,505,0,507,0,
603,3,593,2667728,601,408934,0,607,180000,608,0,609,10,690,1555200,593,1248000,595,1248000,597,1248000,599,633600,601,633600,603,633600,605,633600,591,54,595,10,597,18,599,0,601,0,603,0,605,0,607,0,
702,3,693,2668248,700,681158,0,706,180000,706,0,707,13,791,1555200,694,1555200,695,1555200,697,1555200,699,633600,700,633600,702,633600,704,633600,692,40,695,22,697,33,698,0,700,0,702,0,704,0,705,0,
803,3,793,2668248,801,623798,0,807,180000,807,0,808,6,891,1555200,794,1555200,796,1555200,797,1555200,799,633600,801,633600,803,633600,805,633600,792,55,795,10,797,11,799,11,801,0,802,0,805,0,806,0,
902,3,894,2668496,901,695499,0,906,180000,907,0,908,14,992,1555200,894,1555200,896,1555200,898,1555200,899,633600,901,633600,903,633600,905,633600,893,60,896,11,897,16,899,10,901,0,902,0,904,0,906,0,
1003,3,995,2668572,1002,648501,0,1007,180000,1007,0,1009,10,1092,1555200,995,1555200,997,1555200,998,1555200,1000,633600,1002,633600,1004,633600,1005,633600,993,50,996,18,998,10,1000,10,1001,10,1003,0,1005,0,1007,0,
1102,3,1095,2668376,1100,552097,0,1105,180000,1105,0,1106,11,1193,1555200,1095,1555200,1096,1555200,1098,1555200,1099,633600,1100,633600,1102,633600,1103,633600,1093,44,1096,11,1097,22,1099,0,1100,0,1102,0,1103,0,1104,0,
1204,3,1196,2668376,1203,587947,0,1208,180000,1208,0,1210,11,1294,1555200,1196,1555200,1198,1555200,1200,1555200,1201,633600,1203,633600,1204,633600,1206,633600,1194,60,1197,0,1199,22,1201,0,1202,0,1204,0,1206,0,1207,0,
1303,3,1296,2668872,1302,810220,0,1306,180000,1307,0,1308,14,1394,1555200,1296,1555200,1298,1555200,1299,1555200,1300,633600,1302,633600,1303,633600,1305,633600,1295,55,1297,18,1299,22,1300,18,1302,0,1303,0,1305,0,1306,0,
1406,3,1397,2669136,1404,580777,0,1409,180000,1409,0,1411,8,1494,1555200,1397,1555200,1399,1555200,1401,1555200,1402,633600,1404,633600,1406,633600,1407,633600,1395,54,1399,0,1400,27,1402,0,1404,0,1405,0,1407,0,1409,0,
1504,3,1497,2669136,1503,630968,0,1507,180000,1508,0,1509,10,1595,1555200,1497,1555200,1498,1555200,1500,1555200,1501,633600,1503,633600,1504,633600,1506,633600,1496,37,1498,10,1500,30,1501,11,1502,0,1504,0,1505,0,1507,0,
1604,3,1597,2669024,1603,559267,0,1607,180000,1608,0,1609,7,1695,1555200,1597,1555200,1599,1555200,1600,1555200,1601,633600,1603,633600,1605,633600,1606,633600,1596,50,1598,10,1600,18,1601,0,1603,0,1604,0,1606,0,1607,0,
