App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 08:18:00 PM","57 sec","Trepn_2018.10.19_201759.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
126,3,111,2701516,124,515082,0,132,180000,132,0,134,19,134,1555200,111,1248000,114,1248000,118,1555200,122,633600,125,633600,127,633600,129,633600,110,52,113,26,117,19,122,33,124,5,126,0,129,0,131,0,
146,3,137,2701504,144,2711919,1908381,151,180000,151,0,153,38,189,1555200,137,1555200,139,1555200,141,1555200,143,633600,145,633600,147,633600,149,633600,136,66,139,100,141,100,142,100,144,50,146,50,148,0,150,0,
220,3,204,2702364,217,1774574,971036,226,180000,226,0,228,37,289,1555200,205,1555200,207,1555200,211,1555200,213,633600,218,633600,221,633600,224,633600,203,33,206,100,211,42,213,50,217,42,220,14,224,0,225,0,
299,3,291,2703444,297,1996322,1192784,302,180000,302,0,304,33,389,1555200,291,1555200,293,1555200,294,1555200,296,633600,297,633600,299,633600,300,633600,290,100,293,83,294,50,296,42,297,0,299,0,300,0,302,0,
400,3,392,2703664,399,831730,28192,404,180000,404,0,406,13,490,1555200,392,1555200,394,1555200,395,1555200,397,633600,399,633600,401,633600,402,633600,391,40,393,36,395,20,397,20,398,0,400,0,402,0,404,0,
506,3,494,2704212,504,530586,0,510,180000,511,0,512,10,590,1555200,494,1555200,496,1555200,499,1555200,501,633600,504,633600,507,633600,509,633600,492,44,496,12,498,18,500,0,504,0,506,0,508,0,510,0,
600,3,592,2704592,598,643084,0,603,180000,604,0,605,10,691,1555200,593,1555200,594,1555200,596,1555200,597,633600,599,633600,600,633600,602,633600,591,54,594,11,595,0,597,22,598,11,600,0,601,0,603,0,
700,3,693,2705088,699,673988,0,704,180000,704,0,705,11,791,1555200,693,1555200,695,1555200,696,1555200,697,633600,699,633600,701,633600,702,633600,692,55,694,20,696,10,697,9,699,0,700,0,702,0,703,0,
803,3,794,2705416,801,717009,0,808,180000,808,0,809,13,891,1555200,794,1555200,796,1555200,798,1555200,800,633600,802,633600,804,633600,806,633600,792,50,796,30,797,11,799,9,801,0,803,0,805,0,807,0,
901,3,893,2705688,899,662841,0,904,180000,904,0,906,9,992,1555200,894,1555200,895,1555200,897,1555200,898,633600,900,633600,901,633600,902,633600,893,60,895,20,896,10,898,0,899,10,901,0,902,0,904,0,
1001,3,994,2705936,1000,580777,0,1004,180000,1005,0,1006,10,1094,384000,994,1555200,996,1555200,997,1555200,999,633600,1000,633600,1002,633600,1003,633600,993,50,996,11,997,10,999,10,1000,0,1001,0,1003,0,1004,0,
1123,3,1105,2706380,1120,59867,0,1131,180000,1132,0,1134,10,1194,960000,1106,384000,1110,600000,1113,600000,1117,633600,1120,633600,1124,633600,1128,633600,1103,27,1110,25,1113,9,1116,0,1119,0,1123,0,1127,0,1130,0,
1214,3,1198,2706928,1211,384134,0,1219,180000,1220,0,1221,14,1294,1555200,1199,960000,1202,960000,1205,960000,1208,633600,1211,633600,1215,633600,1217,633600,1196,62,1201,0,1204,33,1207,22,1211,0,1214,0,1216,0,1219,0,
1305,3,1296,2707372,1303,638138,0,1310,180000,1310,0,1312,8,1395,1555200,1297,1555200,1298,1555200,1300,1555200,1301,633600,1303,633600,1306,633600,1307,633600,1295,60,1298,18,1299,11,1301,0,1303,0,1305,0,1307,0,1309,0,
1404,3,1397,2707620,1403,430205,0,1407,180000,1408,0,1409,9,1496,1555200,1397,1555200,1399,1555200,1400,1555200,1402,633600,1403,633600,1404,633600,1406,633600,1396,60,1399,0,1400,0,1401,0,1403,0,1404,0,1406,0,1407,0,
1513,3,1499,2705764,1510,637817,0,1518,180000,1519,0,1520,12,1596,1555200,1500,1555200,1503,1555200,1505,1555200,1508,1248000,1511,1248000,1513,1248000,1516,633600,1498,20,1502,33,1505,11,1507,18,1510,10,1513,0,1516,0,1518,0,
