App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 11:24:29 AM","58 sec","Trepn_2018.10.20_112428.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
99,3,84,2645848,97,587252,0,104,180000,104,0,106,22,106,1555200,85,1248000,88,1248000,90,1248000,93,768000,97,768000,100,768000,102,768000,83,52,87,42,89,26,92,36,97,10,99,5,101,0,103,0,
118,3,109,2646336,116,2162686,1222587,122,180000,122,0,123,41,185,1555200,109,1555200,111,1555200,113,1555200,115,633600,117,633600,118,633600,120,633600,108,100,110,100,113,100,114,0,116,0,118,50,120,0,121,0,
210,3,200,2646476,208,1266753,326654,214,180000,215,0,216,20,285,1555200,201,1555200,203,1555200,205,1555200,206,633600,209,633600,211,633600,212,633600,199,22,203,100,204,20,206,20,208,10,210,10,212,0,214,0,
295,3,287,2646912,293,583499,0,298,180000,299,0,300,12,386,1555200,288,1555200,289,1555200,290,1555200,292,633600,293,633600,295,633600,296,633600,286,37,289,25,290,14,292,0,293,12,295,0,296,0,297,0,
396,3,388,2647448,394,817390,0,399,180000,399,0,401,11,486,1555200,389,1555200,390,1555200,391,1555200,393,633600,394,633600,396,633600,397,633600,387,44,390,22,391,20,393,28,394,0,395,0,397,0,398,0,
496,3,489,2648444,495,632407,0,500,180000,500,0,501,12,587,1555200,489,1555200,490,1555200,492,1555200,493,633600,495,633600,496,633600,498,633600,488,50,490,36,492,0,493,0,494,9,496,0,497,0,499,0,
597,3,589,2648352,595,516246,0,600,180000,601,0,602,11,688,1555200,590,1555200,591,1555200,593,1555200,594,633600,596,633600,597,633600,599,633600,588,50,591,12,592,0,594,10,595,0,597,0,598,0,600,0,
700,3,691,2648836,698,688329,0,703,180000,704,0,705,12,788,1555200,691,1555200,693,1555200,695,1555200,696,633600,698,633600,700,633600,702,633600,689,60,692,20,694,16,696,0,697,0,699,0,701,0,703,0,
799,3,791,2649188,798,591140,0,803,180000,803,0,804,10,889,1555200,791,1555200,793,1555200,795,1555200,796,633600,798,633600,800,633600,801,633600,790,40,793,30,794,0,796,10,798,10,799,0,801,0,802,0,
898,3,891,2649488,897,673988,0,901,180000,902,0,903,13,989,1555200,891,1555200,893,1555200,894,1555200,895,633600,897,633600,899,633600,900,633600,890,55,892,30,894,9,895,0,897,0,898,0,900,0,901,0,
1003,3,992,2650036,1001,638138,0,1007,180000,1007,0,1009,9,1089,1555200,993,1555200,994,1555200,996,1555200,999,633600,1001,633600,1003,633600,1005,633600,991,50,994,20,996,10,999,9,1000,0,1002,0,1005,0,1006,0,
1099,3,1092,2650176,1098,501906,0,1103,180000,1103,0,1104,7,1190,1555200,1092,1555200,1093,1555200,1094,1555200,1096,633600,1098,633600,1100,633600,1101,633600,1091,50,1093,20,1094,0,1096,0,1097,0,1099,0,1101,0,1102,0,
1205,3,1194,2650548,1202,193592,0,1210,180000,1210,0,1211,6,1291,1555200,1194,1555200,1196,1555200,1198,1555200,1201,633600,1203,633600,1205,633600,1208,633600,1192,27,1196,0,1198,0,1200,0,1202,0,1205,0,1207,0,1209,0,
1306,3,1294,2650848,1302,724179,0,1310,180000,1311,0,1312,8,1391,1555200,1295,1555200,1296,1555200,1299,1555200,1301,633600,1303,633600,1306,633600,1308,633600,1292,54,1296,10,1298,27,1300,10,1302,0,1305,0,1308,0,1310,0,
1403,3,1393,2651556,1401,451715,0,1406,180000,1406,0,1407,9,1491,1555200,1394,1555200,1397,1555200,1398,1555200,1400,633600,1401,633600,1403,633600,1404,633600,1392,42,1396,0,1398,11,1400,10,1401,0,1403,0,1404,0,1405,0,
1503,3,1494,2651804,1501,339873,0,1507,180000,1507,0,1508,5,1592,1555200,1495,1555200,1496,1555200,1498,1555200,1500,633600,1502,633600,1503,633600,1505,633600,1493,33,1496,0,1498,10,1499,0,1501,18,1503,0,1505,0,1506,0,
1601,3,1594,2652052,1600,437375,0,1604,180000,1604,0,1605,9,1693,384000,1594,1555200,1596,1555200,1597,1555200,1598,633600,1600,633600,1601,633600,1603,633600,1593,40,1595,10,1597,11,1598,0,1600,0,1601,0,1602,0,1604,0,
1716,3,1699,2652300,1713,61280,0,1722,180000,1722,0,1724,8,1793,1248000,1700,600000,1703,600000,1707,600000,1710,633600,1713,633600,1717,633600,1720,633600,1697,22,1703,10,1706,16,1709,0,1712,0,1716,0,1719,0,1721,0,
