App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 12:05:42 PM","59 sec","Trepn_2018.10.20_120541.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
167,3,153,2713872,164,877479,0,172,180000,173,0,174,19,175,1555200,154,1248000,158,1248000,160,1248000,162,633600,165,633600,168,633600,170,633600,152,50,157,34,160,25,162,26,164,10,167,0,169,0,171,0,
187,3,177,2714112,185,2624254,1385774,192,180000,193,0,194,47,194,1555200,178,1555200,180,1555200,181,1555200,184,633600,186,633600,188,633600,190,633600,176,66,179,100,181,100,183,100,185,0,187,33,189,0,192,0,
204,3,197,2714360,203,1746795,508315,206,180000,207,0,207,40,261,1555200,197,1555200,199,1555200,201,1555200,202,1248000,204,1248000,205,1248000,206,1248000,196,0,198,66,200,100,202,0,203,100,204,100,205,0,206,0,
272,3,263,2715072,270,1717616,479136,275,180000,276,0,277,27,362,1555200,264,1555200,266,1555200,267,1555200,269,633600,270,633600,272,633600,274,633600,263,42,265,0,267,100,268,28,270,0,272,28,273,0,275,0,
373,3,364,2715372,371,500808,0,377,180000,377,0,378,9,463,1555200,364,1555200,366,1555200,368,1555200,370,633600,371,633600,373,633600,375,633600,363,14,366,20,367,20,369,9,371,0,373,0,375,0,377,0,
473,3,465,2715716,471,652478,0,476,180000,476,0,477,10,564,1555200,465,1555200,467,1555200,468,1555200,470,633600,471,633600,473,633600,474,633600,464,33,466,36,468,12,469,10,471,0,472,0,474,0,475,0,
576,3,566,2716248,573,645308,0,580,180000,581,0,582,10,664,1555200,566,1555200,568,1555200,570,1555200,572,633600,574,633600,576,633600,578,633600,565,50,568,22,570,18,571,0,573,0,575,0,577,0,579,0,
677,3,666,2715396,675,1065492,0,681,180000,682,0,683,18,764,1555200,667,1555200,669,1555200,671,1555200,673,633600,675,633600,677,633600,679,633600,666,62,668,20,671,40,673,20,675,27,677,0,679,0,680,0,
780,3,768,2715396,778,587947,0,784,180000,785,0,786,13,865,1555200,768,1555200,771,1555200,773,1555200,775,633600,778,633600,780,633600,783,633600,766,44,770,10,772,10,775,18,777,0,780,0,782,0,784,0,
875,3,867,2715712,874,681158,0,879,180000,879,0,880,12,965,1555200,867,1555200,869,1555200,871,1555200,872,633600,874,633600,876,633600,877,633600,866,55,869,22,870,18,872,0,873,0,875,0,877,0,878,0,
976,3,968,2715700,974,573607,0,979,180000,980,0,981,10,1066,1555200,968,1555200,970,1555200,971,1555200,973,633600,975,633600,976,633600,978,633600,967,58,969,22,971,0,973,0,974,0,976,0,977,0,979,0,
1076,3,1068,2716000,1075,616628,0,1081,180000,1081,0,1083,10,1166,1555200,1069,1555200,1070,1555200,1072,1555200,1073,633600,1075,633600,1077,633600,1079,633600,1067,44,1070,20,1071,22,1073,0,1075,0,1076,0,1078,0,1081,0,
1179,3,1169,2715856,1177,752859,0,1183,180000,1184,0,1185,12,1266,1555200,1170,1555200,1171,1555200,1174,1555200,1176,633600,1178,633600,1180,633600,1181,633600,1168,54,1171,11,1173,20,1175,20,1177,0,1179,0,1181,0,1183,0,
1276,3,1268,2715572,1274,595117,0,1279,180000,1279,0,1280,12,1367,1555200,1269,1555200,1270,1555200,1271,1555200,1273,633600,1274,633600,1276,633600,1277,633600,1268,60,1270,11,1271,12,1273,0,1274,0,1275,0,1277,0,1278,0,
1375,3,1368,2715996,1374,430205,0,1378,180000,1379,0,1380,5,1467,1555200,1369,1555200,1370,1555200,1371,1555200,1373,633600,1374,633600,1376,633600,1377,633600,1368,33,1370,27,1371,0,1372,0,1374,0,1375,0,1377,0,1378,0,
1482,3,1471,2715996,1479,336994,0,1485,180000,1486,0,1487,8,1567,1555200,1471,1555200,1473,1555200,1475,1555200,1477,633600,1480,633600,1482,633600,1484,633600,1469,18,1473,20,1475,9,1477,0,1479,0,1482,0,1483,0,1485,0,
1575,3,1569,2715996,1574,526609,0,1578,180000,1578,0,1580,8,1668,672000,1570,1555200,1571,1555200,1572,1555200,1573,633600,1574,633600,1576,633600,1577,633600,1569,50,1570,0,1572,11,1573,10,1574,10,1575,0,1577,0,1578,0,
1685,3,1673,2716244,1683,57335,0,1690,180000,1690,0,1692,4,1769,1555200,1674,672000,1677,672000,1679,672000,1681,633600,1684,633600,1686,633600,1688,633600,1672,20,1676,0,1679,10,1681,0,1683,0,1685,0,1687,0,1689,0,
1779,3,1771,2716296,1778,853241,0,1783,180000,1784,0,1785,13,1869,1555200,1771,1555200,1773,1555200,1775,1555200,1776,633600,1778,633600,1780,633600,1782,633600,1770,54,1773,33,1774,22,1776,10,1777,0,1779,0,1781,0,1783,0,
1878,3,1871,2716100,1876,494736,0,1880,180000,1881,0,1882,7,1969,1555200,1871,1555200,1873,1555200,1874,1555200,1875,633600,1877,633600,1878,633600,1879,633600,1870,50,1872,10,1874,9,1875,0,1876,0,1878,0,1879,0,1880,0,
1981,3,1973,2716460,1980,222272,0,1984,180000,1984,0,1985,7,2070,1555200,1974,1555200,1976,1555200,1977,1555200,1978,633600,1980,633600,1981,633600,1983,633600,1971,11,1975,10,1977,10,1978,0,1979,0,1981,0,1982,0,1984,0,
2081,3,2072,2716460,2080,652478,0,2084,180000,2085,0,2086,10,2170,1555200,2073,1555200,2074,1555200,2076,1555200,2078,633600,2080,633600,2081,633600,2083,633600,2071,44,2074,11,2076,27,2078,9,2080,0,2081,0,2082,0,2084,0,
2179,3,2172,2716512,2177,415865,0,2181,180000,2182,0,2183,7,2271,460800,2172,1555200,2173,1555200,2175,1555200,2176,633600,2177,633600,2179,633600,2180,633600,2171,36,2173,10,2174,12,2176,0,2177,0,2179,0,2180,0,2181,0,
