App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 02:39:45 PM","1 min 0 sec","Trepn_2018.10.20_143944.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
125,3,113,2617220,123,609451,0,130,180000,130,0,132,22,132,1555200,113,1248000,116,1248000,119,1248000,121,1248000,123,1248000,126,1248000,128,1248000,112,47,116,25,118,41,120,30,123,18,125,4,127,0,129,0,
144,3,135,2617780,143,2636827,1704717,146,180000,146,0,147,38,183,1555200,136,1555200,138,1555200,140,1555200,142,1536000,143,1536000,144,1536000,145,1536000,134,66,137,100,139,50,142,100,143,50,144,0,145,0,146,0,
206,3,197,2618004,204,1089854,157744,209,180000,209,0,211,22,283,1555200,198,1555200,200,1555200,201,1555200,203,633600,204,633600,206,633600,208,633600,196,20,199,16,201,16,203,100,204,0,206,0,207,0,209,0,
293,3,285,2619104,291,831730,0,296,180000,297,0,298,11,383,1555200,285,1555200,287,1555200,288,1555200,290,633600,292,633600,293,633600,294,633600,284,28,287,33,288,11,290,44,291,0,293,0,294,0,296,0,
395,3,386,2619600,394,537757,0,398,180000,399,0,400,11,484,1555200,386,1555200,388,1555200,390,1555200,392,633600,394,633600,395,633600,397,633600,385,33,388,20,390,22,391,0,393,0,395,0,397,0,398,0,
495,3,486,2620292,493,605480,0,498,180000,499,0,500,10,584,1555200,486,1555200,488,1555200,490,1555200,491,633600,493,633600,495,633600,497,633600,485,40,488,22,489,20,491,0,493,10,494,0,496,0,498,0,
595,3,586,2620292,593,591140,0,598,180000,598,0,599,11,685,1555200,587,1555200,588,1555200,590,1555200,592,633600,593,633600,595,633600,596,633600,586,60,588,0,590,20,592,0,593,10,595,0,596,0,597,0,
694,3,686,2620712,693,724179,0,697,180000,698,0,699,12,785,1555200,687,1555200,688,1555200,690,1555200,691,633600,693,633600,694,633600,696,633600,686,55,688,18,689,18,691,10,692,0,694,0,695,0,697,0,
796,3,788,2620888,794,537757,0,800,180000,800,0,801,11,885,1555200,788,1555200,789,1555200,791,1555200,793,633600,794,633600,796,633600,798,633600,787,54,789,10,791,11,792,0,794,0,796,0,798,0,799,0,
896,3,888,2621384,895,724179,0,900,180000,901,0,902,10,986,1555200,888,1555200,890,1555200,891,1555200,893,633600,895,633600,897,633600,898,633600,887,44,889,20,891,27,893,10,894,0,896,0,898,0,900,0,
997,3,989,2622180,995,681158,0,1000,180000,1001,0,1002,13,1087,1555200,989,1555200,991,1555200,992,1555200,994,633600,996,633600,997,633600,999,633600,988,55,990,22,992,18,993,0,995,0,997,0,998,0,1000,0,
1099,3,1089,2622592,1097,673988,0,1103,180000,1104,0,1105,11,1187,1555200,1090,1555200,1091,1555200,1093,1555200,1095,633600,1098,633600,1099,633600,1101,633600,1088,60,1091,18,1093,0,1095,16,1097,0,1099,0,1101,0,1103,0,
1200,3,1189,2622796,1198,659648,0,1204,180000,1205,0,1206,13,1289,1555200,1190,1555200,1192,1555200,1194,1555200,1197,633600,1199,633600,1201,633600,1203,633600,1188,50,1192,20,1194,11,1196,11,1198,0,1200,0,1202,0,1204,0,
1298,3,1290,2623112,1296,661088,0,1301,180000,1301,0,1302,8,1389,1555200,1291,1555200,1292,1555200,1294,1555200,1295,633600,1296,633600,1298,633600,1299,633600,1290,60,1292,12,1293,0,1295,18,1296,9,1298,0,1299,0,1300,0,
1401,3,1392,2623388,1399,193592,0,1404,180000,1405,0,1406,5,1489,1555200,1393,1555200,1395,1555200,1397,1555200,1398,633600,1399,633600,1401,633600,1403,633600,1391,27,1395,0,1396,0,1398,0,1399,0,1401,0,1402,0,1404,0,
1499,3,1491,2624160,1497,501906,0,1502,180000,1502,0,1503,5,1590,1555200,1492,1555200,1493,1555200,1494,1555200,1496,633600,1497,633600,1499,633600,1500,633600,1491,37,1493,22,1494,11,1496,0,1497,0,1498,0,1500,0,1501,0,
1599,3,1592,2624404,1598,358504,0,1602,180000,1603,0,1604,7,1690,1555200,1592,1555200,1594,1555200,1595,1555200,1596,633600,1598,633600,1599,633600,1601,633600,1591,30,1593,10,1595,0,1596,10,1597,0,1599,0,1600,0,1602,0,
1701,3,1693,2624552,1699,365674,0,1705,180000,1706,0,1707,6,1791,1555200,1693,1555200,1695,1555200,1696,1555200,1698,633600,1700,633600,1701,633600,1703,633600,1692,40,1694,11,1696,0,1698,0,1699,0,1701,0,1703,0,1705,0,
1800,3,1793,2624864,1799,408695,0,1803,180000,1804,0,1805,5,1892,1555200,1793,1555200,1794,1555200,1796,1555200,1797,633600,1799,633600,1800,633600,1801,633600,1792,37,1794,10,1796,10,1797,0,1798,0,1800,0,1801,0,1803,0,
1904,3,1895,2625352,1903,415865,0,1909,180000,1909,0,1910,11,1992,1555200,1896,1555200,1897,1555200,1899,1555200,1901,633600,1903,633600,1905,633600,1907,633600,1894,20,1897,18,1899,10,1901,10,1903,0,1904,0,1906,0,1908,0,
2003,3,1995,2625596,2001,760029,0,2007,180000,2007,0,2008,9,2092,1555200,1995,1555200,1997,1555200,1998,1555200,2000,633600,2002,633600,2004,633600,2005,633600,1993,44,1996,22,1998,20,2000,20,2001,0,2003,0,2005,0,2007,0,
2101,3,2094,2626088,2100,315484,0,2104,180000,2105,0,2106,5,2193,1555200,2094,1555200,2096,1555200,2097,1555200,2099,633600,2100,633600,2102,633600,2103,633600,2094,33,2096,11,2097,0,2098,0,2100,0,2101,0,2103,0,2104,0,
2205,3,2195,2623868,2203,1054283,122173,2209,180000,2209,0,2211,20,2293,1555200,2196,1555200,2198,1555200,2200,1555200,2201,1248000,2203,1248000,2205,1248000,2207,1248000,2194,60,2197,20,2199,20,2201,22,2203,36,2205,0,2207,0,2209,0,
2304,3,2296,2624104,2302,609457,0,2308,180000,2308,0,2309,8,2394,1555200,2296,1555200,2298,1555200,2299,1555200,2301,633600,2303,633600,2304,633600,2306,633600,2295,37,2297,30,2299,0,2301,18,2302,0,2304,0,2306,0,2307,0,
2412,3,2398,2624352,2409,265293,0,2417,180000,2417,0,2418,4,2494,1555200,2399,1555200,2401,1555200,2404,1555200,2407,633600,2410,633600,2413,633600,2415,633600,2396,27,2401,0,2403,10,2406,0,2409,0,2412,0,2415,0,2416,0,
2503,3,2496,2624416,2502,605480,0,2506,180000,2507,0,2508,12,2595,1555200,2497,1555200,2498,1555200,2499,1555200,2501,633600,2502,633600,2504,633600,2505,633600,2496,50,2498,11,2499,11,2500,10,2502,10,2503,0,2505,0,2506,0,
2604,3,2597,2624416,2603,573607,0,2607,180000,2607,0,2608,8,2695,1555200,2597,1555200,2599,1555200,2600,1555200,2601,633600,2603,633600,2604,633600,2606,633600,2596,41,2598,9,2600,30,2601,0,2602,0,2604,0,2605,0,2607,0,
2707,3,2698,2624864,2705,336994,0,2710,180000,2710,0,2711,6,2796,1555200,2698,1555200,2700,1555200,2702,1555200,2703,633600,2705,633600,2707,633600,2708,633600,2697,27,2700,0,2701,11,2703,9,2705,0,2706,0,2708,0,2709,0,
2805,3,2798,2624864,2804,480396,0,2808,180000,2808,0,2809,6,2896,960000,2798,1555200,2800,1555200,2801,1555200,2802,633600,2804,633600,2805,633600,2807,633600,2797,37,2799,10,2801,20,2802,0,2804,0,2805,0,2806,0,2808,0,
2910,3,2899,2625112,2907,124761,0,2914,180000,2915,0,2916,8,2997,1555200,2899,960000,2901,960000,2904,960000,2906,633600,2908,633600,2910,633600,2912,633600,2898,10,2901,9,2903,10,2905,9,2907,0,2909,0,2912,0,2914,0,
