App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 11:59:28 AM","57 sec","Trepn_2018.10.19_115927.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
22,3,12,2749136,20,659648,0,26,180000,26,0,28,14,87,1248000,12,1555200,15,1555200,17,1555200,18,633600,20,633600,22,633600,24,633600,11,23,14,53,16,16,18,0,20,0,21,15,23,0,25,0,
102,3,89,2749560,98,365416,0,106,180000,106,0,108,14,187,1555200,90,1248000,92,1248000,94,1248000,96,1248000,99,1248000,102,1248000,104,1248000,89,42,91,14,93,0,96,0,98,12,102,25,104,0,105,0,
199,3,190,2749808,198,863194,0,203,180000,204,0,206,10,288,1555200,190,1555200,192,1555200,194,1555200,196,633600,198,633600,200,633600,201,633600,189,40,192,33,194,20,196,10,197,0,199,0,201,0,203,0,
298,3,290,2750172,296,573607,0,301,180000,302,0,303,11,389,1555200,290,1555200,292,1555200,293,1555200,295,633600,296,633600,298,633600,300,633600,289,50,291,30,293,0,295,0,296,0,298,0,299,0,301,0,
400,3,391,2750952,398,853241,0,403,180000,404,0,405,13,489,1555200,391,1555200,393,1555200,395,1555200,397,633600,398,633600,400,633600,401,633600,390,50,392,22,395,27,396,20,398,0,399,0,401,0,403,0,
505,3,493,2751500,502,537757,0,509,180000,509,0,511,8,589,1555200,493,1555200,496,1555200,498,1555200,501,633600,503,633600,505,633600,507,633600,491,54,495,10,498,11,500,0,502,0,505,0,507,0,508,0,
600,3,592,2752232,598,571383,0,604,180000,605,0,606,14,690,1555200,592,1555200,594,1555200,595,1555200,597,633600,599,633600,601,633600,602,633600,591,55,593,0,595,22,597,0,598,11,600,0,602,0,604,0,
701,3,692,2752232,699,673988,0,704,180000,705,0,706,12,790,1555200,693,1555200,694,1555200,696,1555200,698,633600,699,633600,701,633600,703,633600,691,54,694,10,695,10,697,20,699,0,701,0,702,0,704,0,
801,3,793,2752532,799,767200,0,806,180000,806,0,807,10,891,1555200,793,1555200,795,1555200,796,1555200,798,633600,800,633600,802,633600,804,633600,792,55,794,25,796,27,798,0,799,0,801,0,803,0,805,0,
899,3,892,2752832,898,530586,0,902,180000,902,0,903,10,991,1555200,893,1555200,894,1555200,895,1555200,897,633600,898,633600,899,633600,901,633600,892,33,894,12,895,11,896,18,898,0,899,0,900,0,902,0,
1002,3,994,2753348,1000,387185,0,1006,180000,1007,0,1008,7,1092,1555200,994,1555200,996,1555200,997,1555200,999,633600,1001,633600,1002,633600,1004,633600,993,27,996,18,997,9,999,0,1000,0,1002,0,1004,0,1006,0,
1105,3,1095,2753844,1104,444545,0,1109,180000,1110,0,1111,9,1192,1555200,1096,1555200,1097,1555200,1100,1555200,1102,633600,1104,633600,1106,633600,1107,633600,1094,33,1097,0,1099,18,1101,11,1103,0,1105,0,1107,0,1109,0,
1201,3,1194,2753844,1200,433398,0,1204,180000,1205,0,1206,6,1292,1555200,1194,1555200,1196,1555200,1197,1555200,1198,633600,1200,633600,1201,633600,1203,633600,1193,40,1196,18,1197,0,1198,0,1200,10,1201,0,1202,0,1204,0,
1303,3,1295,2754340,1301,358504,0,1307,180000,1307,0,1309,5,1393,1555200,1295,1555200,1297,1555200,1298,1555200,1300,633600,1302,633600,1303,633600,1305,633600,1294,30,1296,0,1298,10,1299,10,1301,0,1303,0,1305,0,1306,0,
1403,3,1395,2754640,1401,645308,0,1406,180000,1407,0,1408,13,1494,1555200,1396,1555200,1397,1555200,1399,1555200,1400,633600,1402,633600,1403,633600,1405,633600,1394,50,1397,20,1399,20,1400,0,1401,0,1403,0,1405,0,1406,0,
1510,3,1497,2753736,1507,418744,0,1515,180000,1516,0,1517,10,1594,1555200,1497,1555200,1500,1555200,1503,1555200,1505,633600,1508,633600,1511,633600,1513,633600,1495,22,1499,22,1502,10,1505,0,1507,18,1510,0,1512,0,1515,0,
1603,3,1596,2753564,1602,695499,0,1607,180000,1607,0,1608,8,1695,384000,1596,1555200,1598,1555200,1599,1555200,1601,633600,1602,633600,1604,633600,1605,633600,1595,50,1597,27,1599,20,1600,0,1602,0,1603,0,1605,0,1606,0,
1726,3,1705,2753656,1721,33618,0,1732,180000,1733,0,1735,7,1795,1555200,1706,600000,1709,600000,1713,600000,1717,633600,1722,633600,1726,633600,1730,633600,1701,20,1709,0,1712,10,1716,0,1721,0,1726,0,1729,0,1732,0,
1809,3,1798,2753956,1807,781540,0,1814,180000,1815,0,1816,9,1895,1555200,1798,1555200,1801,1555200,1802,1555200,1805,633600,1807,633600,1810,633600,1812,633600,1796,66,1800,12,1802,11,1805,20,1806,0,1809,0,1812,0,1814,0,
1907,3,1898,2753956,1905,638138,0,1911,180000,1912,0,1913,10,1995,1555200,1898,1555200,1900,1555200,1902,1555200,1903,633600,1905,633600,1907,633600,1909,633600,1896,66,1899,12,1901,0,1903,11,1905,0,1907,0,1908,0,1910,0,
