App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 12:28:54 PM","59 sec","Trepn_2018.10.19_122853.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
151,3,137,2725016,148,332736,0,157,180000,158,0,159,20,160,1248000,137,960000,140,960000,143,960000,146,633600,149,633600,151,633600,154,633600,135,39,139,32,142,28,145,31,148,0,151,3,154,0,157,0,
175,3,163,2725016,172,2115780,1185025,181,180000,181,0,183,81,184,1555200,163,1248000,166,1248000,168,1248000,170,633600,173,633600,176,633600,179,633600,162,100,165,100,167,100,170,100,172,66,175,0,178,0,180,50,
194,3,186,2725236,192,2925517,1994762,197,180000,197,0,198,72,285,1555200,187,1555200,188,1555200,190,1555200,191,960000,193,960000,194,960000,195,960000,185,100,188,100,189,100,191,50,192,100,194,100,195,100,196,100,
290,3,286,2726072,289,2546565,1615810,292,180000,292,0,293,35,386,1555200,287,1555200,287,1555200,288,1555200,289,1536000,290,1536000,290,1536000,291,1536000,286,50,287,100,288,33,289,25,289,10,290,20,291,0,292,36,
397,3,388,2726620,395,1060083,129328,400,180000,401,0,402,10,487,1555200,389,1555200,390,1555200,392,1555200,393,633600,395,633600,397,633600,399,633600,388,44,390,30,392,10,393,9,395,0,397,0,398,18,400,0,
497,3,489,2727148,496,762908,0,501,180000,502,0,503,16,587,1555200,489,1555200,491,1555200,493,1555200,494,633600,496,633600,498,633600,499,633600,488,54,491,20,492,18,494,10,496,0,497,0,499,20,501,0,
598,3,590,2727748,597,615843,0,602,180000,603,0,604,13,688,1555200,590,1555200,592,1555200,594,1555200,595,633600,597,633600,599,633600,600,633600,589,50,591,0,593,11,595,20,596,0,598,0,600,0,602,0,
698,3,690,2728244,696,675428,0,702,180000,702,0,703,12,788,1555200,690,1555200,692,1555200,693,1555200,695,633600,697,633600,698,633600,700,633600,689,60,691,22,693,0,695,10,696,9,698,0,700,0,701,0,
799,3,790,2728364,797,645319,0,802,180000,803,0,804,12,888,1555200,791,1555200,793,1555200,794,1555200,796,864000,798,864000,799,864000,801,864000,790,54,792,10,794,9,795,10,797,18,799,0,801,0,802,0,
899,3,890,2728520,897,580777,0,903,180000,903,0,904,10,989,1555200,891,1555200,893,1555200,894,1555200,896,633600,898,633600,899,633600,901,633600,890,44,892,0,894,10,895,27,897,0,899,0,901,0,902,0,
997,3,991,2728872,996,635119,0,1000,180000,1001,0,1002,10,1090,1555200,991,1555200,992,1555200,994,1555200,995,960000,996,960000,998,960000,999,960000,990,44,992,20,993,20,995,0,996,10,997,0,999,0,1000,0,
