device,subject,browser,Memory Usage [KB],CPU3 Load [%],CPU3 Frequency [kHz],CPU2 Frequency [kHz],CPU5 Load [%],CPU6 Load [%],CPU5 Frequency [kHz],CPU4 Load [%],CPU8 Load [%],CPU Load [%],Battery Status,CPU6 Frequency [kHz],CPU4 Frequency [kHz],GPU Frequency [KHz],duration(s),CPU2 Load [%],CPU1 Frequency [kHz],Battery Power* [uW],CPU8 Frequency [kHz],CPU7 Frequency [kHz],GPU Load [%],CPU1 Load [%],CPU7 Load [%]
nexus6p,angular-ngrx-nx,comandroidchrome,2799731.5276190476,20.704198473282442,1347270.2290076336,1348946.2857142857,21.267175572519083,14.551526717557252,1107370.9923664122,17.05916030534351,6.244274809160306,19.33969465648855,3.0,1109386.2595419846,1349697.709923664,186612.59541984732,59,23.417142857142856,1351177.142857143,421241.45801526716,1109349.6183206106,1109459.5419847327,1.1106870229007633,45.28190476190476,8.692748091603054
nexus6p,angular-ngrx-nx,comandroidchrome,2701353.216730038,19.75855513307985,1385247.1482889734,1387437.2623574145,23.653992395437264,11.425855513307985,1114439.5437262356,16.19961977186312,6.247619047619048,18.314285714285713,3.0,1113344.4866920153,1386031.939163498,187000.0,58,20.714828897338403,1391379.4676806084,383834.88783269963,1111040.0,1114403.041825095,1.2266666666666666,43.57794676806083,7.083809523809524
nexus6p,angular-ngrx-nx,comandroidchrome,2689687.9306358383,20.791907514450866,1350954.9132947978,1352379.190751445,20.803468208092486,13.274131274131275,1087556.069364162,15.306358381502891,6.527027027027027,18.625482625482626,3.0,1087765.250965251,1353424.2774566475,184507.722007722,58,21.859344894026975,1358150.289017341,519604.42389210017,1084762.9343629344,1084948.2625482625,2.0791505791505793,43.458574181117534,8.494208494208495
nexus6p,angular-ngrx-nx,comandroidchrome,2699066.4331450094,18.15442561205273,1353744.6327683616,1357089.2655367232,20.847457627118644,12.950943396226416,1086842.9378531072,18.08662900188324,5.233962264150944,18.450943396226414,3.0,1085307.1698113207,1355073.4463276835,185424.5283018868,59,21.51035781544256,1354485.8757062147,409369.58679245284,1088603.7735849055,1087190.9433962265,1.9433962264150944,44.10734463276836,8.89056603773585
nexus6p,angular-ngrx-nx,comandroidchrome,2690175.6603773586,21.141242937853107,1347024.9056603773,1347305.6603773586,21.947169811320755,11.149056603773586,1093459.8870056497,15.645951035781545,6.477358490566037,18.452830188679247,3.0,1091646.7924528301,1346042.9378531072,185830.18867924527,58,22.347169811320754,1355221.1320754718,343450.4716981132,1093168.3018867925,1091646.7924528301,1.2075471698113207,44.4188679245283,6.40188679245283
nexus6p,angular-ngrx-nx,comandroidchrome,2711804.396946565,19.074569789674953,1376195.793499044,1377636.7112810707,24.17208413001912,12.114722753346081,1103137.2848948375,15.579349904397706,5.988527724665392,18.495219885277248,3.0,1098401.5296367113,1377499.0439770555,186147.2275334608,58,22.246653919694072,1380870.2290076336,428942.5028680688,1098438.240917782,1097447.036328872,1.774378585086042,43.587786259541986,7.487571701720841
nexus6p,angular-ngrx-nx,comandroidchrome,2731035.4514285713,20.35047619047619,1337453.7142857143,1338477.7142857143,22.384761904761906,11.711026615969581,1083245.7142857143,17.49904761904762,6.330798479087452,18.836501901140686,3.0,1084342.857142857,1339538.2857142857,184990.49429657793,59,21.733333333333334,1338415.2091254753,411094.46095238096,1083376.4258555132,1084580.988593156,2.005703422053232,43.325714285714284,8.549429657794677
nexus6p,angular-ngrx-nx,comandroidchrome,2701088.5291828793,20.19455252918288,1366421.7898832685,1367439.6887159534,22.357976653696497,12.085603112840467,1120809.3385214007,16.237354085603112,6.186770428015564,18.94541910331384,3.0,1118717.5097276266,1368663.0350194552,186001.94552529184,58,21.980544747081712,1368597.6653696499,431319.6926070039,1119091.0505836576,1118157.1984435797,1.8696498054474708,44.86381322957198,9.103112840466926
nexus6p,angular-ngrx-nx,comandroidchrome,2685410.459203036,20.950570342205324,1357679.0874524715,1356541.935483871,22.450570342205324,12.553231939163497,1083084.4106463878,17.127376425855513,5.022813688212928,18.804182509505704,3.0,1081186.3117870723,1361411.4068441065,186587.4524714829,58,22.56083650190114,1359930.1707779886,361342.3517110266,1080237.2623574145,1078083.650190114,1.7775665399239544,44.573055028462996,7.653992395437262
nexus6p,angular-ngrx-nx,comandroidchrome,2693147.5777351246,18.765834932821498,1348062.9558541267,1348320.9213051824,21.57581573896353,14.328846153846154,1102876.0076775432,15.512476007677543,6.7384615384615385,18.592307692307692,3.0,1107692.3076923077,1347897.1209213051,183365.38461538462,59,23.16890595009597,1349398.848368522,410234.7120921305,1108836.923076923,1108209.2307692308,1.146153846153846,43.32053742802303,7.346153846153846
nexus6p,angular-ngrx-nx,comandroidchrome,2689619.610136452,20.157894736842106,1341043.2748538011,1342802.3391812865,23.941520467836256,12.77972709551657,1105029.2397660818,17.448343079922026,5.73828125,18.96875,3.0,1107162.5730994153,1342091.2280701755,185126.953125,57,22.4093567251462,1345946.1988304094,458040.25925925927,1105815.2046783625,1106526.3157894737,2.314453125,43.61208576998051,6.922027290448343
nexus6p,angular-ngrx-nx,comandroidchrome,2688306.935361217,19.026615969581748,1337447.9087452472,1338679.8479087453,24.309885931558934,11.687619047619048,1096480.608365019,16.828897338403042,5.188571428571429,18.493333333333332,3.0,1096557.7142857143,1337858.5551330799,184523.80952380953,59,22.268060836501903,1341043.3460076046,485639.77376425854,1100288.0,1098020.5714285714,2.196190476190476,43.836501901140686,6.994285714285715
nexus6p,angular-ngrx-nx,comandroidchrome,2707354.676923077,20.64423076923077,1347793.8461538462,1350221.5384615385,21.689788053949904,12.707129094412332,1097988.4393063583,17.478846153846153,5.7842003853564545,18.649325626204238,3.0,1091699.421965318,1347101.5384615385,185703.27552986512,58,20.7,1351375.3846153845,388392.3082851638,1097655.4913294797,1096027.74566474,1.394990366088632,44.59230769230769,7.564547206165703
nexus6p,angular-ngrx-nx,comandroidchrome,2698996.102040816,19.977891156462587,1376906.1224489796,1377714.2857142857,21.464285714285715,12.405451448040886,1062432.6530612244,17.302721088435373,4.8483816013628624,18.603066439522998,3.0,1062770.6984667801,1377461.224489796,185749.5741056218,59,23.579931972789115,1378587.7551020407,435751.23509369674,1063817.3764906302,1064700.5110732538,1.454855195911414,45.124149659863946,6.679727427597956
nexus6p,angular-ngrx-nx,comandroidchrome,2706210.9863547757,21.196881091617932,1358792.9824561405,1357651.461988304,22.291015625,14.818359375,1109707.6023391814,15.90643274853801,5.568359375,18.71484375,3.0,1111275.0,1360402.3391812865,187080.078125,57,21.36842105263158,1361562.5730994153,430402.48828125,1109887.5,1107300.0,1.884765625,43.57504873294347,7.12890625
nexus6p,angular-ngrx-nx,comandroidchrome,2704579.7164750956,19.56513409961686,1365406.896551724,1367135.632183908,21.96934865900383,11.649425287356323,1103779.3103448276,16.731800766283524,5.391554702495202,18.47792706333973,3.0,1105508.0459770116,1365829.8850574712,183042.226487524,58,22.467432950191572,1368211.4942528736,449208.41187739465,1104497.5047984645,1104698.8505747127,1.4740882917466411,44.469348659003835,7.128598848368522
