App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 02:13:32 PM","58 sec","Trepn_2018.10.19_141330.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
59,3,47,2650364,57,540417,0,64,180000,64,0,66,21,86,1555200,48,1248000,51,1248000,53,1248000,55,633600,58,633600,60,633600,62,633600,45,53,49,35,52,31,55,31,57,6,59,0,61,0,63,0,
100,3,89,2650656,98,2410393,1452936,104,180000,104,0,105,48,186,1555200,89,1555200,92,1555200,94,1555200,96,864000,99,864000,101,864000,102,864000,88,100,91,75,93,66,95,66,98,75,100,0,102,0,103,0,
196,3,188,2651176,195,1292056,334599,200,180000,200,0,201,21,287,1555200,189,1555200,190,1555200,192,1555200,193,633600,195,633600,196,633600,198,633600,188,100,190,40,192,27,193,11,194,9,196,0,198,0,199,0,
297,3,289,2651960,295,709839,0,300,180000,301,0,302,13,387,1555200,289,1555200,291,1555200,292,1555200,294,633600,296,633600,297,633600,299,633600,288,50,291,20,292,11,294,18,295,0,297,0,298,0,300,0,
399,3,390,2652448,398,688329,0,403,180000,403,0,404,8,488,1555200,391,1555200,393,1555200,394,1555200,396,633600,398,633600,400,633600,401,633600,389,55,392,30,394,0,396,11,398,0,399,0,401,0,402,0,
499,3,490,2652920,497,666818,0,503,180000,504,0,505,13,588,1555200,491,1555200,493,1555200,494,1555200,496,633600,498,633600,500,633600,501,633600,489,50,492,33,494,0,496,10,497,0,499,0,501,0,503,0,
600,3,591,2653200,598,745689,0,604,180000,605,0,606,7,689,1555200,591,1555200,593,1555200,595,1555200,597,633600,598,633600,600,633600,602,633600,590,55,593,18,594,20,596,11,598,0,600,0,602,0,604,0,
700,3,691,2653444,698,494736,0,704,180000,704,0,705,10,789,1555200,692,1555200,693,1555200,695,1555200,697,633600,699,633600,700,633600,702,633600,690,33,693,36,695,0,696,0,698,0,700,0,701,0,703,0,
802,3,792,2653796,800,609457,0,806,180000,806,0,807,13,889,1555200,792,1555200,794,1555200,796,1555200,798,633600,800,633600,802,633600,804,633600,790,54,793,10,795,10,797,11,799,0,802,0,803,0,805,0,
898,3,891,2653796,897,454908,0,901,180000,902,0,903,6,990,1555200,892,1555200,893,1555200,894,1555200,896,633600,897,633600,898,633600,900,633600,891,50,893,11,894,0,895,0,897,10,898,0,899,0,901,0,
