App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 05:04:12 PM","57 sec","Trepn_2018.10.19_170411.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
187,3,171,2743420,185,1265977,198489,191,180000,192,0,194,15,195,1555200,172,1248000,177,1248000,179,1248000,182,768000,185,768000,187,768000,189,768000,170,31,177,35,179,18,182,15,184,12,187,0,189,0,191,0,
204,3,197,2743680,203,2151028,1083540,207,180000,208,0,209,36,209,1555200,197,1555200,199,1555200,200,1555200,202,768000,203,768000,205,768000,206,768000,196,100,199,100,200,100,201,0,203,0,204,50,206,0,207,0,
219,3,211,2743680,217,1066756,0,221,180000,221,0,222,44,258,1555200,212,1555200,213,1555200,214,1555200,216,768000,217,768000,219,1248000,220,1248000,210,0,213,0,214,100,215,0,217,100,219,100,220,0,221,0,
264,3,259,2743952,263,1416230,348742,266,180000,266,0,266,22,359,1555200,260,1555200,261,1555200,261,1555200,262,1248000,263,1248000,264,1248000,265,1248000,259,40,260,25,261,100,262,0,263,0,264,33,265,0,265,0,
372,3,361,2744148,371,960451,0,378,180000,378,0,379,16,459,1555200,362,1555200,364,1555200,366,1555200,369,633600,371,633600,373,633600,376,633600,360,33,364,20,366,40,369,18,370,0,372,0,375,0,377,0,
470,3,461,2744752,468,630968,0,473,180000,473,0,474,10,559,1555200,462,1555200,463,1555200,465,1555200,467,633600,469,633600,470,633600,471,633600,460,44,463,33,464,11,466,0,468,0,470,0,471,0,472,0,
573,3,562,2745012,570,609457,0,577,180000,577,0,579,8,660,1555200,562,1555200,565,1555200,567,1555200,569,633600,571,633600,573,633600,575,633600,561,44,564,22,567,10,568,9,570,0,572,0,574,0,577,0,
669,3,662,2745012,668,704108,0,672,180000,672,0,673,13,760,1555200,662,1555200,663,1555200,665,1555200,666,633600,668,633600,669,633600,670,633600,661,55,663,30,665,11,666,0,667,9,669,0,670,0,672,0,
771,3,763,2745440,769,408695,0,775,180000,775,0,776,6,861,1555200,763,1555200,765,1555200,766,1555200,768,633600,770,633600,771,633600,773,633600,762,37,764,0,766,20,767,0,769,0,771,0,773,0,774,0,
875,3,864,2745304,873,705862,0,879,180000,879,0,880,12,961,1555200,864,1555200,866,1555200,868,1555200,870,633600,873,633600,875,633600,877,633600,862,50,866,10,868,16,870,20,872,10,875,0,877,0,878,0,
974,3,963,2744912,972,645308,0,978,180000,978,0,979,13,1062,1555200,964,1555200,966,1555200,968,1555200,971,633600,972,633600,974,633600,976,633600,963,60,965,20,967,10,970,0,972,0,974,0,976,0,977,0,
1073,3,1064,2745428,1072,626990,0,1077,180000,1077,0,1079,9,1162,1555200,1064,1555200,1066,1555200,1068,1555200,1070,633600,1072,633600,1073,633600,1075,633600,1063,55,1066,30,1068,0,1070,0,1071,10,1073,0,1074,0,1076,0,
1171,3,1164,2745976,1170,595117,0,1175,180000,1176,0,1177,16,1263,1555200,1164,1555200,1166,1555200,1167,1555200,1169,633600,1170,633600,1172,633600,1173,633600,1163,63,1165,0,1167,20,1168,0,1170,0,1171,0,1173,0,1174,0,
1277,3,1266,2746488,1275,910601,0,1281,180000,1281,0,1283,12,1363,1555200,1266,1555200,1268,1555200,1271,1555200,1273,633600,1275,633600,1277,633600,1279,633600,1264,57,1268,30,1270,30,1272,10,1275,0,1277,0,1279,0,1280,0,
1372,3,1364,2746784,1371,368867,0,1376,180000,1376,0,1378,4,1463,1555200,1365,1555200,1366,1555200,1368,1555200,1369,633600,1371,633600,1373,633600,1374,633600,1364,22,1366,18,1368,0,1369,9,1371,10,1372,0,1374,0,1375,0,
1478,3,1466,2747336,1476,401525,0,1482,180000,1482,0,1483,9,1563,1555200,1467,1555200,1469,1555200,1471,1555200,1473,633600,1476,633600,1478,633600,1480,633600,1465,36,1468,10,1471,10,1472,0,1475,0,1478,0,1480,0,1481,0,
1575,3,1566,2747336,1573,557043,0,1578,180000,1579,0,1580,8,1665,460800,1566,1555200,1568,1555200,1570,1555200,1571,633600,1573,633600,1575,633600,1577,633600,1565,54,1567,11,1569,10,1571,0,1573,11,1574,0,1576,0,1578,0,
1689,3,1670,2747832,1685,69341,0,1696,180000,1697,0,1699,9,1766,864000,1671,460800,1675,460800,1679,460800,1683,633600,1686,633600,1690,633600,1693,633600,1668,11,1674,18,1678,10,1682,9,1685,9,1689,0,1692,0,1695,0,
1786,3,1770,2748268,1784,345835,0,1791,180000,1791,0,1793,15,1866,1555200,1771,864000,1774,864000,1777,864000,1780,633600,1784,633600,1786,633600,1789,633600,1768,60,1773,22,1776,20,1780,22,1783,0,1786,0,1788,0,1790,0,
1875,3,1868,2748516,1874,774370,0,1878,180000,1879,0,1880,11,1966,1555200,1868,1555200,1870,1555200,1871,1555200,1872,633600,1874,633600,1876,633600,1877,633600,1867,66,1869,11,1871,20,1872,11,1874,0,1875,0,1877,0,1878,0,
1976,3,1968,2749012,1974,265293,0,1979,180000,1979,0,1980,5,2067,1555200,1969,1555200,1970,1555200,1972,1555200,1973,633600,1974,633600,1976,633600,1977,633600,1967,25,1970,12,1971,0,1973,0,1974,0,1975,0,1977,0,1978,0,
2078,3,2069,2749508,2077,279633,0,2082,180000,2082,0,2083,6,2168,1555200,2070,1555200,2071,1555200,2073,1555200,2075,633600,2077,633600,2078,633600,2080,633600,2068,30,2071,9,2073,0,2074,0,2076,0,2078,0,2080,0,2081,0,
