App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 07:17:17 PM","58 sec","Trepn_2018.10.19_191716.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
131,3,120,2686192,129,616924,0,135,180000,139,0,141,25,142,1555200,120,1248000,122,1248000,124,1248000,128,633600,130,633600,132,1248000,133,1248000,119,52,122,34,124,48,127,27,129,16,131,4,133,0,135,0,
154,3,144,2686436,152,3373751,2467789,156,180000,157,0,157,53,184,1555200,145,1555200,146,1555200,148,1555200,151,1248000,152,1248000,154,1248000,155,1248000,143,100,146,100,148,100,150,100,152,100,154,50,155,0,156,0,
195,3,191,2686436,194,1818959,912997,197,180000,198,0,199,28,285,1555200,191,1555200,192,1555200,193,1555200,194,1248000,195,1248000,195,1248000,196,1248000,191,33,192,40,193,66,193,66,194,20,195,0,196,0,197,0,
295,3,287,2686972,294,836677,0,299,180000,299,0,301,12,386,1555200,288,1555200,289,1555200,291,1555200,292,633600,294,633600,296,633600,297,633600,287,33,289,11,291,0,292,70,294,11,295,0,297,0,299,0,
397,3,389,2687648,395,605480,0,400,180000,401,0,402,12,487,1555200,389,1555200,391,1555200,392,1555200,394,633600,396,633600,397,633600,399,633600,388,37,390,25,392,20,393,0,395,10,397,0,398,0,400,0,
498,3,489,2687752,496,559267,0,501,180000,501,0,502,9,587,1555200,489,1555200,491,1555200,493,1555200,495,633600,496,633600,498,633600,500,633600,488,25,491,20,492,22,494,11,496,0,498,0,499,0,501,0,
596,3,589,2688000,595,516246,0,600,180000,600,0,601,8,688,1555200,589,1555200,591,1555200,592,1555200,594,633600,595,633600,597,633600,598,633600,588,50,590,0,592,11,593,11,595,0,596,0,598,0,599,0,
699,3,690,2688000,697,516246,0,702,180000,703,0,704,8,788,1555200,691,1555200,692,1555200,694,1555200,695,633600,697,633600,699,633600,700,633600,689,42,692,12,693,18,695,0,697,0,699,0,700,0,702,0,
799,3,790,2688104,797,705862,0,802,180000,802,0,803,12,888,1555200,791,1555200,792,1555200,794,1555200,795,633600,797,633600,799,633600,800,633600,789,50,792,10,794,27,795,9,797,10,798,0,800,0,801,0,
897,3,890,2688352,896,523416,0,900,180000,901,0,902,9,989,1555200,891,1555200,892,1555200,893,1555200,895,633600,896,633600,898,633600,899,633600,889,40,892,11,893,22,894,0,896,0,897,0,899,0,900,0,
1001,3,992,2688404,999,788710,0,1004,180000,1005,0,1006,11,1090,1555200,992,1555200,994,1555200,996,1555200,998,633600,999,633600,1001,633600,1003,633600,991,50,994,22,995,20,997,18,999,0,1000,0,1002,0,1004,0,
1100,3,1092,2688528,1099,444545,0,1103,180000,1104,0,1105,11,1190,1555200,1092,1555200,1094,1555200,1095,1555200,1097,633600,1099,633600,1100,633600,1102,633600,1091,42,1093,0,1095,20,1097,0,1099,0,1100,0,1101,0,1103,0,
1200,3,1192,2688360,1198,587947,0,1204,180000,1204,0,1206,7,1290,1555200,1192,1555200,1194,1555200,1195,1555200,1197,633600,1198,633600,1200,633600,1202,633600,1191,50,1194,22,1195,0,1196,10,1198,0,1200,0,1201,0,1203,0,
1303,3,1293,2688360,1301,157742,0,1306,180000,1307,0,1308,4,1391,1555200,1293,1555200,1295,1555200,1297,1555200,1299,633600,1301,633600,1303,633600,1305,633600,1292,22,1295,0,1297,0,1299,0,1301,0,1302,0,1305,0,1306,0,
1400,3,1393,2688464,1399,526609,0,1403,180000,1403,0,1405,8,1493,384000,1393,1555200,1395,1555200,1396,1555200,1398,633600,1399,633600,1400,633600,1402,633600,1392,50,1395,10,1396,11,1397,0,1399,10,1400,0,1401,0,1403,0,
