App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 07:55:07 PM","58 sec","Trepn_2018.10.19_195506.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
145,3,130,2706808,143,387278,0,150,180000,152,0,154,21,156,1248000,130,960000,133,960000,136,960000,140,633600,143,633600,145,633600,148,633600,128,39,133,37,135,39,140,22,142,8,145,0,147,0,150,0,
200,3,160,2707344,170,2431420,1541635,204,180000,205,0,206,30,206,1555200,162,1248000,164,1555200,166,1555200,168,633600,170,633600,200,633600,202,633600,158,100,164,100,166,100,168,100,170,0,200,0,202,0,204,0,
219,3,209,2707592,217,1442000,552215,222,180000,223,0,224,37,300,1555200,209,1555200,211,1555200,214,1555200,216,633600,217,633600,219,633600,221,633600,208,100,211,50,213,25,215,20,217,25,219,0,220,0,222,0,
309,3,302,2707748,307,1071223,181438,312,180000,313,0,314,19,400,1555200,302,1555200,303,1555200,305,1555200,306,633600,308,633600,309,633600,310,633600,301,100,303,33,304,0,306,12,307,18,309,0,310,0,312,0,
410,3,402,2708524,408,659648,0,413,180000,414,0,415,8,501,1555200,402,1555200,404,1555200,405,1555200,407,633600,408,633600,410,633600,411,633600,401,37,404,20,405,25,406,10,408,0,409,0,411,0,413,0,
512,3,504,2708836,511,530586,0,516,180000,517,0,518,13,601,1555200,504,1555200,506,1555200,507,1555200,509,633600,511,633600,513,633600,514,633600,502,44,505,0,507,20,509,10,510,0,512,0,514,0,516,0,
613,3,603,2709084,611,867581,0,617,180000,618,0,619,15,702,1555200,604,1555200,606,1555200,608,1555200,609,633600,611,633600,614,633600,615,633600,602,54,605,27,607,22,609,18,611,0,613,0,615,0,617,0,
713,3,704,2709568,711,748882,0,717,180000,717,0,719,10,802,1555200,704,1555200,706,1555200,708,1555200,710,633600,712,633600,713,633600,715,633600,703,60,706,12,708,20,709,10,711,10,713,0,715,0,716,0,
813,3,804,2709816,811,604150,0,816,180000,816,0,817,11,902,1555200,805,1555200,806,1555200,808,1555200,809,1248000,811,1248000,813,1248000,814,1248000,803,50,806,18,807,10,809,0,811,9,813,0,814,0,816,0,
912,3,904,2710168,910,652478,0,916,180000,916,0,917,12,1002,1555200,904,1555200,906,1555200,907,1555200,909,633600,910,633600,913,633600,914,633600,903,33,906,11,907,20,908,27,910,0,912,0,914,0,915,0,
1012,3,1004,2710776,1011,731349,0,1015,180000,1016,0,1017,10,1103,1555200,1005,1555200,1006,1555200,1008,1555200,1009,633600,1011,633600,1013,633600,1014,633600,1004,50,1006,20,1008,10,1009,22,1011,0,1012,0,1014,0,1015,0,
1112,3,1105,2711024,1111,724179,0,1116,180000,1116,0,1117,11,1203,1555200,1105,1555200,1107,1555200,1108,1555200,1110,633600,1111,633600,1113,633600,1114,633600,1104,60,1106,20,1108,10,1109,11,1111,0,1112,0,1114,0,1115,0,
1215,3,1205,2711324,1213,501906,0,1218,180000,1219,0,1220,10,1304,1555200,1206,1555200,1208,1555200,1209,1555200,1211,633600,1213,633600,1215,633600,1217,633600,1205,40,1207,20,1209,0,1211,10,1213,0,1215,0,1216,0,1218,0,
1315,3,1306,2711820,1313,430205,0,1320,180000,1321,0,1322,7,1404,1555200,1307,1555200,1308,1555200,1310,1555200,1312,633600,1314,633600,1316,633600,1317,633600,1305,10,1308,10,1310,10,1311,30,1313,0,1315,0,1317,0,1319,0,
1413,3,1406,2712152,1411,781540,0,1416,180000,1416,0,1417,11,1505,1248000,1406,1555200,1408,1555200,1409,1555200,1410,633600,1412,633600,1413,633600,1414,633600,1406,54,1407,20,1409,10,1410,25,1411,0,1413,0,1414,0,1415,0,
1518,3,1509,2712188,1516,54857,0,1521,180000,1522,0,1523,2,1605,1555200,1509,1248000,1511,1248000,1513,1248000,1514,633600,1516,633600,1518,633600,1520,633600,1508,0,1511,0,1512,0,1514,11,1516,0,1518,0,1519,0,1521,0,
1616,3,1608,2712948,1615,580777,0,1621,180000,1622,0,1623,12,1706,1555200,1608,1555200,1610,1555200,1611,1555200,1613,633600,1615,633600,1617,633600,1619,633600,1607,37,1609,22,1611,11,1613,11,1614,0,1616,0,1618,0,1621,0,
1715,3,1708,2713304,1713,523416,0,1718,180000,1718,0,1719,6,1806,960000,1708,1555200,1709,1555200,1711,1555200,1712,633600,1714,633600,1715,633600,1716,633600,1707,37,1709,18,1711,0,1712,18,1713,0,1715,0,1716,0,1718,0,
1818,3,1809,2713304,1816,121478,0,1822,180000,1823,0,1824,6,1906,1555200,1809,960000,1811,960000,1813,960000,1815,633600,1817,633600,1818,633600,1820,633600,1808,27,1811,10,1813,0,1814,0,1816,0,1818,0,1820,0,1822,0,
1921,3,1910,2713844,1919,859620,0,1925,180000,1926,0,1927,13,2007,1555200,1910,1555200,1912,1555200,1915,1555200,1917,864000,1919,864000,1921,864000,1923,864000,1908,66,1911,10,1915,30,1917,10,1919,10,1921,0,1923,0,1925,0,
2017,3,2009,2712132,2016,848950,0,2020,180000,2021,0,2022,15,2108,1555200,2010,1555200,2011,1555200,2013,1555200,2014,633600,2016,633600,2017,633600,2019,633600,2008,50,2011,33,2012,11,2014,20,2015,18,2017,0,2019,0,2020,0,
2126,3,2113,2712132,2124,387185,0,2129,180000,2130,0,2131,8,2208,1555200,2114,1555200,2118,1555200,2120,1555200,2122,633600,2124,633600,2126,633600,2128,633600,2111,10,2117,10,2119,16,2121,18,2124,0,2126,0,2127,0,2129,0,
2218,3,2210,2712236,2217,456662,0,2222,180000,2223,0,2224,9,2308,1555200,2211,1555200,2212,1555200,2214,1555200,2215,633600,2217,633600,2219,633600,2220,633600,2209,50,2212,0,2213,11,2215,0,2217,11,2218,0,2220,0,2222,0,
2319,3,2311,2712236,2317,473226,0,2322,180000,2323,0,2324,6,2409,460800,2311,1555200,2313,1555200,2314,1555200,2316,633600,2317,633600,2319,633600,2320,633600,2310,40,2313,0,2314,10,2316,16,2317,0,2318,0,2320,0,2322,0,
2433,3,2415,2712476,2430,95965,0,2440,180000,2441,0,2443,13,2510,1248000,2416,460800,2420,460800,2424,460800,2427,633600,2431,633600,2434,633600,2437,633600,2413,46,2419,10,2423,20,2427,10,2430,0,2433,0,2436,0,2439,0,
2520,3,2512,2712528,2519,458804,0,2524,180000,2524,0,2526,11,2610,1555200,2512,1248000,2514,1248000,2516,1248000,2517,633600,2519,633600,2521,633600,2522,633600,2511,37,2514,22,2515,33,2517,0,2518,0,2520,0,2522,0,2524,0,
2621,3,2613,2712528,2619,630968,0,2625,180000,2625,0,2626,10,2711,1555200,2613,1555200,2615,1555200,2616,1555200,2618,633600,2620,633600,2621,633600,2623,633600,2611,55,2614,0,2616,33,2617,0,2619,0,2621,0,2622,0,2624,0,
2720,3,2712,2712528,2718,408695,0,2722,180000,2723,0,2724,5,2812,460800,2713,1555200,2714,1555200,2716,1555200,2717,633600,2719,633600,2720,633600,2721,633600,2712,22,2714,9,2716,16,2717,10,2718,0,2719,0,2721,0,2722,0,
2836,3,2817,2712776,2831,105220,0,2844,180000,2845,0,2847,9,2912,1248000,2818,460800,2822,460800,2825,600000,2828,633600,2833,633600,2837,633600,2840,633600,2815,36,2821,0,2824,22,2828,25,2831,0,2835,0,2840,0,2843,0,
2924,3,2914,2712592,2922,493713,0,2928,180000,2929,0,2930,14,3012,1555200,2915,1248000,2917,1248000,2918,1248000,2920,633600,2922,633600,2924,633600,2926,633600,2913,50,2916,12,2918,0,2920,37,2922,0,2923,0,2925,0,2927,0,
3024,3,3015,2712704,3023,666818,0,3028,180000,3029,0,3030,10,3112,1555200,3016,1555200,3017,1555200,3019,1555200,3021,633600,3023,633600,3025,633600,3027,633600,3014,44,3017,27,3019,11,3021,11,3022,0,3024,0,3026,0,3028,0,
