App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 11:21:13 AM","59 sec","Trepn_2018.10.20_112112.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
109,3,90,2658804,106,414585,0,113,180000,114,0,115,20,116,1248000,90,960000,97,960000,100,1248000,103,633600,107,633600,109,633600,111,633600,86,50,92,42,100,30,102,27,106,0,108,4,111,0,113,0,
127,3,118,2659300,125,2054454,1104990,131,180000,132,0,133,41,186,1555200,118,1555200,120,1555200,122,1555200,123,633600,125,633600,127,633600,129,633600,117,100,120,66,121,50,123,100,125,0,127,0,129,0,130,0,
217,3,206,2659772,215,1285609,336145,223,180000,223,0,225,23,286,1555200,207,1555200,209,1555200,211,1555200,213,1248000,216,1248000,218,1248000,220,1248000,205,40,208,100,210,12,213,12,215,22,217,0,219,0,222,0,
296,3,288,2660240,295,822336,0,301,180000,302,0,303,12,387,1555200,289,1555200,290,1555200,292,1555200,293,633600,295,633600,296,633600,298,633600,288,50,290,28,291,12,293,22,294,11,296,0,298,0,300,0,
396,3,389,2660776,395,559267,0,400,180000,401,0,402,10,487,1555200,389,1555200,390,1555200,392,1555200,393,633600,395,633600,397,633600,399,633600,388,22,390,36,391,0,393,20,394,0,396,0,398,0,400,0,
502,3,490,2661716,500,788710,0,506,180000,507,0,508,14,587,1555200,491,1555200,493,1555200,495,1555200,498,633600,500,633600,503,633600,504,633600,489,55,493,36,495,9,497,10,500,0,502,0,504,0,506,0,
597,3,589,2661964,596,693275,0,600,180000,601,0,602,10,688,1555200,590,1555200,591,1555200,592,1555200,594,633600,596,633600,598,633600,599,633600,589,50,591,22,592,22,594,0,595,11,597,0,599,0,600,0,
702,3,691,2662496,700,516246,0,706,180000,707,0,708,6,788,1555200,691,1555200,694,1555200,696,1555200,698,633600,701,633600,703,633600,704,633600,689,50,693,22,695,0,698,0,699,0,702,0,704,0,706,0,
799,3,791,2662620,798,623798,0,803,180000,804,0,805,11,889,1555200,791,1555200,793,1555200,794,1555200,796,633600,798,633600,799,633600,801,633600,790,44,792,22,794,11,796,10,797,0,799,0,801,0,803,0,
899,3,891,2663352,898,681158,0,903,180000,904,0,905,12,989,1555200,891,1555200,893,1555200,895,1555200,896,633600,898,633600,900,633600,902,633600,890,55,893,20,894,0,896,20,898,0,899,0,901,0,903,0,
1003,3,992,2663404,1001,625237,0,1007,180000,1007,0,1008,12,1090,1555200,993,1555200,995,1555200,997,1555200,999,633600,1001,633600,1003,633600,1005,633600,991,50,994,25,996,0,999,10,1000,9,1003,0,1004,0,1006,0,
1100,3,1092,2663652,1098,698691,0,1103,180000,1104,0,1105,9,1190,1555200,1092,1555200,1094,1555200,1096,1555200,1097,633600,1099,633600,1100,633600,1102,633600,1091,50,1094,20,1095,25,1097,0,1098,10,1100,0,1101,0,1103,0,
1200,3,1192,2663756,1198,559267,0,1204,180000,1204,0,1205,13,1291,1555200,1192,1555200,1193,1555200,1195,1555200,1197,633600,1198,633600,1200,633600,1202,633600,1191,37,1193,20,1195,11,1196,10,1198,0,1200,0,1201,0,1203,0,
1301,3,1293,2664356,1299,682598,0,1305,180000,1305,0,1307,7,1392,1555200,1293,1555200,1295,1555200,1296,1555200,1298,633600,1299,633600,1301,633600,1303,633600,1292,44,1294,20,1296,20,1298,9,1299,9,1301,0,1303,0,1304,0,
1407,3,1396,2664604,1405,358504,0,1410,180000,1410,0,1412,9,1492,1555200,1396,1555200,1398,1555200,1400,1555200,1402,633600,1406,633600,1407,633600,1409,633600,1394,18,1398,12,1400,10,1402,10,1405,0,1407,0,1408,0,1410,0,
1502,3,1494,2664956,1500,537757,0,1507,180000,1507,0,1508,10,1592,1555200,1494,1555200,1496,1555200,1497,1555200,1499,633600,1500,633600,1502,633600,1505,633600,1493,28,1495,27,1497,20,1498,0,1500,0,1502,0,1504,0,1507,0,
1603,3,1594,2663296,1602,759388,0,1607,180000,1607,0,1608,11,1694,1555200,1595,1555200,1597,1555200,1599,1555200,1600,1248000,1602,1248000,1603,1248000,1605,1248000,1593,37,1596,27,1598,18,1600,10,1601,20,1603,0,1605,0,1606,0,
1715,3,1700,2663296,1713,236613,0,1719,180000,1719,0,1720,5,1793,1555200,1702,1555200,1705,1555200,1709,1555200,1712,633600,1714,633600,1715,633600,1717,633600,1698,33,1704,0,1709,0,1711,0,1713,0,1715,0,1717,0,1718,0,
1802,3,1795,2663600,1800,463832,0,1804,180000,1805,0,1806,7,1894,1555200,1795,1555200,1797,1555200,1798,1555200,1799,633600,1800,633600,1802,633600,1803,633600,1794,50,1796,12,1798,0,1799,0,1800,11,1801,0,1803,0,1804,0,
1908,3,1897,2663676,1906,207932,0,1912,180000,1913,0,1914,4,1994,1555200,1897,1555200,1900,1555200,1901,1555200,1904,633600,1906,633600,1908,633600,1910,633600,1895,20,1899,0,1901,9,1903,0,1905,0,1908,0,1910,0,1912,0,
2008,3,1997,2663572,2006,760029,0,2012,180000,2012,0,2013,13,2094,1555200,1998,1555200,2000,1555200,2002,1555200,2004,633600,2006,633600,2008,633600,2010,633600,1996,60,1999,18,2001,10,2003,18,2005,0,2008,0,2009,0,2011,0,
2102,3,2096,2663624,2101,580777,0,2105,180000,2105,0,2106,6,2195,1555200,2096,1555200,2098,1555200,2099,1555200,2100,633600,2101,633600,2103,633600,2104,633600,2096,50,2097,11,2099,20,2100,0,2101,0,2102,0,2104,0,2105,0,
2209,3,2198,2663624,2207,78871,0,2213,180000,2213,0,2215,4,2296,1555200,2199,1555200,2201,1555200,2203,1555200,2205,633600,2208,633600,2209,633600,2211,633600,2197,11,2200,0,2202,0,2205,0,2207,0,2209,0,2210,0,2212,0,
2306,3,2298,2663872,2305,903431,0,2309,180000,2309,0,2310,12,2396,1555200,2298,1555200,2300,1555200,2302,1555200,2303,633600,2305,633600,2306,633600,2308,633600,2297,66,2300,20,2301,20,2303,20,2305,0,2306,0,2307,0,2309,0,
2404,3,2398,2664120,2403,480396,0,2407,180000,2408,0,2409,8,2497,600000,2398,1555200,2399,1555200,2401,1555200,2402,633600,2403,633600,2404,633600,2406,633600,2397,36,2399,20,2400,11,2402,0,2403,0,2404,0,2406,0,2407,0,
2516,3,2501,2664360,2514,109503,0,2521,180000,2522,0,2524,10,2597,1248000,2502,600000,2505,672000,2508,672000,2511,633600,2514,633600,2517,633600,2519,633600,2500,33,2505,11,2508,20,2510,0,2513,0,2516,0,2519,0,2521,0,
2609,3,2600,2664216,2607,483739,0,2613,180000,2613,0,2614,8,2698,1555200,2600,1248000,2602,1248000,2604,1248000,2606,633600,2608,633600,2609,633600,2611,633600,2599,44,2602,20,2604,33,2605,0,2607,0,2609,0,2611,0,2613,0,
2707,3,2700,2664464,2705,544927,0,2709,180000,2710,0,2711,10,2798,672000,2700,1555200,2701,1555200,2703,1555200,2704,633600,2705,633600,2707,633600,2708,633600,2699,44,2701,10,2702,22,2704,0,2705,0,2706,0,2708,0,2709,0,
2822,3,2803,2664428,2819,104962,0,2829,180000,2829,0,2831,7,2899,1555200,2804,768000,2808,768000,2812,768000,2815,633600,2819,633600,2823,633600,2826,633600,2802,11,2808,20,2811,16,2815,0,2818,0,2822,0,2825,0,2828,0,
2912,3,2901,2664408,2909,659648,0,2915,180000,2916,0,2917,13,2999,1555200,2901,1555200,2903,1555200,2905,1555200,2908,633600,2910,633600,2912,633600,2914,633600,2900,60,2903,20,2905,12,2907,0,2909,0,2912,0,2913,0,2915,0,
3013,3,3002,2664708,3011,618067,0,3017,180000,3018,0,3019,10,3099,1555200,3003,1555200,3005,1555200,3007,1555200,3009,633600,3012,633600,3014,633600,3015,633600,3001,54,3005,11,3007,9,3009,10,3011,9,3013,0,3015,0,3017,0,
3110,3,3102,2664708,3108,506852,0,3113,180000,3114,0,3115,8,3200,460800,3102,1555200,3104,1555200,3105,1555200,3107,633600,3108,633600,3110,633600,3112,633600,3101,40,3103,0,3105,10,3106,18,3108,11,3110,0,3111,0,3113,0,
3235,3,3207,2664708,3230,64181,0,3240,180000,3241,0,3243,10,3301,1344000,3209,460800,3215,600000,3221,600000,3226,633600,3231,633600,3235,633600,3238,633600,3205,22,3214,10,3219,0,3226,10,3229,7,3234,0,3238,0,3240,0,
3311,3,3303,2664812,3310,596639,0,3315,180000,3316,0,3317,11,3401,1555200,3303,1344000,3305,1344000,3306,1344000,3308,633600,3310,633600,3312,633600,3313,633600,3302,62,3304,33,3306,0,3308,11,3309,0,3311,0,3313,0,3315,0,
3410,3,3403,2664916,3408,724179,0,3413,180000,3414,0,3415,10,3502,384000,3403,1555200,3404,1555200,3406,1555200,3407,633600,3408,633600,3410,633600,3411,633600,3402,50,3404,22,3405,20,3407,9,3408,0,3409,0,3411,0,3413,0,
3527,3,3508,2664916,3524,17418,0,3534,180000,3535,0,3537,6,3602,1344000,3509,384000,3513,384000,3517,384000,3521,633600,3524,633600,3528,633600,3531,633600,3506,0,3512,10,3516,0,3520,10,3523,0,3527,0,3530,0,3533,0,
3614,3,3605,2665020,3612,647297,0,3617,180000,3618,0,3619,10,3703,1555200,3605,1344000,3607,1344000,3609,1344000,3610,633600,3612,633600,3614,633600,3616,633600,3604,50,3606,12,3608,20,3610,33,3612,0,3613,0,3615,0,3617,0,
3713,3,3705,2664876,3711,666818,0,3716,180000,3717,0,3718,11,3803,1555200,3705,1555200,3707,1555200,3709,1555200,3710,633600,3712,633600,3713,633600,3715,633600,3704,44,3706,20,3708,11,3710,18,3711,0,3713,0,3715,0,3716,0,
3812,3,3805,2665172,3811,516246,0,3815,180000,3815,0,3816,7,3904,1555200,3806,1555200,3807,1555200,3808,1555200,3810,633600,3811,633600,3812,633600,3814,633600,3805,40,3807,11,3808,10,3809,11,3811,0,3812,0,3813,0,3815,0,
3914,3,3906,2665420,3913,272463,0,3918,180000,3918,0,3919,4,4005,1555200,3906,1555200,3908,1555200,3909,1555200,3911,633600,3913,633600,3914,633600,3916,633600,3905,11,3908,0,3909,9,3911,18,3912,0,3914,0,3916,0,3917,0,
4016,3,4007,2665472,4014,516246,0,4019,180000,4020,0,4021,11,4105,1555200,4008,1555200,4009,1555200,4011,1555200,4013,633600,4014,633600,4016,633600,4018,633600,4006,50,4009,0,4010,11,4012,11,4014,0,4015,0,4017,0,4019,0,
4114,3,4107,2665720,4113,301143,0,4117,180000,4117,0,4118,3,4206,1555200,4107,1555200,4109,1555200,4110,1555200,4112,633600,4113,633600,4114,633600,4116,633600,4107,22,4109,0,4110,10,4112,10,4113,0,4114,0,4115,0,4117,0,
4220,3,4209,2665720,4217,430205,0,4225,180000,4225,0,4226,9,4307,1555200,4209,1555200,4211,1555200,4214,1555200,4216,633600,4218,633600,4220,633600,4223,633600,4208,40,4211,10,4213,10,4215,0,4217,0,4220,0,4222,0,4224,0,
4317,3,4309,2671536,4316,1173050,223586,4321,180000,4321,0,4322,20,4407,1555200,4309,1555200,4311,1555200,4313,1555200,4314,1248000,4316,1248000,4318,1248000,4319,1248000,4308,66,4311,36,4312,11,4314,20,4316,44,4317,0,4319,0,4320,0,
4419,3,4409,2671340,4417,222272,0,4422,180000,4423,0,4424,7,4507,1555200,4410,1555200,4412,1555200,4413,1555200,4415,1248000,4417,1248000,4419,1248000,4420,1248000,4409,12,4411,0,4413,10,4415,9,4416,0,4418,0,4420,0,4422,0,
4516,3,4509,2671340,4515,760029,0,4519,180000,4520,0,4521,13,4608,1555200,4509,1555200,4511,1555200,4512,1555200,4514,633600,4515,633600,4517,633600,4518,633600,4508,60,4511,18,4512,10,4513,18,4515,0,4516,0,4518,0,4519,0,
4618,3,4610,2671340,4616,423035,0,4622,180000,4622,0,4624,6,4709,672000,4610,1555200,4612,1555200,4613,1555200,4615,633600,4617,633600,4618,633600,4620,633600,4609,12,4611,18,4613,18,4614,11,4616,0,4618,0,4620,0,4621,0,
4728,3,4713,2671588,4725,108936,0,4733,180000,4733,0,4735,8,4809,1478400,4713,672000,4716,672000,4720,672000,4723,633600,4726,633600,4728,633600,4730,633600,4711,30,4716,0,4719,11,4722,16,4725,0,4727,0,4730,0,4732,0,
4819,3,4811,2671184,4817,744549,0,4823,180000,4823,0,4824,11,4909,1555200,4811,1478400,4813,1478400,4815,1478400,4816,633600,4818,633600,4819,633600,4821,633600,4810,55,4813,22,4814,25,4816,11,4817,0,4819,0,4820,0,4822,0,
4919,3,4912,2671184,4917,395794,0,4922,180000,4922,0,4923,8,5010,1555200,4912,1555200,4913,1555200,4915,1555200,4916,633600,4917,633600,4919,633600,4920,633600,4911,33,4913,10,4914,10,4916,0,4917,9,4918,0,4920,0,4921,0,
5022,3,5013,2672456,5020,666348,0,5026,180000,5026,0,5027,10,5111,1555200,5013,1555200,5015,1555200,5016,1555200,5018,633600,5020,633600,5022,633600,5024,633600,5012,30,5014,22,5016,18,5018,20,5019,12,5021,0,5023,0,5025,0,
5121,3,5113,2672600,5119,1371575,422111,5123,180000,5123,0,5123,22,5211,1555200,5113,1555200,5115,1555200,5116,1555200,5118,1824000,5120,1824000,5121,1824000,5122,1824000,5112,50,5115,27,5116,10,5118,10,5119,72,5121,0,5122,0,5123,0,
5225,3,5215,2673688,5224,1132527,183063,5226,180000,5226,0,5227,15,5312,1555200,5216,1555200,5218,1555200,5221,1555200,5223,1958400,5224,1958400,5225,1958400,5225,1958400,5213,0,5218,10,5220,0,5223,0,5224,100,5225,9,5225,0,5226,0,
5317,3,5314,2674500,5316,1751418,801954,5319,180000,5319,0,5319,21,5413,1555200,5314,1555200,5314,1555200,5315,1555200,5316,1958400,5317,1958400,5317,1958400,5318,1958400,5313,60,5314,11,5315,12,5316,0,5316,100,5317,0,5318,0,5318,0,
5417,3,5414,2676792,5417,1390650,441186,5419,180000,5419,0,5419,19,5513,1555200,5414,1555200,5415,1555200,5416,1555200,5416,1958400,5417,1958400,5418,1958400,5418,1958400,5414,36,5415,0,5416,10,5416,0,5417,100,5417,10,5418,0,5419,0,
5519,3,5515,2639252,5518,2158024,1208560,5520,180000,5520,0,5521,39,5614,1555200,5515,1555200,5516,1555200,5517,1555200,5517,1958400,5518,1958400,5519,1958400,5520,1958400,5514,66,5516,77,5516,40,5517,44,5518,40,5519,10,5520,10,5520,0,
5620,3,5615,2635880,5619,2497501,1548037,5622,180000,5622,0,5623,42,5714,1555200,5616,1555200,5617,1555200,5618,1555200,5618,1248000,5619,1248000,5620,1248000,5621,1536000,5615,88,5616,62,5617,55,5618,72,5619,60,5620,10,5621,10,5622,9,
5719,3,5716,2636716,5718,2155881,1206417,5721,180000,5721,0,5721,32,5815,1555200,5716,1555200,5716,1555200,5717,1555200,5718,1958400,5718,1958400,5719,1958400,5720,1958400,5715,58,5716,27,5717,33,5718,12,5718,100,5719,0,5720,10,5720,0,
5829,3,5818,2638064,5826,2436015,1486551,5832,180000,5832,0,5833,33,5915,1555200,5818,1555200,5820,1555200,5822,1555200,5824,1958400,5826,1958400,5829,1958400,5831,1958400,5816,80,5820,14,5822,45,5824,38,5826,100,5828,0,5831,0,5832,0,
5927,3,5917,2643132,5925,2365783,1416319,5931,180000,5932,0,5932,37,6016,1555200,5918,1555200,5920,1555200,5922,1555200,5923,1958400,5926,1958400,5928,1958400,5930,1958400,5917,88,5919,27,5921,45,5923,22,5925,100,5927,0,5929,0,5931,0,
6027,3,6018,2646360,6025,1981622,1032158,6030,180000,6031,0,6032,30,6116,1555200,6018,1555200,6020,1555200,6022,1555200,6023,1958400,6025,1958400,6027,1958400,6028,1958400,6017,70,6019,44,6021,44,6023,37,6025,55,6026,0,6028,0,6030,0,
6128,3,6119,2649508,6127,2225405,1275941,6132,180000,6132,0,6133,49,6216,1555200,6119,1555200,6121,1555200,6123,1555200,6125,1958400,6127,1958400,6129,1958400,6131,1958400,6118,70,6121,55,6123,50,6125,54,6126,55,6128,20,6130,0,6132,60,
6227,3,6219,2649248,6225,3204597,2255133,6230,180000,6231,0,6231,52,6317,1555200,6219,1555200,6221,1555200,6222,1555200,6224,1958400,6226,1958400,6227,1958400,6229,1958400,6218,80,6220,75,6222,70,6224,37,6225,45,6227,66,6229,11,6230,60,
6330,3,6320,2650976,6328,3037922,2088458,6332,180000,6333,0,6333,30,6417,1555200,6320,1555200,6322,1555200,6324,1555200,6326,1958400,6328,1958400,6330,1958400,6332,1958400,6318,66,6322,54,6324,60,6326,41,6328,0,6330,9,6331,0,6332,20,
6427,3,6419,2651256,6426,1906570,957106,6431,180000,6432,0,6433,30,6518,1555200,6420,1555200,6421,1555200,6423,1555200,6424,633600,6426,633600,6428,633600,6429,633600,6419,50,6421,33,6422,100,6424,40,6425,0,6427,0,6429,0,6431,0,
6527,3,6519,2651504,6525,1577420,627956,6530,180000,6530,0,6531,25,6618,1555200,6520,1555200,6521,1555200,6522,1555200,6524,633600,6525,633600,6527,633600,6528,633600,6519,50,6521,40,6522,100,6524,30,6525,0,6526,0,6528,0,6529,0,
6635,3,6623,2649740,6633,1068344,118880,6638,180000,6639,0,6640,19,6719,1555200,6625,1555200,6627,1555200,6630,1555200,6632,633600,6633,633600,6635,633600,6637,633600,6622,30,6627,10,6629,100,6631,9,6633,0,6635,0,6636,0,6638,0,
6729,3,6721,2649740,6727,1333637,384173,6732,180000,6733,0,6734,21,6819,1555200,6721,1555200,6723,1555200,6724,1555200,6726,633600,6727,633600,6729,633600,6730,633600,6720,55,6722,11,6724,100,6725,20,6727,0,6729,0,6730,0,6732,0,
6830,3,6821,2650132,6828,1078706,129242,6835,180000,6835,0,6837,20,6920,1555200,6822,1555200,6823,1555200,6825,1555200,6827,633600,6829,633600,6830,633600,6833,633600,6820,37,6823,0,6825,100,6826,11,6828,10,6830,0,6832,0,6834,0,
6938,3,6924,2650656,6934,1190235,240771,6942,180000,6943,0,6944,23,7020,1555200,6924,1555200,6927,1555200,6930,1555200,6933,633600,6935,633600,6938,633600,6940,633600,6922,27,6926,16,6929,100,6932,23,6934,0,6938,0,6940,0,6942,0,
7032,3,7023,2650100,7031,1568647,619183,7035,180000,7035,0,7036,34,7121,1555200,7023,1555200,7025,1555200,7027,1555200,7029,1248000,7031,1248000,7033,1248000,7034,1248000,7022,54,7024,16,7027,77,7029,37,7031,50,7032,30,7034,0,7034,0,
7132,3,7123,2652616,7130,1831350,881886,7133,180000,7133,0,7134,34,7221,1555200,7123,1555200,7125,1555200,7127,1555200,7129,1958400,7130,1958400,7132,1958400,7132,1958400,7122,80,7125,60,7126,50,7128,12,7130,22,7132,0,7132,0,7133,66,
