App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 12:15:30 PM","58 sec","Trepn_2018.10.20_121529.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
114,3,96,2735800,112,691218,0,118,180000,118,0,119,21,119,1555200,96,1248000,104,1478400,107,1478400,110,633600,112,633600,114,1248000,115,1248000,95,41,104,38,106,47,109,20,112,14,114,4,115,0,118,0,
126,3,121,2736532,125,2298237,1356778,129,180000,129,0,130,55,191,1555200,121,1555200,122,1555200,123,1555200,124,1248000,125,1248000,127,1248000,128,1248000,120,100,122,0,123,100,124,50,125,100,126,100,128,0,129,0,
204,3,200,2734964,203,1846504,905045,207,180000,208,0,209,35,291,1555200,200,1555200,201,1555200,202,1555200,202,1958400,203,1958400,204,1958400,206,1958400,200,100,201,14,202,0,202,0,203,50,204,57,206,57,207,0,
296,3,293,2731628,295,2112773,1171314,297,180000,297,0,298,16,392,1555200,293,1555200,293,1555200,294,1555200,295,1958400,295,1958400,296,1958400,296,1958400,292,77,293,12,294,12,295,25,295,0,296,33,296,0,297,0,
402,3,394,2731980,400,940899,0,406,180000,406,0,407,13,492,1555200,394,1555200,396,1555200,397,1555200,399,633600,401,633600,402,633600,404,633600,393,22,395,11,397,27,399,18,400,18,402,0,404,0,405,0,
505,3,495,2732476,503,702669,0,509,180000,509,0,511,13,592,1555200,495,1555200,498,1555200,500,1555200,502,633600,504,633600,505,633600,507,633600,494,70,497,18,500,10,501,0,503,0,505,0,507,0,508,0,
603,3,595,2733020,602,763222,0,607,180000,607,0,609,14,693,1555200,595,1555200,597,1555200,599,1555200,600,633600,602,633600,604,633600,605,633600,594,54,597,11,598,30,600,9,601,10,603,0,605,0,606,0,
702,3,695,2733176,701,530586,0,706,180000,706,0,707,11,794,1555200,695,1555200,697,1555200,698,1555200,700,633600,701,633600,703,633600,704,633600,694,54,696,0,698,20,699,0,701,0,702,0,704,0,705,0,
804,3,796,2733280,802,681158,0,807,180000,807,0,808,9,894,1555200,796,1555200,797,1555200,799,1555200,800,633600,803,633600,804,633600,805,633600,795,57,797,18,798,0,800,20,802,0,804,0,805,0,807,0,
903,3,896,2734024,901,616628,0,906,180000,906,0,907,9,995,1555200,896,1555200,898,1555200,899,1555200,900,633600,902,633600,903,633600,904,633600,895,37,897,11,899,11,900,27,901,0,903,0,904,0,905,0,
1007,3,997,2734076,1005,178931,0,1011,180000,1011,0,1012,5,1095,1555200,998,1555200,999,1555200,1001,1248000,1003,633600,1005,633600,1007,633600,1009,633600,996,18,999,0,1001,0,1003,10,1005,0,1007,0,1008,0,1010,0,
1107,3,1098,2734340,1105,688329,0,1110,180000,1110,0,1112,12,1196,1555200,1098,1555200,1100,1555200,1102,1555200,1103,633600,1105,633600,1107,633600,1108,633600,1097,54,1100,22,1101,20,1103,0,1105,0,1106,0,1108,0,1110,0,
1204,3,1198,2734836,1203,587947,0,1207,180000,1208,0,1209,7,1297,384000,1198,1555200,1199,1555200,1201,1555200,1202,633600,1203,633600,1204,633600,1206,633600,1197,50,1199,11,1200,11,1202,10,1203,0,1204,0,1205,0,1207,0,
1314,3,1302,2735084,1312,103921,0,1319,180000,1320,0,1322,7,1397,1478400,1302,960000,1305,960000,1307,960000,1310,633600,1312,633600,1315,633600,1317,633600,1301,10,1304,10,1307,10,1309,9,1311,0,1314,0,1316,0,1319,0,
1412,3,1400,2735896,1410,900729,0,1416,180000,1417,0,1419,15,1498,1555200,1401,1555200,1404,1555200,1407,1555200,1408,633600,1410,633600,1412,633600,1414,633600,1399,54,1403,10,1406,30,1408,36,1410,0,1412,0,1414,0,1415,0,
1508,3,1500,2734544,1506,807376,0,1511,180000,1512,0,1513,15,1599,384000,1500,1555200,1502,1555200,1504,1555200,1505,1248000,1507,1248000,1508,1248000,1510,1248000,1499,62,1502,20,1503,0,1505,0,1506,44,1508,11,1509,0,1511,0,
1631,3,1608,2734628,1627,127851,0,1637,180000,1637,0,1639,11,1699,1478400,1609,460800,1614,460800,1619,460800,1624,633600,1628,633600,1632,633600,1634,633600,1605,30,1613,18,1618,16,1624,8,1627,0,1631,0,1634,0,1636,0,
1711,3,1701,2734680,1709,778256,0,1715,180000,1716,0,1717,14,1799,1555200,1702,1555200,1704,1555200,1706,1555200,1707,633600,1709,633600,1711,633600,1713,633600,1701,55,1703,44,1705,14,1707,0,1709,0,1711,0,1713,0,1715,0,
1809,3,1802,2734732,1807,634161,0,1811,180000,1812,0,1813,9,1900,1555200,1802,1555200,1804,1555200,1805,1555200,1806,633600,1808,633600,1809,633600,1810,633600,1801,44,1803,11,1805,22,1806,9,1807,10,1809,0,1810,0,1811,0,
1911,3,1902,2734784,1909,71700,0,1915,180000,1915,0,1917,3,2001,1555200,1903,1555200,1905,1555200,1906,1555200,1908,633600,1910,633600,1911,633600,1913,633600,1901,0,1904,10,1906,0,1908,0,1909,0,1911,0,1913,0,1915,0,
