App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 02:36:28 PM","59 sec","Trepn_2018.10.20_143627.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
105,3,91,2701692,103,587419,0,109,180000,110,0,112,23,112,1248000,92,960000,96,1248000,98,1248000,101,633600,103,633600,105,633600,107,633600,89,55,94,33,98,35,100,47,103,5,105,4,107,4,109,0,
124,3,115,2701692,123,2196096,1264170,130,180000,130,0,132,47,174,1555200,115,1248000,117,1555200,119,1555200,121,633600,123,633600,125,633600,128,633600,114,50,117,100,118,100,120,100,122,0,124,0,127,0,129,0,
187,3,177,2702472,185,1276276,344350,191,180000,191,0,193,27,275,1555200,177,1555200,179,1555200,181,1555200,182,633600,186,633600,188,633600,189,633600,176,20,178,42,180,16,182,100,185,0,187,16,189,14,190,0,
285,3,277,2702756,283,830161,0,288,180000,289,0,290,10,376,1555200,277,1555200,279,1555200,280,1555200,282,633600,283,633600,285,633600,287,633600,276,25,278,27,280,18,281,36,283,10,285,0,286,0,288,0,
394,3,381,2703004,391,480396,0,399,180000,400,0,401,11,476,1555200,382,1555200,384,1555200,386,1555200,388,633600,392,633600,395,633600,397,633600,378,30,383,27,385,0,387,10,391,0,394,0,397,0,399,0,
488,3,478,2703752,486,548119,0,492,180000,492,0,494,9,576,1555200,479,1555200,481,1555200,482,1555200,484,633600,486,633600,488,633600,490,633600,477,54,480,0,482,20,484,0,486,10,488,0,489,0,491,0,
590,3,579,2703964,588,515885,0,594,180000,595,0,597,11,677,1555200,580,1248000,582,1248000,584,1248000,586,633600,588,633600,590,633600,592,633600,578,33,581,11,583,27,585,18,588,0,590,0,592,0,594,0,
689,3,680,2704460,687,573607,0,693,180000,694,0,695,10,777,1555200,680,1555200,682,1555200,684,1555200,686,633600,687,633600,690,633600,691,633600,679,36,682,11,683,22,685,11,687,0,689,0,691,0,693,0,
791,3,780,2704708,789,659648,0,795,180000,796,0,797,11,878,1555200,780,1555200,782,1555200,784,1555200,786,633600,789,633600,791,633600,793,633600,779,37,781,18,783,27,786,10,788,0,790,0,793,0,795,0,
889,3,880,2704760,887,559267,0,893,180000,893,0,894,6,978,1555200,881,1555200,882,1555200,884,1555200,886,633600,888,633600,889,633600,891,633600,879,57,882,10,883,11,885,0,887,0,889,0,891,0,892,0,
990,3,981,2705256,988,501906,0,994,180000,994,0,996,10,1079,1555200,981,1555200,983,1555200,984,1555200,986,633600,988,633600,990,633600,992,633600,980,40,982,0,984,0,986,30,988,0,990,0,991,0,993,0,
1088,3,1081,2705540,1087,645308,0,1091,180000,1092,0,1093,10,1179,1555200,1081,1555200,1082,1555200,1084,1555200,1085,633600,1087,633600,1088,633600,1090,633600,1080,42,1082,10,1084,20,1085,18,1087,0,1088,0,1090,0,1091,0,
1190,3,1181,2705944,1188,519439,0,1194,180000,1194,0,1196,10,1280,1555200,1182,1555200,1184,1555200,1185,1555200,1187,633600,1189,633600,1191,633600,1192,633600,1180,37,1183,11,1185,22,1187,0,1188,10,1190,0,1192,0,1193,0,
1291,3,1282,2706080,1289,662841,0,1295,180000,1295,0,1297,12,1380,1555200,1282,1555200,1284,1555200,1286,1555200,1288,633600,1289,633600,1291,633600,1293,633600,1281,50,1284,20,1285,10,1287,10,1289,10,1291,0,1292,0,1294,0,
1390,3,1382,2706148,1388,595117,0,1395,180000,1395,0,1397,7,1480,1555200,1382,1555200,1383,1555200,1385,1555200,1387,633600,1388,633600,1390,633600,1393,633600,1381,50,1383,0,1385,11,1386,22,1388,0,1390,0,1392,0,1394,0,
