App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 02:56:10 PM","1 min 0 sec","Trepn_2018.10.20_145609.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
20,3,9,2622004,18,1571438,390920,25,180000,25,0,27,16,88,1555200,9,1555200,12,1555200,14,1555200,16,633600,18,633600,20,633600,22,633600,8,18,11,23,13,83,15,0,17,8,20,0,22,0,24,0,
124,3,112,2622496,121,475948,0,128,180000,129,0,130,12,188,1555200,112,1555200,115,1555200,117,1555200,119,633600,121,633600,124,633600,126,633600,111,40,114,0,116,11,118,10,121,22,124,0,126,0,128,0,
198,3,190,2622520,196,709368,0,201,180000,202,0,204,9,289,1555200,190,1555200,192,1555200,193,1555200,195,633600,196,633600,198,633600,200,633600,189,37,191,37,193,22,194,0,196,12,198,0,199,0,201,0,
301,3,291,2622848,299,602287,0,306,180000,306,0,308,9,389,1555200,292,1555200,294,1555200,295,1555200,297,633600,299,633600,301,633600,304,633600,290,37,293,20,295,27,297,0,299,0,301,0,303,0,305,0,
400,3,391,2623096,398,501906,0,405,180000,405,0,407,8,489,1248000,392,1555200,393,1555200,395,1555200,397,633600,399,633600,400,633600,402,633600,390,40,393,10,395,11,397,9,398,0,400,0,402,0,404,0,
502,3,492,2623432,500,454636,0,506,180000,507,0,508,10,590,960000,492,1248000,494,1248000,496,1248000,498,633600,500,633600,502,633600,504,633600,491,30,494,22,496,27,498,9,500,9,502,0,504,0,506,0,
606,3,593,2624140,603,285638,0,611,180000,611,0,613,10,691,1248000,594,960000,596,960000,599,960000,601,633600,604,633600,606,633600,608,633600,592,37,596,20,598,30,601,0,603,0,605,0,608,0,610,0,
706,3,694,2624388,704,349090,0,711,180000,712,0,714,11,791,1555200,695,1248000,697,1248000,699,1248000,702,633600,704,633600,706,633600,709,633600,693,41,696,0,699,11,701,18,704,0,706,0,708,0,711,0,
803,3,794,2624388,801,817390,0,807,180000,807,0,809,10,892,1555200,794,1555200,796,1555200,798,1555200,799,633600,801,633600,803,633600,805,633600,793,62,795,20,797,22,799,10,801,0,802,0,805,0,806,0,
904,3,894,2624908,902,437375,0,908,180000,908,0,909,12,992,1555200,895,1555200,897,1555200,898,1555200,900,633600,902,633600,904,633600,906,633600,893,40,896,11,898,10,900,0,902,0,904,0,905,0,907,0,
1001,3,994,2625232,1000,810220,0,1005,180000,1005,0,1006,8,1092,1555200,994,1555200,996,1555200,997,1555200,998,633600,1000,633600,1001,633600,1003,633600,993,50,995,33,997,30,998,0,1000,0,1001,0,1002,0,1004,0,
1103,3,1095,2625232,1101,777562,0,1106,180000,1106,0,1107,13,1193,1555200,1095,1555200,1097,1555200,1098,1555200,1100,633600,1102,633600,1103,633600,1105,633600,1094,60,1096,10,1098,18,1099,18,1101,10,1103,0,1104,0,1106,0,
1205,3,1195,2625728,1203,358504,0,1209,180000,1210,0,1211,10,1293,1555200,1196,1555200,1198,1555200,1200,1555200,1201,633600,1204,633600,1205,633600,1207,633600,1194,50,1197,0,1199,0,1201,0,1203,0,1205,0,1207,0,1209,0,
1303,3,1295,2625976,1302,774370,0,1306,180000,1307,0,1308,10,1394,1555200,1296,1555200,1297,1555200,1299,1555200,1300,633600,1302,633600,1303,633600,1305,633600,1294,50,1297,20,1298,20,1300,18,1301,0,1303,0,1304,0,1306,0,
1403,3,1396,2626272,1402,609457,0,1406,180000,1407,0,1408,9,1494,1555200,1396,1555200,1397,1555200,1399,1555200,1400,633600,1402,633600,1403,633600,1405,633600,1395,44,1397,30,1398,11,1400,0,1401,0,1403,0,1404,0,1406,0,
