App,Package,Start Time,Duration,Filename
"System",,"Oct 23, 2018 @ 11:01:19 PM","58 sec","Trepn_2018.10.23_230118.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
21,3,11,2688336,20,437375,0,25,180000,26,0,27,12,89,1555200,11,1555200,13,1555200,17,1555200,18,633600,20,633600,22,633600,23,633600,10,0,13,0,16,53,18,8,20,0,21,16,23,0,25,0,
114,3,104,2688584,112,630340,0,117,180000,117,0,118,16,190,1555200,104,1555200,106,1555200,108,1555200,110,1248000,112,1248000,114,1248000,116,1248000,103,22,106,12,108,30,110,20,112,0,114,33,115,0,117,0,
202,3,192,2688812,200,917431,0,206,180000,206,0,208,11,290,1555200,193,1555200,195,1555200,196,1555200,198,633600,200,633600,203,633600,204,633600,191,28,194,25,196,30,198,22,199,0,202,0,204,0,206,0,
302,3,293,2689084,300,444545,0,305,180000,306,0,307,11,391,1555200,293,1555200,295,1555200,296,1555200,298,633600,300,633600,302,633600,304,633600,292,50,294,12,296,0,298,0,299,0,302,0,303,0,305,0,
402,3,393,2690056,400,767200,0,406,180000,407,0,408,11,491,1555200,393,1555200,395,1555200,397,1555200,398,633600,400,633600,402,633600,404,633600,392,44,394,25,396,27,398,11,400,0,402,0,403,0,406,0,
500,3,493,2690504,499,752859,0,504,180000,505,0,506,11,591,1555200,493,1555200,495,1555200,496,1555200,498,633600,499,633600,501,633600,503,633600,492,66,494,11,496,18,497,10,499,0,500,0,502,0,504,0,
601,3,593,2690556,599,408695,0,604,180000,604,0,606,10,692,1555200,594,1555200,595,1555200,597,1555200,598,633600,600,633600,601,633600,602,633600,593,25,595,10,596,22,598,0,599,0,601,0,602,0,604,0,
704,3,694,2690832,702,760029,0,708,180000,708,0,710,11,792,1555200,695,1555200,696,1555200,698,1555200,700,633600,703,633600,704,633600,706,633600,693,60,696,27,698,11,700,8,702,0,704,0,706,0,707,0,
806,3,795,2691820,803,587947,0,810,180000,811,0,812,11,893,1555200,795,1555200,797,1555200,799,1555200,802,633600,804,633600,806,633600,808,633600,794,50,796,10,799,0,801,22,803,0,806,0,808,0,810,0,
904,3,895,2691872,903,673988,0,908,180000,909,0,910,11,993,1555200,896,1555200,897,1555200,899,1555200,901,633600,903,633600,905,633600,906,633600,894,54,897,20,899,20,901,0,902,0,904,0,906,0,908,0,
1003,3,995,2692368,1001,440568,0,1006,180000,1007,0,1008,6,1094,1555200,996,1555200,997,1555200,999,1555200,1000,633600,1002,633600,1003,633600,1004,633600,995,37,997,12,998,10,1000,0,1001,10,1003,0,1004,0,1006,0,
1108,3,1097,2692864,1106,415551,0,1111,180000,1112,0,1113,8,1194,1555200,1097,1555200,1100,1555200,1102,1555200,1104,633600,1106,633600,1108,633600,1110,633600,1096,18,1099,20,1101,18,1103,0,1106,8,1108,0,1110,0,1111,0,
1204,3,1196,2693360,1203,652478,0,1208,180000,1208,0,1210,12,1295,1555200,1197,1555200,1198,1555200,1200,1555200,1202,633600,1203,633600,1205,633600,1206,633600,1196,50,1198,22,1199,10,1201,9,1203,0,1204,0,1206,0,1207,0,
