App,Package,Start Time,Duration,Filename
"System",,"Oct 24, 2018 @ 06:39:24 PM","59 sec","Trepn_2018.10.24_183923.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
118,3,103,2725828,116,624742,0,123,180000,123,0,125,24,125,1555200,104,1248000,106,1248000,109,1248000,114,633600,117,633600,119,633600,121,633600,102,50,106,40,108,28,113,38,116,13,118,12,120,0,122,0,
137,3,127,2725828,135,2645294,1689099,141,180000,141,0,143,35,185,1555200,127,1555200,130,1555200,132,1555200,133,633600,136,633600,137,633600,139,633600,126,66,130,100,131,100,133,100,135,0,137,0,139,0,141,0,
197,3,187,2726076,195,1168384,212189,203,180000,203,0,206,25,286,1555200,187,1555200,189,1555200,191,1555200,193,1248000,195,1248000,197,1248000,200,1248000,186,20,189,100,190,20,192,0,194,33,196,0,199,0,202,0,
302,3,289,2726576,299,967962,11767,307,180000,308,0,309,13,386,1555200,289,1555200,291,1555200,295,1555200,297,633600,300,633600,302,633600,306,633600,288,50,291,37,294,30,296,18,299,0,302,0,305,0,307,0,
396,3,388,2726880,395,659648,0,400,180000,401,0,402,10,486,1555200,388,1555200,390,1555200,392,1555200,393,633600,395,633600,397,633600,398,633600,387,55,390,10,391,27,393,0,395,0,396,0,398,0,400,0,
497,3,489,2727208,496,752859,0,500,180000,501,0,502,13,586,1555200,489,1555200,491,1555200,493,1555200,494,633600,496,633600,498,633600,499,633600,488,40,491,22,492,33,494,10,496,0,497,0,499,0,500,0,
596,3,589,2727456,594,681158,0,599,180000,600,0,601,11,690,1555200,589,1555200,590,1555200,592,1555200,593,633600,595,633600,596,633600,598,633600,588,50,590,0,591,27,593,18,594,0,596,0,597,0,599,0,
700,3,692,2727064,698,738519,0,703,180000,703,0,704,11,791,1555200,693,1555200,694,1555200,696,1555200,697,633600,699,633600,700,633600,701,633600,692,57,694,18,695,18,697,10,698,0,700,0,701,0,702,0,
805,3,794,2727552,804,580777,0,809,180000,809,0,811,10,891,1555200,795,1555200,797,1555200,800,1555200,802,633600,804,633600,806,633600,807,633600,793,40,797,20,799,12,801,9,803,0,805,0,807,0,809,0,
900,3,893,2727508,899,720202,0,903,180000,904,0,905,13,992,1555200,894,1555200,895,1555200,896,1555200,898,633600,899,633600,901,633600,902,633600,892,66,895,22,896,0,898,10,899,10,900,0,902,0,903,0,
