device,subject,browser,Memory Usage [KB],CPU3 Load [%],CPU3 Frequency [kHz],CPU2 Frequency [kHz],CPU5 Load [%],CPU6 Load [%],CPU5 Frequency [kHz],CPU4 Load [%],CPU8 Load [%],CPU Load [%],Battery Status,CPU6 Frequency [kHz],CPU4 Frequency [kHz],GPU Frequency [KHz],duration(s),CPU2 Load [%],CPU1 Frequency [kHz],Battery Power* [uW],CPU8 Frequency [kHz],CPU7 Frequency [kHz],GPU Load [%],CPU1 Load [%],CPU7 Load [%]
nexus6p,angularjs,comandroidchrome,2781226.9404990403,18.489443378119002,1316729.3666026872,1314398.4644913627,20.418426103646834,12.017274472168905,1073652.207293666,16.942418426103647,6.452975047984645,18.14587332053743,3.0,1074831.4779270634,1317678.310940499,180479.84644913627,58,20.961612284069098,1317682.7586206896,440888.8003838772,1043138.5796545106,1074278.6948176583,1.435700575815739,42.911708253358924,9.500959692898272
nexus6p,angularjs,comandroidchrome,2761445.015151515,20.015151515151516,1338927.2727272727,1340881.8181818181,19.994328922495274,9.901701323251418,1043636.3636363636,16.827651515151516,5.486742424242424,18.236742424242426,3.0,1043042.7221172022,1340536.3636363635,181183.71212121213,57,21.829545454545453,1343109.0909090908,371481.94517958415,997782.9867674859,1040792.4385633271,1.321969696969697,43.91287878787879,9.313799621928167
nexus6p,angularjs,comandroidchrome,2776534.933333333,20.08,1330230.857142857,1333110.857142857,23.523809523809526,9.417142857142856,1050733.7142857143,17.17904761904762,5.699047619047619,18.23854961832061,3.0,1051282.2857142857,1329408.0,180000.0,59,21.382857142857144,1335780.5714285714,446956.0819047619,1055597.7142857143,1053257.142857143,1.3161904761904761,44.184761904761906,6.721904761904762
nexus6p,angularjs,comandroidchrome,2774775.053846154,19.94990366088632,1316263.583815029,1318705.2023121386,22.822736030828516,11.851637764932562,1074793.063583815,14.921001926782274,5.797687861271676,18.414258188824665,3.0,1076790.7514450867,1316624.2774566475,180000.0,59,22.414258188824665,1322704.6153846155,402912.063583815,1077160.6936416186,1076346.8208092486,1.2254335260115607,43.340384615384615,7.7244701348747595
nexus6p,angularjs,comandroidchrome,2770695.143939394,19.083491461100568,1327490.9090909092,1330436.3636363635,22.59203036053131,10.870967741935484,1047511.1954459203,15.30740037950664,5.3282732447817835,18.0853889943074,3.0,1048057.6850094877,1328197.3434535104,181185.95825426944,59,21.867424242424242,1334718.1818181819,424842.0588235294,984081.9734345351,1050680.834914611,1.113851992409867,42.78030303030303,8.499051233396585
nexus6p,angularjs,comandroidchrome,2780698.186770428,17.857976653696497,1336968.093385214,1337042.8015564203,18.19260700389105,14.955252918287938,1081849.027237354,16.91828793774319,8.363813229571985,18.463937621832358,3.0,1083529.9610894942,1333867.7042801557,181218.32358674463,59,21.30544747081712,1340666.1478599221,327460.2392996109,1040834.2412451361,1081326.0700389105,1.631578947368421,43.824902723735406,7.468871595330739
nexus6p,angularjs,comandroidchrome,2781507.5135135134,18.961389961389962,1315357.528957529,1312976.0617760618,21.546332046332047,12.53088803088803,1072197.6833976833,16.177606177606176,5.723404255319149,18.60154738878143,3.0,1071567.5675675676,1318813.8996138996,182417.79497098646,58,22.111969111969113,1317757.528957529,410727.61196911195,1027014.6718146718,1072123.5521235522,1.4700193423597678,44.102316602316606,9.191119691119692
nexus6p,angularjs,comandroidchrome,2797076.253358925,18.644913627639156,1335238.3877159308,1338278.6948176583,23.982725527831093,9.609615384615385,1068345.489443378,15.27063339731286,6.2384615384615385,18.265384615384615,3.0,1071625.3358925143,1334446.0652591172,181442.3076923077,59,21.75815738963532,1341641.4587332055,358446.792706334,1072467.6923076923,1073464.6153846155,1.5076923076923077,43.923224568138195,8.375
nexus6p,angularjs,comandroidchrome,2755842.7024952015,17.859884836852206,1312279.462571977,1313320.537428023,23.01151631477927,9.980806142034549,1053162.3800383876,16.393474088291747,6.4788461538461535,18.551923076923078,3.0,1053678.310940499,1313615.3550863725,182403.84615384616,59,21.982725527831093,1315209.2130518234,416270.9942418426,983852.3076923077,1053051.8234165066,1.3211538461538461,44.132437619961614,9.18809980806142
nexus6p,angularjs,comandroidchrome,2774408.681992337,19.080459770114942,1305443.6781609196,1304560.91954023,20.64176245210728,12.57088122605364,1056625.287356322,14.754789272030651,6.865900383141763,18.28927203065134,3.0,1055080.4597701149,1307071.264367816,180239.46360153257,58,21.810344827586206,1312689.6551724137,387467.81800766283,1026133.3333333334,1055926.4367816092,1.4980842911877394,43.93295019157088,8.040229885057471
