device,subject,browser,Memory Usage [KB],CPU3 Load [%],CPU3 Frequency [kHz],CPU2 Frequency [kHz],CPU5 Load [%],CPU6 Load [%],CPU5 Frequency [kHz],CPU4 Load [%],CPU8 Load [%],CPU Load [%],Battery Status,CPU6 Frequency [kHz],CPU4 Frequency [kHz],GPU Frequency [KHz],duration(s),CPU2 Load [%],CPU1 Frequency [kHz],Battery Power* [uW],CPU8 Frequency [kHz],CPU7 Frequency [kHz],GPU Load [%],CPU1 Load [%],CPU7 Load [%]
nexus6p,react-mobx,comandroidchrome,2720479.0623818524,19.177693761814744,1324264.6502835539,1325988.6578449905,22.43289224952741,9.500945179584122,1044821.1720226844,17.46124763705104,4.928030303030303,18.111742424242426,3.0,1046091.4933837429,1325135.7277882798,182215.9090909091,57,21.12476370510397,1328166.3516068053,447751.9924385633,1047418.1818181818,1046127.7882797732,1.808712121212121,44.68998109640832,7.7240075614366726
nexus6p,react-mobx,comandroidchrome,2773744.242424242,19.393939393939394,1320754.5454545454,1320127.2727272727,19.456439393939394,12.905303030303031,1069309.0909090908,15.636363636363637,6.551136363636363,17.992409867172675,3.0,1069090.9090909092,1323436.3636363635,184602.27272727274,59,20.56628787878788,1328427.2727272727,396164.2765151515,1070654.5454545454,1069636.3636363635,1.793560606060606,43.33522727272727,8.424242424242424
nexus6p,react-mobx,comandroidchrome,2782363.130769231,19.159922928709054,1330062.4277456647,1331468.2080924856,22.89980732177264,12.292870905587668,1083893.6416184972,16.2504816955684,5.77456647398844,18.628131021194605,3.0,1084559.5375722544,1335657.803468208,184662.81310211946,59,23.358381502890172,1335046.1538461538,190839.54527938343,1084004.6242774567,1081563.005780347,2.296724470134875,43.90384615384615,7.2755298651252405
nexus6p,react-mobx,comandroidchrome,2725086.520231214,20.815384615384616,1320573.4104046242,1322099.421965318,20.996153846153845,11.86923076923077,1085353.8461538462,15.992307692307692,6.606936416184971,18.352601156069365,3.0,1087643.076923077,1319972.3076923077,184816.9556840077,59,20.504816955684007,1325724.8554913295,387421.7365384615,1086720.0,1087458.4615384615,2.2003853564547207,43.971098265895954,8.015384615384615
nexus6p,react-mobx,comandroidchrome,2727474.3326959847,18.535372848948374,1320550.6692160612,1323395.793499044,18.992351816443595,13.380497131931167,1186214.913957935,15.219885277246654,5.969407265774379,17.91778202676864,3.0,1186141.4913957934,1319412.619502868,183193.11663479923,58,21.62715105162524,1327378.9674952198,291539.76099426387,1186068.068833652,1184526.1950286806,2.4302103250478013,43.53728489483748,7.977055449330784
nexus6p,react-mobx,comandroidchrome,2776106.3829787234,19.9284332688588,1337046.0348162476,1338067.3114119922,21.822050290135397,11.500967117988395,1069258.0270793037,15.998065764023211,6.160852713178294,18.224806201550386,3.0,1069815.087040619,1337046.0348162476,182994.18604651163,58,21.359767891682786,1337612.3791102516,442593.4216634429,1072781.3953488371,1071776.7441860465,2.195736434108527,42.95744680851064,8.075581395348838
nexus6p,react-mobx,comandroidchrome,2737375.315384615,18.153846153846153,1338461.5384615385,1338046.1538461538,20.965384615384615,13.08637236084453,1096209.2307692308,16.24230769230769,6.248076923076923,18.284615384615385,3.0,1096947.6923076923,1339384.6153846155,184086.53846153847,58,22.784615384615385,1342070.7692307692,482038.0730769231,1096578.4615384615,1096869.0978886755,1.5807692307692307,43.457692307692305,6.8961538461538465
nexus6p,react-mobx,comandroidchrome,2784081.7437858507,19.168260038240916,1353544.9330783938,1356738.8145315486,24.173996175908222,10.391969407265774,1057945.6978967495,15.826003824091778,5.78544061302682,18.097701149425287,3.0,1057615.2963671128,1351525.812619503,184070.88122605364,59,20.260038240917783,1355527.3422562142,413772.6673040153,1059457.471264368,1058096.551724138,1.475095785440613,43.34034416826004,7.697318007662835
nexus6p,react-mobx,comandroidchrome,2713420.696969697,19.418560606060606,1338272.7272727273,1339290.9090909092,22.18371212121212,9.850378787878787,1050400.0,18.054924242424242,5.505681818181818,18.52840909090909,3.0,1052000.0,1338545.4545454546,182840.9090909091,58,22.632575757575758,1341381.8181818181,371230.50946969696,1051090.9090909092,1052581.8181818181,1.5303030303030303,45.240530303030305,7.166666666666667
nexus6p,react-mobx,comandroidchrome,2775980.0077669905,18.279611650485435,1313587.572815534,1314808.5436893203,22.009727626459146,10.54669260700389,1077590.6614785993,17.30544747081712,7.527237354085603,18.266536964980546,3.0,1075648.2490272373,1316747.1844660195,182519.4552529183,59,21.038834951456312,1323672.2330097088,396258.9280155642,1075200.0,1074452.9182879378,2.369649805447471,42.94174757281554,8.132295719844358
nexus6p,react-mobx,comandroidchrome,2723723.207692308,17.948076923076922,1352104.6153846155,1351467.6923076923,21.61078998073218,11.980732177263969,1089046.1538461538,17.373076923076923,5.069364161849711,18.04238921001927,3.0,1089923.6994219653,1352713.8461538462,182408.47784200386,58,21.888461538461538,1360347.6923076923,419749.55105973023,1091810.4046242775,1092698.2658959539,2.2023121387283235,43.21153846153846,7.836223506743738
nexus6p,react-mobx,comandroidchrome,2717406.925143954,19.113243761996163,1308741.650671785,1307461.03646833,22.472168905950095,11.205374280230327,1066171.2092130517,15.690978886756238,5.687140115163148,18.18076923076923,3.0,1064328.5988483685,1312334.7408829175,183205.37428023032,58,20.900191938579656,1308419.1938579655,384378.3454894434,1063702.1113243762,1063444.1458733205,2.3032629558541267,44.97120921305182,7.522072936660269
nexus6p,react-mobx,comandroidchrome,2729304.9455909943,18.87406015037594,1323016.8855534708,1325520.4502814258,19.892857142857142,10.27579737335835,1053545.8646616542,15.330827067669173,4.891181988742964,17.844277673545967,3.0,1054339.84962406,1322589.4736842106,185731.70731707316,58,22.101313320825515,1332031.5196998124,411432.2255639098,1051389.1181988744,1052145.5909943716,1.424015009380863,43.98874296435272,8.772983114446529
nexus6p,react-mobx,comandroidchrome,2734244.6136783734,19.75046210720887,1335100.9242144178,1336449.5378927912,19.828096118299445,12.557407407407407,1085279.112754159,15.791127541589649,6.046296296296297,18.305555555555557,3.0,1080497.7777777778,1337567.4676524955,185407.40740740742,59,21.79297597042514,1336130.1293900185,491183.3086876155,1079822.2222222222,1079288.888888889,1.7537037037037038,44.7449168207024,8.912962962962963
nexus6p,react-mobx,comandroidchrome,2774446.833013436,20.310940499040306,1318507.4856046066,1318581.1900191938,22.4510556621881,10.228406909788868,1073836.4683301344,15.220729366602686,5.6596153846153845,18.175,3.0,1071662.188099808,1320018.4261036469,182730.76923076922,58,21.65067178502879,1320313.2437619963,385388.3819577735,1072836.923076923,1071581.5384615385,1.7634615384615384,44.27639155470249,7.959615384615384
nexus6p,react-mobx,comandroidchrome,2769989.8671726757,18.785578747628083,1305426.944971537,1304634.5351043644,22.20722433460076,11.70532319391635,1052422.813688213,17.634980988593156,5.241444866920152,18.336501901140686,3.0,1053079.8479087453,1305526.9961977187,182937.26235741444,58,21.916508538899432,1306674.7628083492,406487.9087452472,1051035.7414448669,1053481.3688212929,2.697718631178707,44.705882352941174,6.524714828897339
nexus6p,react-mobx,comandroidchrome,2782975.0674373796,18.643545279383428,1322339.8843930636,1325706.3583815028,21.036679536679536,12.206563706563706,1082057.142857143,17.193050193050194,6.43050193050193,18.43243243243243,3.0,1080240.9266409266,1325596.9111969112,183619.69111969112,58,21.173410404624278,1330293.6416184972,409266.3416988417,1078869.498069498,1079128.9575289576,1.554054054054054,43.579961464354525,9.727799227799228
nexus6p,react-mobx,comandroidchrome,2736300.0,18.61464354527938,1329969.9421965317,1333280.9248554914,20.664092664092664,11.982625482625483,1086430.888030888,15.882239382239382,6.357142857142857,18.092664092664094,3.0,1087987.6447876447,1335056.647398844,182982.62548262547,58,21.90173410404624,1338719.0751445086,404298.50772200775,1089766.7953667953,1086986.8725868727,1.5714285714285714,42.689788053949904,8.561776061776062
nexus6p,react-mobx,comandroidchrome,2767697.7615384613,19.296724470134876,1317623.1213872833,1316004.6242774567,22.190751445086704,12.373795761078998,1058848.5549132947,16.16955684007707,6.144508670520231,18.04238921001927,3.0,1059403.4682080925,1321045.0867052022,184441.2331406551,58,19.786127167630056,1318680.0,431645.1156069364,1059921.387283237,1058552.6011560694,1.8805394990366089,42.871153846153845,7.959537572254336
nexus6p,react-mobx,comandroidchrome,2733059.580582524,19.411650485436894,1302272.6213592233,1304043.495145631,22.778640776699028,9.798058252427184,1080307.572815534,15.737864077669903,6.05631067961165,18.134241245136188,3.0,1073373.2038834952,1302319.2233009709,181459.1439688716,58,22.85631067961165,1305264.4660194174,415541.5786407767,1074193.3980582524,1076094.7572815535,1.9552529182879377,42.56699029126214,8.299029126213592
