App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 12:06:01 PM","59 sec","Trepn_2018.10.19_120559.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
134,3,118,2705424,132,424580,0,139,180000,139,0,141,20,142,1248000,119,960000,122,960000,126,1248000,129,633600,132,633600,134,633600,136,633600,114,43,122,28,125,39,128,30,131,4,134,0,136,0,138,0,
159,3,145,2705424,156,2449778,1560674,164,180000,164,0,166,50,188,1555200,145,1555200,149,1555200,151,1555200,154,633600,156,633600,159,633600,162,633600,143,100,149,100,151,66,153,100,156,25,158,0,161,0,163,0,
200,3,190,2705488,197,1900074,1010970,204,180000,204,0,205,36,288,1555200,190,1555200,192,1555200,193,1555200,195,633600,197,633600,200,633600,202,633600,189,75,191,40,193,50,195,100,197,0,199,40,201,0,203,0,
298,3,291,2706320,296,1034117,145013,302,180000,302,0,303,15,388,1555200,291,1555200,292,1555200,294,1555200,295,633600,297,633600,298,633600,300,633600,290,40,292,25,293,12,295,55,296,10,298,0,300,0,301,0,
402,3,391,2706560,399,754299,0,406,180000,406,0,408,13,489,1555200,391,1555200,393,1555200,395,1555200,396,633600,400,633600,402,633600,404,633600,390,50,392,11,394,33,396,9,399,9,401,0,403,0,405,0,
502,3,491,2707096,500,666818,0,505,180000,506,0,507,13,589,1555200,492,1555200,494,1555200,496,1555200,498,633600,500,633600,502,633600,504,633600,490,54,494,18,496,11,498,10,500,0,501,0,503,0,505,0,
598,3,591,2707396,597,681158,0,602,180000,602,0,603,11,689,1555200,591,1555200,593,1555200,594,1555200,596,633600,597,633600,599,633600,600,633600,590,55,592,10,594,10,595,20,597,0,598,0,600,0,601,0,
699,3,691,2707892,697,717009,0,702,180000,703,0,704,8,790,1555200,692,1555200,693,1555200,695,1555200,696,633600,698,633600,699,633600,701,633600,691,55,693,36,694,9,696,0,697,0,699,0,700,0,702,0,
799,3,792,2708384,797,469248,0,802,180000,803,0,804,12,890,1555200,792,1555200,793,1555200,795,1555200,796,633600,798,633600,799,633600,801,633600,791,33,793,20,794,10,796,0,797,10,799,0,800,0,802,0,
899,3,892,2708684,898,630968,0,902,180000,903,0,904,7,991,1555200,892,1555200,894,1555200,895,1555200,897,633600,898,633600,900,633600,901,633600,891,55,893,22,895,11,896,0,898,0,899,0,901,0,902,0,
