App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 02:06:59 PM","58 sec","Trepn_2018.10.19_140658.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
121,3,107,2645056,119,566879,0,127,180000,127,0,129,21,129,1478400,108,1248000,111,1248000,114,1248000,117,633600,119,633600,121,633600,123,633600,106,45,109,33,114,45,116,25,119,8,121,0,123,0,126,0,
142,3,131,2645056,140,2635573,1675905,146,180000,146,0,148,40,187,1555200,132,1478400,134,1478400,136,1478400,138,633600,140,633600,142,633600,144,633600,131,100,133,100,135,100,137,100,139,0,141,0,144,0,145,0,
198,3,189,2645056,196,1451971,492303,202,180000,202,0,203,23,287,1555200,189,1555200,191,1555200,193,1555200,195,768000,196,768000,198,768000,200,768000,188,60,191,20,192,100,194,16,196,20,198,20,200,0,201,0,
300,3,290,2645296,298,1229698,270030,304,180000,305,12,307,21,388,1555200,290,1555200,292,1555200,294,1555200,296,633600,298,633600,300,633600,302,633600,289,33,292,44,293,66,295,22,298,0,300,0,302,0,304,0,
401,3,391,2645776,399,836580,0,405,180000,405,12,407,10,489,1555200,391,1555200,393,1555200,395,1555200,397,633600,399,633600,401,633600,403,633600,390,42,393,20,395,20,397,18,398,0,400,0,402,0,404,0,
501,3,491,2646048,499,686008,0,506,180000,507,0,509,10,590,1555200,491,1555200,493,1555200,495,1555200,497,633600,499,633600,501,633600,504,633600,490,30,493,27,495,11,496,11,498,0,501,0,503,0,505,0,
602,3,592,2646668,600,552097,0,606,180000,607,0,608,8,690,1555200,592,1555200,594,1555200,596,1555200,598,633600,600,633600,602,633600,604,633600,591,30,594,10,596,27,598,10,599,0,601,0,603,0,605,0,
704,3,693,2646668,702,523416,0,708,180000,709,0,711,9,790,1555200,693,1555200,695,1555200,698,1555200,700,633600,702,633600,704,633600,707,633600,691,62,695,11,697,0,699,0,701,0,704,0,706,0,708,0,
806,3,794,2646720,802,623798,0,810,180000,811,0,812,9,891,1555200,794,1555200,796,1555200,798,1555200,801,633600,803,633600,806,633600,808,633600,792,55,795,11,798,10,800,11,802,0,805,0,808,0,810,0,
902,3,893,2646744,900,630968,0,905,180000,905,0,907,11,991,1555200,893,1555200,895,1555200,897,1555200,898,633600,900,633600,902,633600,904,633600,892,55,895,12,896,11,898,10,900,0,901,0,904,0,905,0,
1000,3,993,2646796,999,573607,0,1003,180000,1004,0,1005,9,1092,1555200,993,1555200,995,1555200,996,1555200,998,633600,999,633600,1001,633600,1002,633600,992,50,994,30,996,0,997,0,999,0,1000,0,1002,0,1003,0,
1103,3,1094,2646796,1101,544927,0,1106,180000,1106,0,1107,10,1192,1555200,1094,1555200,1096,1555200,1098,1555200,1099,633600,1101,633600,1103,633600,1104,633600,1093,55,1096,10,1097,0,1099,11,1101,0,1102,0,1104,0,1105,0,
1202,3,1194,2647292,1200,817390,0,1205,180000,1205,0,1207,12,1292,1555200,1195,1555200,1196,1555200,1198,1555200,1199,633600,1201,633600,1202,633600,1203,633600,1194,54,1196,30,1197,20,1199,10,1200,0,1202,0,1203,0,1205,0,
1303,3,1295,2647740,1302,695499,0,1307,180000,1308,0,1309,13,1393,1555200,1295,1555200,1297,1555200,1298,1555200,1300,633600,1302,633600,1304,633600,1305,633600,1294,55,1297,10,1298,22,1300,10,1301,0,1303,0,1305,0,1307,0,
1404,3,1395,2647544,1402,659648,0,1407,180000,1408,0,1409,10,1493,1555200,1395,1555200,1397,1555200,1399,1555200,1400,633600,1402,633600,1404,633600,1405,633600,1394,54,1397,20,1398,18,1400,0,1402,0,1403,0,1405,0,1407,0,
1504,3,1496,2647348,1502,623798,0,1508,180000,1508,0,1510,12,1594,1555200,1496,1555200,1498,1555200,1499,1555200,1501,633600,1503,633600,1504,633600,1506,633600,1495,37,1497,20,1499,20,1501,10,1502,0,1504,0,1506,0,1508,0,
1604,3,1595,2647580,1602,397547,0,1606,180000,1606,0,1607,5,1695,672000,1596,1555200,1598,1555200,1600,1555200,1601,633600,1602,633600,1604,633600,1605,633600,1595,33,1597,11,1600,0,1601,9,1602,10,1603,0,1605,0,1606,0,
1722,3,1700,2647680,1717,134548,0,1727,180000,1728,0,1730,10,1795,1555200,1702,672000,1708,864000,1711,864000,1714,633600,1718,633600,1722,633600,1725,633600,1698,22,1707,9,1710,18,1713,9,1717,0,1722,0,1725,0,1727,0,
1804,3,1797,2647980,1802,638138,0,1807,180000,1807,0,1808,10,1895,1555200,1797,1555200,1798,1555200,1800,1555200,1801,633600,1803,633600,1804,633600,1806,633600,1796,66,1798,12,1800,11,1801,0,1802,0,1804,0,1805,0,1807,0,
1904,3,1897,2648228,1903,458886,0,1907,180000,1908,0,1909,6,1996,1555200,1898,1555200,1899,1555200,1900,1555200,1902,633600,1903,633600,1905,633600,1906,633600,1896,33,1899,20,1900,11,1902,0,1903,0,1904,0,1906,0,1907,0,
2007,3,1998,2648032,2005,408695,0,2010,180000,2011,0,2012,7,2096,1555200,1999,1555200,2000,1555200,2002,1555200,2003,633600,2005,633600,2007,633600,2009,633600,1997,20,2000,20,2001,8,2003,9,2005,0,2006,0,2009,0,2010,0,
2104,3,2098,2648136,2103,451715,0,2107,180000,2107,0,2108,6,2197,1555200,2098,1555200,2099,1555200,2101,1555200,2102,633600,2103,633600,2104,633600,2106,633600,2097,25,2099,27,2100,11,2101,0,2103,0,2104,0,2105,0,2107,0,
2208,3,2199,2648384,2206,279633,0,2211,180000,2212,0,2213,5,2297,1555200,2200,1555200,2201,1555200,2203,1555200,2205,633600,2207,633600,2208,633600,2210,633600,2198,10,2201,20,2203,0,2204,9,2206,0,2208,0,2209,0,2211,0,
2306,3,2299,2648188,2304,616628,0,2309,180000,2309,0,2310,13,2398,1555200,2299,1555200,2300,1555200,2302,1555200,2303,633600,2305,633600,2306,633600,2307,633600,2298,44,2300,12,2301,30,2303,0,2304,0,2306,0,2307,0,2309,0,
2407,3,2400,2648044,2406,552097,0,2410,180000,2411,0,2412,7,2498,1555200,2400,1555200,2402,1555200,2403,1555200,2405,633600,2406,633600,2408,633600,2409,633600,2399,33,2402,18,2403,10,2405,16,2406,0,2407,0,2409,0,2410,0,
2511,3,2501,2648416,2509,408695,0,2517,180000,2517,0,2519,10,2598,1555200,2501,1555200,2504,1555200,2505,1555200,2507,633600,2510,633600,2512,633600,2514,633600,2499,27,2503,10,2505,11,2507,9,2509,0,2511,0,2513,0,2516,0,
2609,3,2601,2646720,2607,790873,0,2612,180000,2613,0,2614,12,2699,1555200,2601,1555200,2603,1555200,2604,1555200,2606,1248000,2608,1248000,2609,1248000,2611,1248000,2600,55,2602,20,2604,20,2606,0,2607,22,2609,10,2611,0,2612,0,
2721,3,2703,2646720,2718,530266,0,2724,180000,2725,0,2726,13,2799,1555200,2704,1555200,2708,1555200,2711,1555200,2715,633600,2719,633600,2721,633600,2723,633600,2702,20,2707,0,2711,0,2714,47,2717,0,2720,0,2722,0,2724,0,
2813,3,2802,2646524,2811,872527,0,2818,180000,2818,0,2819,15,2900,1555200,2803,1555200,2805,1555200,2807,1555200,2809,633600,2812,633600,2813,633600,2816,633600,2801,70,2804,22,2806,27,2809,0,2810,11,2813,0,2815,0,2817,0,
2909,3,2902,2646440,2907,546366,0,2912,180000,2912,0,2913,8,3000,1555200,2902,1555200,2904,1555200,2905,1555200,2906,633600,2908,633600,2909,633600,2910,633600,2901,45,2903,0,2905,11,2906,18,2907,9,2909,0,2910,0,2911,0,
3009,3,3002,2646440,3008,207932,0,3012,180000,3012,0,3014,4,3101,1555200,3002,1555200,3004,1555200,3005,1555200,3006,633600,3008,633600,3009,633600,3011,633600,3001,20,3003,0,3005,9,3006,0,3008,0,3009,0,3010,0,3012,0,
3110,3,3103,2646688,3108,501906,0,3112,180000,3113,0,3114,7,3201,1555200,3103,1555200,3104,1555200,3106,1555200,3107,633600,3109,633600,3110,633600,3111,633600,3102,60,3104,10,3105,0,3107,0,3108,0,3110,0,3111,0,3112,0,
3212,3,3203,2646688,3210,215102,0,3215,180000,3216,0,3217,5,3302,1555200,3204,1555200,3205,1555200,3207,1555200,3209,633600,3210,633600,3212,633600,3214,633600,3202,11,3205,10,3207,0,3208,9,3210,0,3212,0,3213,0,3215,0,
3316,3,3305,2647020,3314,652478,0,3320,180000,3321,0,3322,12,3402,1555200,3305,1555200,3307,1555200,3310,1555200,3312,633600,3314,633600,3316,633600,3318,633600,3304,44,3307,10,3309,10,3311,27,3313,0,3315,0,3318,0,3320,0,
3413,3,3404,2647072,3411,466056,0,3417,180000,3417,0,3418,6,3502,1555200,3405,1555200,3406,1555200,3408,1555200,3410,633600,3411,633600,3413,633600,3415,633600,3403,54,3406,0,3408,11,3409,0,3411,0,3413,0,3415,0,3416,0,
3519,3,3507,2647196,3517,225465,0,3522,180000,3523,0,3524,6,3603,1555200,3507,1555200,3510,1555200,3511,1555200,3514,633600,3517,633600,3519,633600,3521,633600,3505,10,3509,9,3511,10,3514,0,3517,10,3519,0,3520,0,3522,0,
3614,3,3605,2647276,3612,720202,0,3617,180000,3618,0,3619,14,3703,1555200,3606,1555200,3607,1555200,3609,1555200,3611,633600,3613,633600,3614,633600,3616,633600,3605,60,3607,20,3609,18,3610,0,3612,10,3614,0,3615,0,3617,0,
3712,3,3705,2647080,3711,458886,0,3715,180000,3715,0,3717,6,3804,1555200,3705,1555200,3707,1555200,3708,1555200,3710,633600,3711,633600,3712,633600,3714,633600,3704,36,3707,0,3708,18,3709,10,3711,0,3712,0,3713,0,3715,0,
3813,3,3805,2647328,3811,229443,0,3816,180000,3816,0,3817,3,3904,1555200,3806,1555200,3807,1555200,3809,1555200,3810,633600,3811,633600,3813,633600,3814,633600,3805,22,3807,0,3808,10,3810,0,3811,0,3812,0,3814,0,3815,0,
3913,3,3906,2647576,3912,587947,0,3916,180000,3917,0,3918,10,4005,1555200,3907,1555200,3908,1555200,3909,1555200,3911,633600,3912,633600,3914,633600,3915,633600,3905,50,3908,10,3909,12,3910,10,3912,0,3913,0,3915,0,3916,0,
4015,3,4007,2647576,4014,250953,0,4019,180000,4019,0,4021,5,4105,1555200,4007,1555200,4009,1555200,4011,1555200,4012,633600,4014,633600,4015,633600,4017,633600,4006,10,4009,0,4010,25,4012,0,4013,0,4015,0,4017,0,4018,0,
4116,3,4107,2647876,4114,745689,0,4119,180000,4120,0,4121,12,4205,1555200,4108,1555200,4109,1555200,4111,1555200,4113,633600,4115,633600,4116,633600,4118,633600,4106,44,4109,20,4111,22,4112,18,4114,0,4116,0,4117,0,4119,0,
4215,3,4207,2655716,4213,587947,0,4218,180000,4218,0,4219,8,4306,1555200,4208,1555200,4209,1555200,4211,1555200,4212,633600,4213,633600,4215,633600,4216,633600,4207,33,4209,9,4210,40,4212,0,4213,0,4214,0,4216,0,4217,0,
4320,3,4309,2655768,4318,286803,0,4327,180000,4327,0,4329,6,4406,1555200,4310,1555200,4312,1555200,4314,1555200,4316,633600,4318,633600,4321,633600,4323,633600,4308,20,4311,0,4313,20,4315,0,4318,0,4320,0,4322,0,4326,0,
4415,3,4408,2655768,4413,681158,0,4417,180000,4418,0,4419,9,4508,384000,4408,1555200,4410,1555200,4411,1555200,4412,633600,4414,633600,4415,633600,4416,633600,4407,55,4409,10,4411,20,4412,10,4413,0,4415,0,4416,0,4417,0,
4536,3,4516,2655884,4533,37467,0,4543,180000,4544,0,4546,7,4608,960000,4518,384000,4523,600000,4527,600000,4530,633600,4534,633600,4537,633600,4540,633600,4513,30,4522,0,4526,7,4530,0,4533,0,4536,0,4539,0,4542,0,
4623,3,4611,2655836,4621,334886,0,4628,180000,4629,0,4630,15,4709,1555200,4612,960000,4614,960000,4617,960000,4619,633600,4621,633600,4624,633600,4626,633600,4610,55,4614,11,4616,25,4618,11,4621,0,4623,0,4625,0,4628,0,
4721,3,4711,2656080,4719,810220,0,4724,180000,4724,0,4725,12,4809,1555200,4712,1555200,4713,1555200,4715,1555200,4717,633600,4719,633600,4721,633600,4722,633600,4710,50,4713,20,4715,33,4717,10,4718,0,4721,0,4722,0,4724,0,
4818,3,4811,2656080,4817,537757,0,4821,180000,4822,0,4823,6,4910,1555200,4811,1555200,4813,1555200,4814,1555200,4815,633600,4817,633600,4818,633600,4820,633600,4811,33,4812,22,4814,10,4815,10,4816,0,4818,0,4819,0,4821,0,
4922,3,4912,2651232,4921,336994,0,4927,180000,4928,0,4929,8,5011,1555200,4913,1555200,4915,1555200,4917,1555200,4919,633600,4921,633600,4923,633600,4925,633600,4911,27,4914,20,4916,0,4918,0,4920,0,4922,0,4925,0,4927,0,
5020,3,5013,2652396,5019,799073,0,5023,180000,5024,0,5025,11,5111,1555200,5013,1555200,5015,1555200,5016,1555200,5018,633600,5019,633600,5021,633600,5022,633600,5012,42,5014,36,5016,11,5017,20,5019,10,5020,0,5022,0,5023,0,
5128,3,5116,2653968,5125,1022971,63303,5130,180000,5130,0,5130,20,5211,1555200,5117,1555200,5119,1555200,5122,1555200,5124,1824000,5126,1824000,5128,1958400,5129,1958400,5114,22,5119,20,5121,0,5123,9,5125,70,5127,0,5129,0,5129,0,
5220,3,5213,2653224,5219,1785005,825337,5224,180000,5224,0,5225,28,5312,1555200,5213,1555200,5215,1555200,5216,1555200,5217,1958400,5219,1958400,5221,1958400,5222,1958400,5212,54,5214,25,5216,22,5217,0,5219,100,5220,11,5222,10,5223,0,
5323,3,5314,2654020,5321,1871547,911879,5326,180000,5327,0,5327,19,5413,1555200,5315,1555200,5316,1555200,5318,1555200,5320,1958400,5321,1958400,5323,1958400,5325,1958400,5314,44,5316,27,5318,0,5319,11,5321,100,5323,0,5324,0,5326,0,
5427,3,5415,2656560,5425,1397820,438152,5428,180000,5428,0,5429,18,5513,1555200,5416,1555200,5419,1555200,5421,1555200,5423,1958400,5425,1958400,5427,1958400,5428,1958400,5414,18,5418,20,5421,9,5422,0,5425,100,5426,0,5427,0,5428,0,
5526,3,5516,2617492,5524,2072655,1112987,5530,180000,5531,0,5532,48,5614,1555200,5516,1555200,5518,1555200,5520,1555200,5522,633600,5524,633600,5527,768000,5528,768000,5515,100,5518,63,5520,55,5522,63,5524,33,5526,20,5528,18,5530,18,
5626,3,5616,2615388,5624,2649296,1689628,5630,180000,5630,0,5632,47,5715,1555200,5617,1555200,5618,1555200,5621,1555200,5622,960000,5624,960000,5626,960000,5628,960000,5615,90,5618,90,5620,75,5622,75,5624,50,5626,12,5628,0,5629,0,
5734,3,5721,2616456,5732,2053847,1094179,5738,180000,5738,0,5738,29,5815,1555200,5721,1555200,5724,1555200,5727,1555200,5730,1958400,5732,1958400,5734,1958400,5737,1958400,5718,62,5724,33,5727,27,5729,11,5731,100,5734,0,5736,0,5737,0,
5820,3,5816,2617672,5820,2172190,1212522,5822,180000,5822,0,5822,32,5915,1555200,5817,1555200,5818,1555200,5819,1555200,5819,1958400,5820,1958400,5820,1958400,5821,1958400,5816,81,5818,22,5818,22,5819,30,5820,100,5820,0,5821,0,5821,0,
5920,3,5917,2620876,5919,2136340,1176672,5921,180000,5921,0,5922,41,6016,1555200,5917,1555200,5917,1555200,5918,1555200,5919,1958400,5919,1958400,5920,1958400,5921,1958400,5916,81,5917,33,5918,25,5919,11,5919,100,5920,63,5920,18,5921,0,
6022,3,6017,2623848,6021,2008453,1048785,6023,180000,6024,0,6024,28,6116,1555200,6017,1555200,6018,1555200,6019,1555200,6020,1958400,6021,1958400,6022,1958400,6023,1958400,6017,77,6018,12,6019,33,6020,22,6021,11,6022,40,6022,40,6023,0,
6122,3,6117,2627376,6121,2946473,1986805,6123,180000,6123,0,6124,45,6216,1555200,6118,1555200,6118,1555200,6119,1555200,6120,1958400,6121,1958400,6122,1958400,6122,1958400,6117,77,6118,55,6119,50,6120,44,6121,45,6122,20,6122,10,6123,54,
6221,3,6218,2628620,6220,3519406,2559738,6222,180000,6222,0,6223,49,6318,1555200,6218,1555200,6219,1555200,6219,1555200,6220,1958400,6220,1958400,6221,1958400,6222,1958400,6217,83,6218,50,6219,72,6220,58,6220,70,6221,11,6221,20,6222,0,
6330,3,6320,2629916,6328,2296225,1336557,6335,180000,6335,0,6336,33,6419,1555200,6321,1555200,6323,1555200,6324,1555200,6326,1958400,6328,1958400,6331,1958400,6333,1958400,6319,80,6322,66,6324,44,6326,40,6328,30,6330,9,6332,0,6335,0,
6433,3,6421,2630656,6431,1780132,820464,6438,180000,6439,0,6440,28,6519,1555200,6422,1555200,6425,1555200,6427,1555200,6429,633600,6431,633600,6433,633600,6436,633600,6420,63,6424,100,6426,40,6428,30,6430,8,6433,0,6434,0,6438,0,
6530,3,6521,2630828,6529,1742332,782664,6534,180000,6534,0,6535,30,6619,1555200,6521,1555200,6523,1555200,6525,1555200,6527,633600,6529,633600,6531,633600,6532,633600,6520,63,6523,81,6524,33,6527,66,6528,0,6530,0,6532,0,6533,0,
6630,3,6621,2630920,6628,1175895,216227,6633,180000,6634,0,6635,19,6720,1555200,6622,1555200,6623,1555200,6625,1555200,6627,633600,6628,633600,6630,633600,6632,633600,6621,44,6623,20,6625,0,6626,100,6628,0,6630,0,6631,0,6633,0,
6735,3,6723,2630920,6733,932112,0,6740,180000,6741,0,6742,18,6821,1555200,6724,1555200,6726,1555200,6728,1555200,6731,633600,6733,633600,6736,633600,6738,633600,6722,20,6726,0,6728,10,6730,100,6732,0,6735,0,6738,0,6740,0,
