App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 03:09:55 PM","58 sec","Trepn_2018.10.19_150954.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
123,3,109,2752956,120,482634,0,127,180000,131,0,132,22,133,1555200,110,1248000,112,1248000,114,1248000,117,633600,121,633600,123,633600,125,633600,108,47,111,33,114,25,116,26,120,13,122,9,125,4,127,0,
143,3,135,2752956,142,3123995,2116218,146,180000,147,0,148,54,189,1555200,136,1555200,137,1555200,139,1555200,140,768000,142,768000,144,768000,145,768000,135,100,137,100,138,100,140,100,141,100,143,50,145,100,146,0,
201,3,191,2753724,199,1969847,962070,205,180000,205,0,207,31,289,1555200,192,1555200,193,1555200,195,1555200,197,1248000,199,1248000,201,633600,203,633600,190,50,193,100,195,33,197,20,199,33,200,0,203,0,205,0,
299,3,291,2754512,297,1064366,56589,302,180000,302,0,303,15,389,1555200,291,1555200,293,1555200,294,1555200,296,633600,297,633600,299,633600,300,633600,290,44,293,60,294,20,296,22,297,10,298,0,300,0,302,0,
402,3,392,2755240,400,623798,0,405,180000,405,0,406,12,490,1555200,392,1555200,394,1555200,396,1555200,398,633600,400,633600,402,633600,404,633600,391,50,394,0,396,10,398,27,399,0,401,0,403,0,405,0,
502,3,492,2755948,500,702669,0,506,180000,507,0,508,13,590,1555200,493,1555200,495,1555200,497,1555200,498,633600,500,633600,503,633600,505,633600,491,58,494,18,496,11,498,11,500,0,502,0,504,0,506,0,
603,3,593,2756084,601,717009,0,607,180000,608,0,610,10,690,1555200,593,1555200,595,1555200,597,1555200,599,633600,602,633600,604,633600,605,633600,592,60,595,20,597,20,599,0,601,0,603,0,605,0,607,0,
701,3,693,2756332,699,695499,0,704,180000,705,0,706,8,791,1555200,693,1555200,695,1555200,696,1555200,698,633600,699,633600,701,633600,703,633600,692,57,694,20,696,20,697,0,699,0,701,0,702,0,704,0,
801,3,793,2756632,800,530586,0,805,180000,805,0,807,12,891,1555200,793,1555200,795,1555200,796,1555200,798,633600,800,633600,802,633600,803,633600,792,44,795,10,796,11,798,9,799,0,801,0,803,0,804,0,
901,3,893,2757232,899,638138,0,904,180000,905,0,906,7,992,1555200,893,1555200,895,1555200,896,1555200,898,633600,899,633600,901,633600,903,633600,892,44,895,20,896,0,897,25,899,0,901,0,902,0,904,0,
1004,3,995,2757532,1002,351334,0,1008,180000,1009,0,1010,6,1092,1555200,995,1555200,997,1555200,999,1555200,1000,633600,1002,633600,1004,633600,1006,633600,993,9,997,10,998,10,1000,20,1002,0,1004,0,1006,0,1008,0,
1105,3,1095,2758080,1103,487566,0,1108,180000,1109,0,1110,11,1192,1555200,1095,1555200,1097,1555200,1099,1555200,1101,633600,1103,633600,1105,633600,1107,633600,1094,37,1097,0,1099,11,1101,20,1103,0,1105,0,1106,0,1108,0,
1202,3,1195,2758184,1200,580777,0,1205,180000,1205,0,1206,6,1293,600000,1195,1555200,1196,1555200,1198,1555200,1199,633600,1200,633600,1202,633600,1203,633600,1194,40,1196,10,1197,11,1199,20,1200,0,1201,0,1203,0,1204,0,
1315,3,1298,2758432,1312,103680,0,1321,180000,1322,0,1324,9,1394,1555200,1299,600000,1302,600000,1306,600000,1309,633600,1313,633600,1316,633600,1319,633600,1296,18,1301,10,1305,16,1308,20,1312,0,1315,0,1318,0,1321,0,
1404,3,1396,2759016,1402,767200,0,1407,180000,1408,0,1409,10,1494,1555200,1396,1555200,1398,1555200,1399,1555200,1401,633600,1402,633600,1404,633600,1406,633600,1395,50,1397,12,1399,12,1400,33,1402,0,1403,0,1405,0,1407,0,
1503,3,1496,2759372,1501,380014,0,1506,180000,1507,0,1508,6,1594,1555200,1496,1555200,1498,1555200,1499,1555200,1500,633600,1502,633600,1503,633600,1505,633600,1495,25,1497,18,1499,0,1500,10,1501,0,1503,0,1504,0,1506,0,
1613,3,1597,2759608,1611,458886,0,1617,180000,1617,0,1619,11,1695,1555200,1598,1555200,1601,1555200,1605,1555200,1608,633600,1611,633600,1613,633600,1615,633600,1596,20,1600,11,1603,0,1608,33,1610,0,1613,0,1615,0,1616,0,
1711,3,1698,2757976,1709,913794,0,1715,180000,1716,0,1717,19,1795,1555200,1699,1555200,1701,1555200,1704,1555200,1706,633600,1709,633600,1712,633600,1714,633600,1697,50,1701,20,1703,33,1706,22,1708,10,1711,22,1713,0,1715,0,
