App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 06:06:19 PM","59 sec","Trepn_2018.10.19_180618.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
114,3,95,2643220,112,1246811,512019,118,180000,119,0,120,26,120,1555200,96,1555200,106,1555200,108,1555200,110,633600,113,768000,114,768000,116,768000,94,70,105,52,108,16,110,31,112,20,114,0,116,5,118,0,
129,3,122,2644688,128,3208015,2473223,132,180000,132,0,133,81,187,1555200,123,1555200,124,1555200,125,1555200,127,960000,128,960000,129,960000,131,960000,121,100,124,100,125,100,126,100,128,100,129,100,130,100,132,0,
202,3,191,2646444,199,2573452,1838660,204,180000,204,12,204,45,288,1555200,191,1555200,193,1555200,195,1555200,197,1824000,200,1824000,202,1958400,203,1958400,190,71,193,100,194,28,196,50,199,14,202,100,203,14,204,0,
302,3,290,2651268,299,3459786,2724994,303,180000,304,12,304,45,389,1555200,290,1555200,293,1555200,295,1555200,297,1958400,299,1958400,302,1958400,303,1958400,289,80,292,77,294,44,296,54,299,40,301,54,302,20,303,0,
404,3,392,2656636,403,3270626,2535834,405,180000,405,0,406,53,489,1555200,394,1555200,397,1555200,400,1555200,402,1958400,403,1958400,404,1958400,404,1958400,391,72,396,66,400,100,402,55,403,25,404,62,404,20,405,10,
494,3,490,2657676,493,2569690,1834898,498,180000,498,0,499,35,590,1555200,490,1555200,491,1555200,492,1555200,492,1958400,493,1958400,494,1958400,496,1958400,490,75,491,44,492,50,492,37,493,11,494,70,496,33,497,0,
594,3,591,2658368,593,2074953,1340161,595,180000,595,0,596,15,690,1555200,591,1555200,592,1555200,592,1555200,593,1958400,594,1958400,594,1958400,595,1958400,590,55,592,30,592,22,593,30,593,0,594,0,595,0,595,0,
701,3,693,2658932,699,833170,98378,705,180000,705,0,706,15,790,1555200,693,1555200,695,1555200,697,1555200,698,633600,700,633600,701,633600,703,633600,692,44,694,40,696,20,698,10,699,9,701,0,703,0,704,0,
800,3,792,2659228,798,530586,0,803,180000,804,0,805,11,890,1555200,793,1555200,794,1555200,795,1555200,797,633600,798,633600,800,633600,801,633600,791,44,794,20,795,10,797,0,798,0,800,0,801,0,803,0,
900,3,892,2659528,898,659648,0,903,180000,904,0,905,10,991,1555200,893,1555200,894,1555200,896,1555200,897,633600,898,633600,900,633600,901,633600,892,50,894,10,895,22,897,10,898,0,900,0,901,0,903,0,
