App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 06:41:18 PM","59 sec","Trepn_2018.10.19_184117.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
20,3,12,2736008,19,3168953,1468922,24,180000,24,0,25,33,88,1555200,13,1555200,15,1555200,16,1555200,18,1958400,19,1958400,21,1958400,22,1958400,12,80,14,41,16,41,17,61,19,28,20,46,22,0,23,0,
105,3,92,2736240,104,1031144,0,107,180000,107,0,108,10,188,1555200,92,1555200,95,1555200,98,1555200,100,1958400,104,1958400,106,1958400,106,1958400,91,30,94,14,97,0,100,14,103,12,105,0,106,0,107,0,
192,3,189,2737164,191,910601,0,193,180000,194,0,194,14,288,1555200,189,1555200,190,1555200,190,1555200,191,1958400,192,1958400,192,1958400,193,1958400,189,70,190,27,190,30,191,0,191,0,192,0,193,0,193,0,
300,3,291,2737516,299,380014,0,304,180000,305,0,306,10,389,1555200,292,1555200,293,1555200,295,1555200,297,633600,299,633600,301,633600,303,633600,290,33,293,0,294,11,297,9,298,0,300,0,303,0,304,0,
401,3,391,2737764,399,810220,0,405,180000,405,0,407,12,489,1555200,392,1555200,393,1555200,395,1555200,397,633600,399,633600,401,633600,403,633600,390,66,393,27,395,10,397,10,398,0,400,0,402,0,404,0,
498,3,491,2738560,497,673988,0,501,180000,502,0,503,9,590,1555200,491,1555200,493,1555200,494,1555200,496,633600,497,633600,499,633600,500,633600,490,55,493,11,494,18,495,10,497,0,498,0,500,0,501,0,
599,3,592,2738732,597,516246,0,602,180000,602,0,604,8,690,1555200,592,1555200,593,1555200,595,1555200,596,633600,598,633600,599,633600,601,633600,591,50,593,0,594,12,596,10,597,0,599,0,600,0,602,0,
698,3,692,2739228,697,630968,0,701,180000,701,0,703,11,791,384000,692,1555200,693,1555200,695,1555200,696,633600,697,633600,699,633600,700,633600,691,50,693,18,694,10,696,10,697,0,698,0,700,0,701,0,
814,3,797,2739476,811,88646,0,818,180000,819,0,820,6,891,1555200,798,384000,804,384000,807,960000,809,633600,812,633600,814,633600,816,633600,795,0,803,0,807,0,809,27,811,0,813,0,816,0,818,0,
904,3,894,2739884,902,960792,0,908,180000,909,0,910,17,992,1555200,894,1555200,896,1555200,898,1555200,900,633600,902,633600,904,633600,906,633600,893,60,896,27,898,36,900,11,902,0,903,0,905,0,907,0,
1001,3,994,2740436,1000,634161,0,1004,180000,1004,0,1005,9,1092,1555200,994,1555200,996,1555200,997,1555200,998,633600,1000,633600,1001,633600,1003,633600,993,44,995,14,997,18,998,10,999,10,1001,0,1002,0,1004,0,
1102,3,1095,2740684,1101,193592,0,1106,180000,1106,0,1107,6,1193,1555200,1096,1555200,1097,1555200,1099,1555200,1100,633600,1101,633600,1103,633600,1104,633600,1094,0,1097,18,1098,0,1100,9,1101,0,1102,0,1104,0,1105,0,
1205,3,1195,2739416,1203,948615,0,1209,180000,1210,0,1211,16,1293,1555200,1195,1555200,1197,1555200,1199,1555200,1201,1248000,1203,1248000,1205,1248000,1207,1248000,1194,50,1197,20,1199,25,1201,22,1203,22,1205,0,1207,0,1209,0,
1310,3,1296,2739716,1307,688329,0,1316,180000,1317,0,1318,12,1394,1555200,1297,1555200,1300,1555200,1302,1555200,1305,633600,1308,633600,1310,633600,1313,633600,1295,53,1299,0,1302,33,1304,10,1307,0,1310,0,1312,0,1315,0,
1409,3,1397,2739768,1407,494736,0,1415,180000,1415,0,1417,8,1494,1555200,1398,1555200,1401,1555200,1403,1555200,1405,633600,1408,633600,1410,633600,1412,633600,1396,20,1400,9,1402,20,1405,20,1407,0,1409,0,1412,0,1414,0,
1511,3,1496,2740060,1507,853241,0,1515,180000,1516,0,1517,16,1594,1555200,1497,1555200,1499,1555200,1501,1555200,1504,633600,1508,633600,1511,633600,1513,633600,1496,66,1498,11,1501,12,1503,30,1506,0,1510,0,1512,0,1515,0,
1604,3,1596,2740308,1602,874751,0,1608,180000,1608,0,1610,13,1695,768000,1596,1555200,1598,1555200,1599,1555200,1601,633600,1603,633600,1605,633600,1607,633600,1595,60,1597,22,1599,20,1600,20,1602,0,1604,0,1606,0,1608,0,
1720,3,1700,2740112,1716,306252,0,1727,180000,1728,0,1730,18,1795,1555200,1700,768000,1706,768000,1711,960000,1714,633600,1717,633600,1720,633600,1723,633600,1698,40,1705,36,1710,30,1713,18,1716,0,1719,0,1723,0,1726,0,
1805,3,1797,2740348,1803,917772,0,1808,180000,1808,0,1809,13,1896,1555200,1797,1555200,1799,1555200,1801,1555200,1802,633600,1804,633600,1805,633600,1806,633600,1796,66,1799,25,1800,25,1802,12,1803,0,1805,0,1806,0,1808,0,
1905,3,1898,2740668,1904,408695,0,1908,180000,1909,0,1910,3,1996,1555200,1898,1555200,1900,1555200,1901,1555200,1903,633600,1904,633600,1906,633600,1907,633600,1897,37,1899,0,1901,20,1902,0,1904,0,1905,0,1907,0,1908,0,
2008,3,1999,2740524,2006,207932,0,2011,180000,2012,0,2013,6,2097,1555200,1999,1555200,2001,1555200,2003,1555200,2004,633600,2006,633600,2008,633600,2009,633600,1998,0,2000,9,2002,20,2004,0,2006,0,2007,0,2009,0,2011,0,
2109,3,2099,2740328,2106,738519,0,2112,180000,2112,0,2113,10,2197,1555200,2099,1555200,2101,1555200,2103,1555200,2105,633600,2107,633600,2109,633600,2111,633600,2098,50,2101,22,2103,20,2104,11,2106,0,2109,0,2110,0,2112,0,
2206,3,2199,2740380,2204,358504,0,2209,180000,2210,0,2211,5,2298,960000,2199,1555200,2200,1555200,2202,1555200,2203,633600,2204,633600,2206,633600,2208,633600,2198,22,2200,18,2201,0,2203,10,2204,0,2205,0,2207,0,2209,0,
