App,Package,Start Time,Duration,Filename
"System",,"Oct 19, 2018 @ 08:34:21 PM","57 sec","Trepn_2018.10.19_203420.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
64,3,50,2717260,61,578395,0,70,180000,70,0,72,19,90,1555200,51,960000,54,960000,57,1248000,59,960000,62,960000,64,960000,67,633600,48,42,53,31,56,23,59,50,61,6,63,0,66,0,69,0,
130,3,120,2717736,127,2192445,1420512,134,180000,135,0,136,36,190,1555200,120,1555200,122,1555200,124,1555200,126,1248000,128,1248000,130,1248000,132,1248000,119,57,121,100,123,57,125,57,127,50,130,0,132,0,133,0,
204,3,193,2717980,201,1161555,389622,208,180000,208,0,210,19,291,1555200,194,1555200,196,1555200,197,1555200,200,633600,202,633600,204,633600,206,633600,192,20,195,100,197,14,199,28,201,0,204,0,205,0,207,0,
303,3,294,2718744,301,573607,0,307,180000,308,0,309,10,391,1555200,294,1555200,296,1555200,298,1555200,300,633600,302,633600,304,633600,305,633600,292,50,296,20,297,0,300,10,301,0,303,0,305,0,307,0,
403,3,393,2718992,402,695499,0,408,180000,408,0,410,11,492,1555200,394,1555200,396,1555200,398,1555200,400,633600,402,633600,404,633600,406,633600,392,50,395,20,397,27,399,0,402,0,403,0,405,0,408,0,
504,3,494,2719792,502,595117,0,508,180000,508,0,509,9,592,1555200,494,1555200,496,1555200,498,1555200,500,633600,502,633600,504,633600,506,633600,493,62,496,10,498,11,500,0,502,0,504,0,506,0,507,0,
601,3,594,2720092,600,662841,0,605,180000,605,0,606,10,693,1555200,594,1555200,596,1555200,597,1555200,598,633600,600,633600,601,633600,603,633600,593,50,595,20,597,20,598,0,600,10,601,0,603,0,604,0,
707,3,696,2720636,705,573607,0,710,180000,711,0,712,9,793,1555200,696,1555200,698,1555200,701,1555200,703,633600,705,633600,707,633600,709,633600,694,50,698,11,700,10,703,9,705,0,707,0,708,0,710,0,
808,3,796,2720936,805,509076,0,812,180000,813,0,814,10,894,1555200,796,1555200,798,1555200,801,1555200,803,633600,806,633600,808,633600,810,633600,795,50,798,10,800,11,803,0,805,0,807,0,809,0,812,0,
903,3,896,2721132,902,781540,9607,906,180000,907,0,908,11,994,1555200,896,1555200,897,1555200,899,1555200,900,633600,902,633600,903,633600,905,633600,895,77,897,10,899,11,900,11,901,0,903,0,904,0,906,0,
1003,3,996,2721628,1001,530586,0,1006,180000,1006,0,1007,9,1095,1555200,996,1555200,998,1555200,999,1555200,1000,633600,1001,633600,1003,633600,1004,633600,995,36,997,20,999,18,1000,0,1001,0,1002,0,1004,0,1005,0,
1108,3,1098,2721876,1106,215102,0,1111,180000,1111,0,1112,6,1195,1555200,1099,1555200,1101,1555200,1103,1555200,1105,633600,1107,633600,1108,633600,1110,633600,1096,20,1100,0,1102,10,1105,0,1106,0,1108,0,1109,0,1111,0,
1205,3,1197,2722744,1204,781540,9607,1209,180000,1209,0,1210,13,1295,1555200,1198,1555200,1199,1555200,1200,1555200,1202,633600,1204,633600,1206,633600,1207,633600,1196,55,1199,12,1200,12,1202,30,1204,0,1205,0,1207,0,1208,0,
1307,3,1298,2721152,1305,636555,0,1310,180000,1311,0,1312,11,1396,1555200,1298,1555200,1301,1555200,1302,1555200,1304,1248000,1306,1248000,1307,1248000,1309,1248000,1297,30,1300,0,1302,10,1304,30,1305,27,1307,0,1309,0,1310,0,
1413,3,1400,2721400,1411,602287,0,1417,180000,1418,0,1419,11,1496,1555200,1400,1555200,1403,1555200,1406,1555200,1409,633600,1411,633600,1413,633600,1416,633600,1398,30,1402,16,1405,18,1408,20,1410,0,1413,0,1415,0,1417,0,
1504,3,1498,2721400,1503,530586,0,1507,180000,1507,0,1508,9,1598,384000,1498,1555200,1499,1555200,1501,1555200,1502,633600,1503,633600,1505,633600,1506,633600,1497,44,1499,20,1500,0,1502,10,1503,0,1504,0,1506,0,1507,0,
1618,3,1605,2721608,1616,85224,0,1623,180000,1624,0,1625,5,1698,1555200,1606,960000,1608,960000,1611,960000,1613,633600,1616,633600,1619,633600,1622,633600,1603,30,1608,9,1610,9,1613,0,1615,0,1618,0,1621,0,1623,0,
1707,3,1699,2721820,1705,595117,0,1710,180000,1710,0,1711,10,1798,1555200,1700,1555200,1701,1555200,1703,1555200,1704,633600,1706,633600,1707,633600,1709,633600,1699,44,1701,14,1702,25,1704,0,1705,0,1707,0,1708,0,1710,0,
1809,3,1800,2721820,1807,519439,0,1813,180000,1813,0,1815,7,1899,1555200,1801,1555200,1803,1555200,1804,1555200,1806,633600,1808,633600,1810,633600,1811,633600,1799,50,1802,0,1804,10,1806,10,1807,10,1809,0,1811,0,1812,0,
1912,3,1901,2721828,1909,216542,0,1916,180000,1918,0,1919,9,1999,1555200,1902,1555200,1904,1555200,1905,1555200,1907,633600,1910,633600,1912,633600,1914,633600,1900,18,1903,0,1905,10,1907,0,1909,9,1912,0,1913,0,1916,0,
2013,3,2002,2721488,2010,788710,16777,2017,180000,2018,0,2019,12,2099,1555200,2003,1555200,2004,1555200,2007,1555200,2009,633600,2011,633600,2014,633600,2016,633600,2001,55,2004,27,2006,18,2008,10,2010,0,2013,0,2015,0,2017,0,
2108,3,2101,2721736,2107,487566,0,2111,180000,2111,0,2112,7,2200,1555200,2101,1555200,2103,1555200,2104,1555200,2105,633600,2107,633600,2108,633600,2109,633600,2100,40,2102,18,2104,10,2105,0,2106,0,2108,0,2109,0,2110,0,
2210,3,2202,2721736,2209,415865,0,2214,180000,2214,0,2216,7,2300,1555200,2202,1555200,2204,1555200,2206,1555200,2207,633600,2209,633600,2210,633600,2212,633600,2201,30,2204,10,2205,0,2207,18,2208,0,2210,0,2212,0,2213,0,
2308,3,2302,2721788,2307,387185,0,2311,180000,2311,0,2312,6,2401,1555200,2302,1555200,2303,1555200,2305,1555200,2306,633600,2307,633600,2308,633600,2310,633600,2301,54,2303,0,2304,0,2306,0,2307,0,2308,0,2309,0,2311,0,
2418,3,2406,2721984,2416,437375,0,2421,180000,2422,0,2423,8,2501,1555200,2407,1555200,2412,1555200,2413,1555200,2415,633600,2417,633600,2418,633600,2420,633600,2403,27,2409,18,2413,0,2414,16,2416,0,2418,0,2419,0,2421,0,
2513,3,2504,2722024,2512,462078,0,2517,180000,2518,0,2519,8,2602,1555200,2504,1555200,2506,1555200,2508,1555200,2510,633600,2512,633600,2514,633600,2516,633600,2503,50,2506,0,2507,12,2509,0,2511,10,2513,0,2515,0,2517,0,
2611,3,2604,2721828,2609,390377,0,2614,180000,2615,0,2616,6,2702,1555200,2604,1555200,2605,1555200,2607,1555200,2608,633600,2609,633600,2611,633600,2612,633600,2603,33,2605,10,2606,9,2608,0,2609,10,2610,0,2612,0,2614,0,
2716,3,2705,2722184,2713,215102,0,2720,180000,2721,0,2722,5,2802,1555200,2706,1555200,2708,1555200,2710,1555200,2712,633600,2715,633600,2717,633600,2719,633600,2703,30,2707,0,2709,0,2711,0,2713,0,2716,0,2718,0,2720,0,
2811,3,2805,2722236,2810,774370,2437,2814,180000,2815,0,2816,10,2903,384000,2805,1555200,2806,1555200,2808,1555200,2809,633600,2810,633600,2812,633600,2813,633600,2804,50,2806,30,2807,10,2809,18,2810,0,2811,0,2813,0,2814,0,
2930,3,2909,2722120,2926,26590,0,2937,180000,2937,0,2940,7,3005,600000,2910,384000,2915,384000,2919,460800,2923,633600,2927,633600,2931,633600,2934,633600,2907,0,2914,9,2918,10,2922,9,2926,0,2930,0,2933,0,2936,0,
3023,3,3009,2722172,3020,228859,0,3029,180000,3030,0,3032,14,3105,1248000,3009,600000,3012,600000,3015,768000,3018,633600,3021,633600,3023,633600,3026,633600,3007,50,3012,37,3015,37,3017,12,3020,0,3023,0,3026,0,3028,0,
3117,3,3108,2722028,3115,533609,0,3120,180000,3120,0,3122,13,3205,1555200,3108,1248000,3110,1248000,3112,1248000,3114,633600,3115,633600,3117,633600,3119,633600,3107,55,3110,0,3111,30,3113,22,3115,0,3117,0,3118,0,3120,0,
3214,3,3207,2722128,3213,573607,0,3218,180000,3218,0,3219,10,3306,1555200,3208,1555200,3209,1555200,3210,1555200,3212,633600,3213,633600,3215,633600,3216,633600,3207,40,3209,18,3210,12,3211,10,3213,0,3214,0,3216,0,3217,0,
3315,3,3308,2722376,3314,380014,0,3318,180000,3318,0,3319,3,3407,600000,3308,1555200,3310,1555200,3311,1555200,3313,633600,3314,633600,3315,633600,3316,633600,3307,25,3309,0,3311,18,3312,10,3313,0,3315,0,3316,0,3317,0,
3432,3,3413,2722872,3429,115490,0,3438,180000,3439,0,3441,10,3507,1478400,3413,672000,3417,672000,3421,672000,3425,633600,3430,633600,3433,633600,3435,633600,3410,30,3417,9,3420,10,3424,16,3429,0,3431,0,3435,0,3438,0,
3522,3,3511,2722676,3520,671482,0,3526,180000,3527,0,3528,11,3608,1555200,3511,1555200,3514,1555200,3516,1555200,3518,633600,3520,633600,3523,633600,3524,633600,3510,66,3513,0,3515,22,3517,11,3520,0,3522,0,3524,0,3526,0,
3617,3,3611,2722728,3616,580777,0,3620,180000,3620,0,3621,8,3708,672000,3611,1555200,3612,1555200,3614,1555200,3615,633600,3616,633600,3617,633600,3619,633600,3609,45,3612,25,3613,0,3614,11,3616,0,3617,0,3618,0,3619,0,
3726,3,3712,2722868,3723,93647,0,3732,180000,3732,0,3734,7,3809,1555200,3713,672000,3716,672000,3719,768000,3721,633600,3724,633600,3727,633600,3729,633600,3710,30,3715,10,3718,9,3721,0,3723,0,3726,0,3729,0,3731,0,
3824,3,3812,2722724,3821,724179,0,3828,180000,3828,0,3829,13,3909,1555200,3812,1555200,3815,1555200,3817,1555200,3819,633600,3822,633600,3824,633600,3826,633600,3811,60,3814,11,3816,30,3818,0,3821,0,3824,0,3825,0,3827,0,
3919,3,3911,2722972,3917,552097,0,3922,180000,3923,0,3924,8,4010,1555200,3912,1555200,3913,1555200,3914,1555200,3916,633600,3917,633600,3919,633600,3920,633600,3910,37,3913,10,3914,20,3915,10,3917,0,3918,0,3920,0,3922,0,
4025,3,4013,2721456,4023,580136,0,4029,180000,4030,0,4031,12,4110,1555200,4014,1555200,4016,1555200,4019,1555200,4021,1248000,4023,1248000,4026,633600,4028,633600,4012,30,4016,27,4018,0,4021,10,4023,20,4025,0,4027,0,4029,0,
4121,3,4113,2728824,4119,844788,72855,4124,180000,4124,0,4125,14,4211,384000,4113,1555200,4115,1555200,4116,1555200,4118,1248000,4119,1248000,4121,1248000,4122,1248000,4112,58,4115,12,4116,20,4118,0,4119,40,4120,0,4122,0,4124,0,
4245,3,4218,2728824,4241,33094,0,4252,180000,4253,0,4255,8,4311,1478400,4219,384000,4224,384000,4231,600000,4236,633600,4242,633600,4246,633600,4249,633600,4216,20,4223,9,4230,9,4235,0,4241,0,4245,0,4248,0,4251,0,
4321,3,4313,2729056,4320,1100351,328418,4325,180000,4326,0,4327,18,4412,1555200,4314,1478400,4315,1478400,4317,1478400,4319,633600,4320,633600,4322,633600,4323,633600,4313,85,4315,33,4317,12,4318,37,4320,0,4321,0,4323,0,4325,0,
4423,3,4414,2728912,4421,738519,0,4427,180000,4427,0,4428,12,4512,1555200,4415,1555200,4417,1555200,4418,1555200,4420,633600,4422,633600,4423,633600,4425,633600,4413,44,4416,30,4418,11,4419,18,4421,0,4423,0,4425,0,4426,0,
4521,3,4514,2729408,4519,351334,0,4524,180000,4525,0,4526,6,4613,1555200,4515,1555200,4516,1555200,4517,1555200,4518,633600,4519,633600,4521,633600,4522,633600,4513,40,4516,0,4517,9,4518,0,4519,0,4520,0,4522,0,4524,0,
4626,3,4616,2729412,4624,365674,0,4629,180000,4629,0,4630,6,4713,1555200,4617,1555200,4619,1555200,4621,1555200,4623,633600,4625,633600,4626,633600,4628,633600,4615,11,4618,20,4620,20,4623,0,4624,0,4626,0,4627,0,4629,0,
