device,subject,browser,Memory Usage [KB],CPU3 Load [%],CPU3 Frequency [kHz],CPU2 Frequency [kHz],CPU5 Load [%],CPU6 Load [%],CPU5 Frequency [kHz],CPU4 Load [%],CPU8 Load [%],CPU Load [%],Battery Status,CPU6 Frequency [kHz],CPU4 Frequency [kHz],GPU Frequency [KHz],duration(s),CPU2 Load [%],CPU1 Frequency [kHz],Battery Power* [uW],CPU8 Frequency [kHz],CPU7 Frequency [kHz],GPU Load [%],CPU1 Load [%],CPU7 Load [%]
nexus6p,react-redux,comandroidchrome,2783207.135755258,18.703632887189293,1322441.3001912045,1328553.7284894837,22.007648183556405,9.883365200764818,1054898.6615678777,17.497131931166347,6.067049808429119,18.009578544061302,3.0,1054054.3021032505,1321183.9388145315,181676.24521072797,58,21.673040152963672,1332013.7667304014,298209.72466539196,1055852.8735632184,1057655.1724137932,2.160919540229885,42.76099426386233,7.789272030651341
nexus6p,react-redux,comandroidchrome,2762687.9168241965,20.647727272727273,1339563.6363636365,1338201.8903591682,21.901515151515152,9.946969696969697,1060800.0,15.263257575757576,5.615530303030303,18.015151515151516,3.0,1062763.6363636365,1339772.7272727273,184043.5606060606,59,22.504725897920604,1344544.4234404536,416330.9772727273,1065272.7272727273,1063818.1818181819,2.1761363636363638,42.6710775047259,7.725378787878788
nexus6p,react-redux,comandroidchrome,2792273.0510396976,20.376181474480152,1325380.718336484,1326714.5557655955,19.612476370510397,12.109640831758034,1030121.7391304348,16.814744801512287,5.981060606060606,18.333333333333332,3.0,1032117.9584120983,1325988.6578449905,184128.78787878787,58,21.53686200378072,1331696.0302457467,380664.0283553875,1033418.1818181818,1033025.3308128545,1.0018939393939394,43.678638941398866,8.646502835538753
nexus6p,react-redux,comandroidchrome,2750866.7296786387,18.40340909090909,1323390.9090909092,1324192.0604914934,20.276515151515152,11.632575757575758,1041054.5454545454,16.679924242424242,5.778409090909091,18.227272727272727,3.0,1043127.2727272727,1322763.6363636365,187575.75757575757,57,24.039772727272727,1328211.7202268431,448120.7916666667,1015090.9090909091,1043745.4545454546,1.2367424242424243,43.351606805293,7.979166666666667
nexus6p,react-redux,comandroidchrome,2766895.75,20.376893939393938,1342281.8181818181,1342236.3636363635,21.83712121212121,10.344696969696969,1035490.9090909091,16.251893939393938,5.3168880455407965,18.11764705882353,3.0,1036036.3636363636,1341309.0909090908,185635.67362428844,57,21.90340909090909,1344627.2727272727,383955.05303030304,973636.3636363636,1031818.1818181818,2.1176470588235294,43.49242424242424,6.924242424242424
nexus6p,react-redux,comandroidchrome,2769689.36329588,19.252808988764045,1332539.3258426967,1329932.5842696629,21.237827715355806,10.5187265917603,1021051.6853932585,17.49438202247191,5.587242026266416,18.298311444652906,3.0,1020871.9101123596,1333186.5168539325,184924.95309568482,58,22.174157303370787,1336386.5168539325,453724.84269662923,960000.0,1022138.8367729831,1.4540337711069418,43.71348314606742,7.690431519699812
nexus6p,react-redux,comandroidchrome,2758889.748091603,18.986641221374047,1309538.93129771,1309978.6259541984,20.519083969465647,13.007633587786259,1050650.3816793894,18.12786259541985,5.634799235181644,18.317399617590823,3.0,1050906.8702290077,1312112.9770992366,185124.2829827916,58,20.8206106870229,1309786.2595419846,391268.0286259542,1010734.9904397705,1050760.3053435115,1.621414913957935,44.732824427480914,6.564885496183206
nexus6p,react-redux,comandroidchrome,2766804.522072937,20.051823416506718,1314186.5642994242,1313771.9769673704,20.196153846153845,13.2,1068221.5384615385,17.700575815738965,6.2057692307692305,18.25,3.0,1069476.923076923,1315430.3262955854,184192.3076923077,58,21.418426103646834,1321363.5316698656,471666.7576923077,1042449.2307692308,1069550.7692307692,1.1673076923076924,42.54318618042227,6.9
nexus6p,react-redux,comandroidchrome,2766193.111531191,21.013232514177695,1320480.9073724009,1320027.2211720226,21.96030245746692,11.984877126654064,1027472.2117202268,16.311909262759926,5.448015122873346,18.466918714555767,3.0,1026201.8903591683,1322694.8960302458,184423.4404536862,58,21.620037807183365,1323450.566037736,412673.13232514175,963375.4253308128,1025548.5822306238,1.837429111531191,44.10754716981132,6.890359168241966
nexus6p,react-redux,comandroidchrome,2780634.1735849055,19.267924528301887,1329853.5849056605,1329147.1698113207,19.584120982986768,11.289224952741021,1045784.1509433963,15.877358490566039,6.0037807183364835,17.943289224952743,3.0,1045474.4801512287,1328241.5094339622,182448.01512287336,58,22.50377358490566,1329726.7924528301,360822.89981096407,1039304.3478260869,1043224.1965973536,1.281663516068053,43.652830188679246,7.829867674858223
nexus6p,react-redux,comandroidchrome,2776329.9276190475,19.249523809523808,1303981.7142857143,1304950.857142857,21.69142857142857,11.742857142857142,1038336.0,18.55047619047619,5.445714285714286,18.432380952380953,3.0,1037238.8571428572,1303579.4285714286,185819.04761904763,57,21.506666666666668,1305554.2857142857,385084.2838095238,975067.4285714285,1035520.0,2.4247619047619047,43.097142857142856,7.417142857142857
nexus6p,react-redux,comandroidchrome,2775415.2213740456,18.48854961832061,1331111.4503816795,1331120.6106870228,21.383587786259543,11.200381679389313,1036323.6641221374,16.9293893129771,6.667304015296367,18.198852772466537,3.0,1038412.213740458,1333282.4427480916,184149.1395793499,58,21.005725190839694,1334894.6564885497,425907.6889312977,998950.6692160611,1040985.086042065,1.8489483747609943,43.603053435114504,7.512428298279159
nexus6p,react-redux,comandroidchrome,2756679.9772296017,17.958254269449714,1298741.5559772295,1298231.4990512333,21.568441064638783,11.064638783269961,1052860.836501901,18.32068311195446,5.686311787072244,18.288973384030417,3.0,1054576.4258555132,1298614.0417457304,184990.49429657793,57,20.952561669829223,1301710.815939279,345898.36882129277,1024279.8479087453,1054576.4258555132,1.8517110266159695,44.833017077798864,7.585551330798479
nexus6p,react-redux,comandroidchrome,2773086.8659003833,19.726053639846743,1310878.1609195403,1311328.735632184,24.057471264367816,10.460652591170826,1059898.8505747127,16.697318007662837,5.91362763915547,18.547024952015356,3.0,1059347.1264367816,1312478.1609195403,184011.51631477926,59,21.38314176245211,1314409.1954022988,388080.95019157085,989813.4357005758,1057768.905950096,1.9289827255278311,43.50574712643678,7.700575815738963
nexus6p,react-redux,comandroidchrome,2761856.3378119003,18.015384615384615,1327674.472168906,1329231.4779270634,20.380769230769232,12.171153846153846,1066227.6923076923,15.867307692307692,5.726923076923077,18.057692307692307,3.0,1064418.4615384615,1328778.4615384615,183692.3076923077,59,23.042226487523994,1333220.7293666026,403689.57884615386,1033846.1538461539,1063753.8461538462,1.7365384615384616,43.48368522072936,7.953846153846154
nexus6p,react-redux,comandroidchrome,2756061.6199616124,20.225,1311775.3846153845,1313169.2307692308,21.01923076923077,11.573076923076924,1068258.4615384615,16.934615384615384,5.588461538461538,18.275,3.0,1069181.5384615385,1316390.7692307692,183605.76923076922,58,21.817307692307693,1317061.03646833,426810.51153846155,1069476.923076923,1069181.5384615385,2.292307692307692,44.09404990403071,7.344230769230769
nexus6p,react-redux,comandroidchrome,2755920.0764818355,19.21606118546845,1328214.1491395794,1329471.5105162524,20.852772466539196,13.963671128107075,1052475.7170172085,16.51625239005736,5.804971319311663,18.674952198852772,3.0,1050897.1319311664,1329131.931166348,186472.27533460804,59,21.67112810707457,1331132.6959847037,493419.1434034417,977437.8585086042,1047005.7361376673,2.273422562141491,44.40726577437859,8.435946462715105
nexus6p,react-redux,comandroidchrome,2761538.776290631,18.816443594646273,1331995.4110898662,1333748.3747609942,22.37284894837476,12.759082217973232,1090875.7170172085,15.665391969407265,6.489483747609943,18.47509578544061,3.0,1090545.3154875718,1332142.256214149,184070.88122605364,58,22.491395793499045,1341292.5430210326,499457.21797323134,1075970.9369024856,1090728.8718929254,1.5727969348659003,43.61185468451243,7.422562141491396
nexus6p,react-redux,comandroidchrome,2760568.69865643,18.85576923076923,1313178.4615384615,1315107.869481766,20.290384615384614,12.463461538461539,1053636.923076923,17.903846153846153,5.553846153846154,18.013461538461538,3.0,1053489.2307692308,1315864.6153846155,183451.92307692306,59,20.953934740882918,1320092.130518234,404519.8019230769,1051495.3846153845,1051126.1538461538,1.1576923076923078,43.20345489443378,6.811538461538461
nexus6p,react-redux,comandroidchrome,2767798.883018868,18.70188679245283,1331293.5849056605,1335242.2641509434,21.950943396226414,9.567924528301887,1055818.8679245282,16.569811320754717,6.136105860113422,17.937618147448013,3.0,1056941.8867924528,1332434.716981132,184017.01323251417,57,21.49811320754717,1335921.5094339622,460268.0264150943,1012482.4196597354,1055782.641509434,1.9338374291115312,44.66792452830189,6.362948960302457
