App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 11:53:53 AM","58 sec","Trepn_2018.10.20_115352.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
156,3,140,2667840,151,438407,0,164,180000,165,0,166,21,167,1248000,140,960000,143,960000,146,960000,148,633600,152,633600,157,633600,162,633600,139,58,142,33,145,20,148,28,151,7,156,0,162,3,164,0,
179,3,169,2667840,177,2000063,909285,183,180000,183,0,185,42,187,1555200,169,1248000,172,1248000,174,1248000,176,633600,177,633600,179,633600,181,633600,168,100,171,100,173,100,175,100,177,0,179,0,180,0,182,0,
199,3,190,2668048,197,2597197,1506419,202,180000,203,0,204,43,287,1555200,190,1555200,192,1555200,194,1555200,195,633600,197,633600,199,633600,201,633600,189,100,191,50,193,100,195,100,196,50,198,50,200,0,202,0,
303,3,291,2668276,300,1220219,129441,308,180000,309,0,310,20,388,1555200,291,1555200,294,1555200,296,1555200,299,1248000,300,1248000,303,1248000,306,1248000,289,33,293,20,295,80,298,18,300,10,303,10,305,0,307,0,
409,3,393,2668812,406,601967,0,413,180000,413,0,415,10,489,1555200,394,1555200,397,1555200,401,1555200,404,633600,407,633600,410,633600,411,633600,391,55,396,12,400,0,403,10,406,0,409,0,411,0,413,0,
502,3,491,2669112,500,807996,0,506,180000,507,0,508,13,589,1555200,492,1555200,494,1555200,496,1555200,498,633600,501,633600,503,633600,505,633600,490,55,494,10,495,27,498,18,500,11,502,0,504,0,506,0,
599,3,591,2668916,597,587947,0,602,180000,602,0,603,8,691,1555200,592,1555200,593,1555200,594,1555200,596,633600,597,633600,599,633600,600,633600,590,62,593,20,594,0,595,0,597,0,598,0,600,0,601,0,
702,3,693,2668720,700,595117,0,705,180000,706,0,707,12,792,1555200,693,1555200,695,1555200,697,1555200,699,633600,700,633600,702,633600,704,633600,692,50,695,11,696,22,698,0,700,0,702,0,703,0,705,0,
801,3,794,2668968,799,681158,0,804,180000,804,0,805,11,892,1555200,794,1555200,795,1555200,797,1555200,798,633600,800,633600,801,633600,803,633600,793,60,795,10,796,25,798,0,799,0,801,0,802,0,804,0,
902,3,894,2669192,900,645308,0,905,180000,905,0,906,8,993,1555200,895,1555200,896,1555200,897,1555200,899,633600,900,633600,902,633600,903,633600,894,42,896,10,897,27,899,11,900,0,901,0,903,0,904,0,
1002,3,995,2669192,1001,430205,0,1005,180000,1006,0,1007,9,1094,1555200,995,1555200,997,1555200,998,1555200,999,633600,1001,633600,1002,633600,1004,633600,994,40,996,10,998,10,999,0,1000,0,1002,0,1003,0,1005,0,
1103,3,1096,2669544,1102,573607,0,1106,180000,1106,0,1107,7,1195,1555200,1096,1555200,1098,1555200,1099,1555200,1100,633600,1102,633600,1103,633600,1105,633600,1095,50,1097,0,1099,20,1100,10,1102,0,1103,0,1104,0,1106,0,
1207,3,1198,2669544,1206,279633,0,1211,180000,1212,0,1213,5,1295,1555200,1200,1555200,1202,1555200,1203,1555200,1205,633600,1206,633600,1208,633600,1210,633600,1197,0,1202,9,1203,20,1204,10,1206,0,1207,0,1209,0,1211,0,
1304,3,1296,2669472,1302,623798,0,1307,180000,1307,0,1308,10,1395,1555200,1297,1555200,1298,1555200,1300,1555200,1301,633600,1302,633600,1304,633600,1305,633600,1296,44,1298,22,1299,11,1301,10,1302,0,1303,0,1305,0,1306,0,
1404,3,1397,2669472,1403,537757,0,1407,180000,1407,0,1409,8,1495,1555200,1397,1555200,1398,1555200,1400,1555200,1401,633600,1403,633600,1404,633600,1406,633600,1396,45,1398,20,1400,10,1401,0,1403,0,1404,0,1405,0,1407,0,
1508,3,1498,2670016,1506,286803,0,1512,180000,1512,0,1514,6,1596,1555200,1498,1555200,1500,1555200,1502,1555200,1504,633600,1506,633600,1508,633600,1510,633600,1497,30,1500,0,1502,10,1504,0,1506,0,1507,0,1509,0,1512,0,
1607,3,1598,2670280,1605,447738,0,1610,180000,1611,0,1612,5,1696,1555200,1599,1555200,1600,1555200,1602,1555200,1604,633600,1605,633600,1607,633600,1609,633600,1597,50,1600,0,1602,10,1603,0,1605,10,1607,0,1608,0,1610,0,
1710,3,1699,2670084,1708,136231,0,1713,180000,1714,0,1715,6,1797,1555200,1700,1555200,1702,1555200,1704,1555200,1706,633600,1708,633600,1710,633600,1712,633600,1698,10,1701,9,1704,0,1706,0,1708,0,1710,0,1711,0,1713,0,
1811,3,1800,2670284,1809,616628,0,1815,180000,1815,0,1817,11,1897,1555200,1800,1555200,1802,1555200,1805,1555200,1807,633600,1809,633600,1811,633600,1813,633600,1799,55,1802,20,1804,0,1806,11,1809,0,1811,0,1812,0,1815,0,
1905,3,1899,2670196,1904,501906,0,1908,180000,1908,0,1909,6,1998,460800,1899,1555200,1900,1555200,1901,1555200,1903,633600,1904,633600,1905,633600,1907,633600,1898,40,1900,20,1901,10,1902,0,1904,0,1905,0,1906,0,1908,0,
2020,3,2003,2670196,2017,78111,0,2025,180000,2025,0,2027,7,2098,1478400,2004,460800,2008,460800,2012,460800,2016,633600,2018,633600,2020,633600,2022,633600,2001,25,2007,18,2011,9,2015,18,2017,0,2020,0,2022,0,2024,0,
