App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 12:51:27 PM","58 sec","Trepn_2018.10.20_125126.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
107,3,96,2711084,106,600250,0,111,180000,112,0,113,23,114,1555200,97,1248000,99,1248000,102,1248000,104,633600,106,633600,108,633600,109,633600,95,55,98,36,101,40,104,33,105,5,107,5,109,0,111,0,
125,3,116,2711532,123,2275512,1400861,129,180000,130,0,131,43,188,1555200,117,1555200,118,1555200,120,1555200,122,633600,124,633600,126,633600,127,633600,115,50,118,100,120,100,122,50,123,66,125,0,127,0,129,0,
216,3,202,2711532,213,1090959,216308,219,180000,220,0,221,21,288,1555200,203,1555200,205,1555200,208,1555200,211,768000,213,768000,216,768000,218,768000,200,12,204,100,207,22,210,11,213,22,215,20,217,0,219,0,
301,3,290,2711740,299,739908,0,306,180000,307,0,308,10,388,1555200,291,1555200,293,1555200,296,1555200,297,633600,299,633600,301,633600,303,633600,289,55,293,28,295,0,297,11,299,11,301,0,303,0,305,0,
398,3,390,2712356,396,774370,0,401,180000,402,0,403,10,489,1555200,390,1555200,392,1555200,393,1555200,395,633600,397,633600,398,633600,400,633600,390,55,391,22,393,11,395,20,396,0,398,0,399,0,401,0,
498,3,491,2712844,497,659648,0,502,180000,502,0,503,12,589,1555200,491,1555200,492,1555200,494,1555200,496,633600,497,633600,499,633600,500,633600,490,50,492,20,494,22,495,0,497,0,498,0,500,0,501,0,
599,3,591,2713508,597,709839,0,602,180000,603,0,604,13,689,1555200,591,1555200,593,1555200,594,1555200,596,633600,598,633600,599,633600,601,633600,590,60,592,12,594,18,596,9,597,0,599,0,601,0,602,0,
701,3,692,2713860,700,616628,0,706,180000,706,0,708,12,790,1555200,692,1555200,694,1555200,696,1555200,698,633600,700,633600,702,633600,704,633600,691,54,694,20,696,12,698,0,699,0,701,0,703,0,705,0,
804,3,793,2714160,802,688329,0,808,180000,809,0,810,11,890,1555200,794,1555200,796,1555200,798,1555200,800,633600,803,633600,805,633600,807,633600,792,60,795,0,797,25,800,11,802,0,804,0,807,0,808,0,
902,3,893,2714644,900,595117,0,906,180000,907,0,908,9,990,1555200,893,1555200,895,1555200,897,1555200,898,633600,900,633600,903,633600,904,633600,892,50,894,22,896,11,898,0,900,0,902,0,904,0,906,0,
