App,Package,Start Time,Duration,Filename
"System",,"Oct 20, 2018 @ 03:29:01 PM","1 min 0 sec","Trepn_2018.10.20_152900.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
21,3,8,2584664,18,743154,0,26,180000,27,0,29,11,87,1555200,8,1555200,10,1555200,13,960000,15,633600,18,633600,21,633600,24,633600,7,8,10,8,12,0,15,38,17,15,20,0,23,0,26,0,
114,3,102,2584880,111,910601,0,118,180000,119,0,120,14,188,1555200,103,1555200,105,1555200,107,1555200,109,633600,112,633600,114,633600,116,633600,101,22,105,60,107,12,109,33,111,0,113,0,115,0,118,0,
197,3,190,2585552,196,578553,0,201,180000,201,0,202,10,288,1555200,190,1555200,191,1555200,193,1555200,195,633600,196,633600,198,633600,199,633600,189,20,191,14,193,22,194,22,196,11,197,0,199,0,200,0,
303,3,292,2585724,301,652478,0,307,180000,307,0,309,9,388,1555200,292,1555200,294,1555200,297,1555200,299,633600,302,633600,304,633600,305,633600,290,40,294,20,297,22,299,9,301,0,303,0,305,0,306,0,
398,3,391,2586376,397,688329,0,402,180000,402,0,403,14,489,1555200,391,1555200,393,1555200,394,1555200,395,633600,397,633600,399,633600,400,633600,390,54,392,30,394,12,395,0,397,0,398,0,400,0,401,0,
502,3,491,2586728,500,630968,0,505,180000,506,0,508,10,589,1555200,492,1555200,494,1555200,496,1555200,498,633600,500,633600,502,633600,504,633600,491,42,493,18,495,18,497,10,499,0,501,0,503,0,505,0,
602,3,592,2587168,600,717009,0,606,180000,607,0,608,10,690,1555200,592,1555200,594,1555200,596,1555200,598,633600,600,633600,602,633600,604,633600,591,60,594,30,596,10,598,0,600,0,602,0,604,0,606,0,
699,3,692,2587468,698,630968,0,702,180000,703,0,704,11,790,1555200,692,1555200,693,1555200,695,1555200,696,633600,698,633600,699,633600,701,633600,691,66,693,11,694,11,696,0,697,0,699,0,701,0,702,0,
803,3,794,2587716,802,630968,0,806,180000,806,0,808,10,891,1555200,795,1555200,797,1555200,799,1555200,800,633600,802,633600,803,633600,805,633600,792,36,796,18,798,25,800,9,802,0,803,0,805,0,806,0,
902,3,893,2587768,900,336994,0,905,180000,906,0,907,5,991,1555200,893,1555200,895,1555200,897,1555200,899,633600,900,633600,902,633600,904,633600,892,14,895,11,897,22,898,0,900,0,902,0,903,0,905,0,
1001,3,993,2588264,999,473226,0,1004,180000,1004,0,1005,8,1092,1555200,994,1555200,995,1555200,997,1555200,998,633600,999,633600,1001,633600,1002,633600,992,45,995,9,996,12,998,0,999,0,1001,0,1002,0,1003,0,
