"","subject","cpu","mem","duration","battery","energy_consumption"
"1","angular-ngrx-nx",19.34,2799731.528,59,0.421,24.853
"2","angular-ngrx-nx",18.314,2701353.217,58,0.384,22.262
"3","angular-ngrx-nx",18.625,2689687.931,58,0.52,30.137
"4","angular-ngrx-nx",18.451,2699066.433,59,0.409,24.153
"5","angular-ngrx-nx",18.453,2690175.66,58,0.343,19.92
"6","angular-ngrx-nx",18.495,2711804.397,58,0.429,24.879
"7","angular-ngrx-nx",18.837,2731035.451,59,0.411,24.255
"8","angular-ngrx-nx",18.945,2701088.529,58,0.431,25.017
"9","angular-ngrx-nx",18.804,2685410.459,58,0.361,20.958
"10","angular-ngrx-nx",18.592,2693147.578,59,0.41,24.204
"11","angular-ngrx-nx",18.969,2689619.61,57,0.458,26.108
"12","angular-ngrx-nx",18.493,2688306.935,59,0.486,28.653
"13","angular-ngrx-nx",18.649,2707354.677,58,0.388,22.527
"14","angular-ngrx-nx",18.603,2698996.102,59,0.436,25.709
"15","angular-ngrx-nx",18.715,2706210.986,57,0.43,24.533
"16","angular-ngrx-nx",18.478,2704579.716,58,0.449,26.054
"17","angular-ngrx-nx",18.573,2719674.444,59,0.418,24.647
"18","angular-ngrx-nx",18.406,2724535.854,58,0.397,23.048
"19","angular-ngrx-nx",18.855,2693132.655,59,0.417,24.594
"20","angular-ngrx-nx",18.443,2715544.366,58,0.399,23.145
"21","angular",18.745,2685737.297,58,0.467,27.075
"22","angular",18.741,2659171.624,59,0.417,24.624
"23","angular",18.871,2701113.444,59,0.404,23.821
"24","angular",19.341,2641234.616,60,0.458,27.507
"25","angular",18.856,2693160.53,60,0.345,20.676
"26","angular",18.611,2696355.737,59,0.431,25.427
"27","angular",18.765,2651431.521,59,0.422,24.897
"28","angular",18.61,2648646.664,57,0.445,25.357
"29","angular",18.261,2698219.682,60,0.354,21.214
"30","angular",18.482,2643919.749,59,0.427,25.195
"31","angular",18.776,2643460.473,59,0.444,26.223
"32","angular",18.863,2692137.989,59,0.461,27.213
"33","angular",18.686,2696206.595,59,0.473,27.921
"34","angular",18.689,2651278.912,60,0.372,22.331
"35","angular",18.743,2656331.992,59,0.38,22.442
