datetime,cpu,mem
Mon Oct 15 15:30:10 GMT 2018,1.5,1256706
Mon Oct 15 15:30:12 GMT 2018,13,1167828
Mon Oct 15 15:30:13 GMT 2018,13,1191613
Mon Oct 15 15:30:15 GMT 2018,13,1193594
Mon Oct 15 15:30:16 GMT 2018,13,1196147
Mon Oct 15 15:30:17 GMT 2018,28,1192736
Mon Oct 15 15:30:18 GMT 2018,28,1167198
Mon Oct 15 15:30:20 GMT 2018,28,1190389
Mon Oct 15 15:30:21 GMT 2018,28,1284701
Mon Oct 15 15:30:22 GMT 2018,43,1286914
Mon Oct 15 15:30:24 GMT 2018,43,1317899
Mon Oct 15 15:30:25 GMT 2018,43,1428024
Mon Oct 15 15:30:27 GMT 2018,43,1427365
Mon Oct 15 15:30:28 GMT 2018,44,1341466
Mon Oct 15 15:30:29 GMT 2018,44,1336092
Mon Oct 15 15:30:31 GMT 2018,44,1336051
Mon Oct 15 15:30:32 GMT 2018,44,1333868
Mon Oct 15 15:30:34 GMT 2018,33,1357236
Mon Oct 15 15:30:35 GMT 2018,33,1387403
Mon Oct 15 15:30:37 GMT 2018,33,1342337
Mon Oct 15 15:30:38 GMT 2018,33,1341875
Mon Oct 15 15:30:39 GMT 2018,41,1346137
Mon Oct 15 15:30:41 GMT 2018,41,1338522
Mon Oct 15 15:30:42 GMT 2018,41,1343905
Mon Oct 15 15:30:43 GMT 2018,41,1341921
Mon Oct 15 15:30:45 GMT 2018,29,1339543
Mon Oct 15 15:30:46 GMT 2018,29,1337960
Mon Oct 15 15:30:47 GMT 2018,29,1333013
Mon Oct 15 15:30:49 GMT 2018,29,1375533
Mon Oct 15 15:30:51 GMT 2018,39,1394107
Mon Oct 15 15:30:53 GMT 2018,39,1400031
Mon Oct 15 15:30:54 GMT 2018,39,1396421
Mon Oct 15 15:30:56 GMT 2018,0.1,1352675
Mon Oct 15 15:30:58 GMT 2018,0.1,1354665
Mon Oct 15 15:31:00 GMT 2018,0.1,1346355
Mon Oct 15 15:31:01 GMT 2018,0,1349952
Mon Oct 15 15:31:03 GMT 2018,0,1230208
Mon Oct 15 15:31:04 GMT 2018,0,1222770
Mon Oct 15 15:31:06 GMT 2018,0,1304525
Mon Oct 15 15:31:07 GMT 2018,0.1,1312170
Mon Oct 15 15:31:09 GMT 2018,0.1,1395353
Mon Oct 15 15:31:11 GMT 2018,0.1,1416528
Mon Oct 15 15:31:13 GMT 2018,54,1344379
Mon Oct 15 15:31:14 GMT 2018,54,1343093
Mon Oct 15 15:31:16 GMT 2018,54,1361062
Mon Oct 15 15:31:18 GMT 2018,40,1341753
Mon Oct 15 15:31:20 GMT 2018,40,1344293
Mon Oct 15 15:31:21 GMT 2018,40,1347440
Mon Oct 15 15:31:23 GMT 2018,49,1346676
Mon Oct 15 15:31:25 GMT 2018,49,1344619
Mon Oct 15 15:31:27 GMT 2018,49,1348167
Mon Oct 15 15:31:29 GMT 2018,39,1348225
Mon Oct 15 15:31:30 GMT 2018,39,1346209
Mon Oct 15 15:31:32 GMT 2018,39,1345266
Mon Oct 15 15:31:33 GMT 2018,39,1352113
Mon Oct 15 15:31:35 GMT 2018,41,1347236
Mon Oct 15 15:31:37 GMT 2018,41,1345122
Mon Oct 15 15:31:39 GMT 2018,41,1347745
Mon Oct 15 15:31:42 GMT 2018,0.2,1352224
Mon Oct 15 15:31:44 GMT 2018,0.2,1346707
Mon Oct 15 15:31:46 GMT 2018,0.2,1207663
