App,Package,Start Time,Duration,Filename
"System",,"Oct 15, 2018 @ 05:30:14 PM","1 min 32 sec","Trepn_2018.10.15_173012.db"

Time  [ms],"Battery Status",Time  [ms],"Memory Usage [KB]",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU5 Frequency [kHz]",Time  [ms],"CPU6 Frequency [kHz]",Time  [ms],"CPU7 Frequency [kHz]",Time  [ms],"CPU8 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"CPU5 Load [%]",Time  [ms],"CPU6 Load [%]",Time  [ms],"CPU7 Load [%]",Time  [ms],"CPU8 Load [%]",
155,3,138,2787088,153,981368,0,159,180000,160,0,161,1248000,139,960000,142,960000,145,1248000,151,1440000,153,1440000,155,1440000,157,1440000,134,38,142,39,144,28,150,22,153,6,155,24,157,0,159,3,
173,3,163,2787088,171,2601714,910132,176,180000,176,0,177,1555200,163,1248000,166,1555200,167,1555200,169,1728000,171,1728000,173,1728000,175,1728000,162,100,165,100,167,100,169,100,171,0,173,100,174,0,176,0,
182,3,178,2787088,181,1931910,240328,183,180000,184,0,258,1555200,178,1555200,179,1555200,180,1555200,180,1958400,181,1958400,182,1958400,183,1958400,177,0,179,50,179,100,180,0,181,0,182,100,182,0,183,0,
263,3,260,2787088,263,2195670,504088,265,180000,265,0,358,1555200,260,1555200,261,1555200,261,1555200,262,1958400,263,1958400,264,1958400,264,1958400,259,28,261,14,261,100,262,0,263,11,263,100,264,11,265,0,
364,3,360,2787836,363,1921737,230155,365,180000,365,0,459,1555200,360,1555200,361,1555200,361,1555200,362,1958400,363,1958400,364,1958400,364,1958400,359,37,361,12,361,20,362,20,363,10,364,0,364,100,365,0,
464,3,460,2788108,464,1720474,28892,466,180000,466,0,560,1555200,461,1555200,461,1555200,462,1555200,463,1958400,464,1958400,465,1958400,465,1958400,460,50,461,20,462,22,463,0,464,0,464,0,465,100,466,0,
576,3,563,2788956,574,1554387,0,577,180000,577,0,660,1555200,564,1555200,566,1555200,569,1555200,572,1958400,575,1958400,576,1958400,577,1958400,562,28,566,20,569,9,571,0,574,8,576,0,576,100,577,0,
676,3,663,2789120,675,1641603,0,678,180000,678,0,760,1555200,664,1555200,667,1555200,669,1555200,672,1958400,675,1958400,676,1958400,677,1958400,662,50,665,10,668,10,672,11,674,0,676,0,677,100,677,0,
776,3,764,2789616,774,1684624,0,778,180000,778,0,860,1555200,764,1555200,767,1555200,770,1555200,772,1958400,775,1958400,776,1958400,777,1958400,763,58,767,20,769,0,772,9,774,0,776,0,777,100,778,0,
865,3,862,2788960,864,1779804,88222,867,180000,867,0,961,1555200,862,1555200,863,1555200,863,1555200,864,1958400,865,1958400,865,1958400,866,1958400,861,50,863,22,863,12,864,0,864,11,865,0,866,100,866,0,
976,3,965,2788816,975,1698964,7382,978,180000,978,0,1062,1555200,965,1555200,967,1555200,970,1555200,973,1958400,975,1958400,976,1958400,977,1958400,963,60,967,11,970,18,973,0,975,0,976,0,977,81,977,0,
1076,3,1065,2789760,1074,2020824,329242,1078,180000,1078,0,1162,1555200,1065,1555200,1067,1555200,1070,1555200,1072,1958400,1075,1958400,1076,1958400,1077,1958400,1064,54,1067,36,1069,36,1072,36,1074,0,1076,0,1077,10,1077,0,
1175,3,1165,2790016,1173,2005809,314227,1177,180000,1177,0,1262,1555200,1165,1555200,1167,1555200,1169,1555200,1171,1958400,1173,1958400,1175,1958400,1176,1958400,1164,62,1167,22,1169,11,1171,22,1173,100,1175,0,1176,0,1177,0,
1273,3,1265,2790316,1272,1433671,0,1276,180000,1276,0,1363,1555200,1265,1555200,1267,1555200,1269,1555200,1270,1958400,1272,1958400,1274,1958400,1275,1958400,1264,41,1267,11,1268,0,1270,0,1271,100,1273,0,1275,0,1276,0,
1377,3,1366,2790316,1376,1455181,0,1378,180000,1378,0,1463,1555200,1367,1555200,1369,1555200,1372,1555200,1375,1958400,1376,1958400,1377,1958400,1377,1958400,1365,30,1369,16,1371,9,1374,0,1376,100,1377,0,1377,0,1378,0,
1470,3,1464,2790172,1469,1370608,0,1473,180000,1474,0,1564,384000,1465,1555200,1465,1555200,1467,1555200,1468,1958400,1469,1958400,1471,1958400,1472,1958400,1464,37,1465,0,1466,11,1468,10,1469,90,1470,0,1472,0,1473,0,
1569,3,1566,2789996,1569,1085211,0,1571,180000,1571,0,1665,600000,1566,384000,1567,384000,1567,384000,1568,1958400,1569,1958400,1570,1958400,1570,1958400,1565,18,1567,0,1567,10,1568,0,1569,100,1569,10,1570,0,1571,0,
1671,3,1667,2789996,1670,1328908,0,1672,180000,1672,0,1765,864000,1667,600000,1668,600000,1669,600000,1669,1958400,1670,1958400,1671,1958400,1671,1958400,1666,50,1668,20,1668,30,1669,0,1670,100,1670,10,1671,0,1672,0,
1770,3,1767,2790248,1769,1381661,0,1771,180000,1771,0,1866,1478400,1767,864000,1767,864000,1768,864000,1769,1958400,1769,1958400,1770,1958400,1771,1958400,1766,44,1767,11,1768,22,1768,0,1769,100,1770,0,1770,0,1771,0,
1871,3,1867,2789856,1870,1540459,0,1872,180000,1873,0,1966,1555200,1867,1478400,1868,1478400,1869,1555200,1870,1958400,1870,1958400,1871,1958400,1872,1958400,1866,42,1868,11,1869,10,1870,9,1870,100,1871,9,1871,0,1872,0,
1972,3,1968,2790156,1971,1514805,0,1973,180000,1974,0,2067,1555200,1968,1555200,1969,1555200,1970,1555200,1971,1958400,1971,1958400,1972,1958400,1973,1958400,1967,40,1969,0,1970,10,1970,0,1971,100,1972,10,1973,0,1973,0,
2073,3,2069,2790156,2072,1295970,0,2074,180000,2074,0,2167,1555200,2069,1555200,2070,1555200,2071,1555200,2071,1958400,2072,1958400,2073,1958400,2073,1958400,2068,18,2070,0,2071,0,2071,0,2072,100,2073,0,2073,0,2074,0,
2172,3,2168,2790260,2171,1555562,0,2173,180000,2174,0,2268,1555200,2169,1555200,2169,1555200,2170,1555200,2170,1958400,2171,1958400,2172,1958400,2173,1958400,2168,44,2169,25,2170,0,2170,0,2171,100,2172,18,2172,0,2173,0,
2275,3,2269,2790220,2274,642664,0,2277,180000,2277,0,2368,1555200,2270,1555200,2271,1555200,2272,1555200,2273,960000,2274,960000,2275,960000,2276,960000,2269,40,2270,12,2272,11,2273,0,2274,0,2275,0,2276,0,2277,0,
2374,3,2369,2790692,2373,1233051,0,2375,180000,2375,0,2469,1555200,2369,1555200,2370,1555200,2371,1555200,2372,1536000,2373,1536000,2374,1536000,2374,1536000,2369,37,2370,44,2371,20,2372,22,2373,50,2373,10,2374,0,2375,0,
2476,3,2472,2790896,2475,1260113,0,2478,180000,2478,0,2569,1555200,2472,1555200,2473,1555200,2474,1555200,2474,1958400,2475,1958400,2476,1958400,2477,1958400,2471,0,2473,9,2474,9,2474,0,2475,100,2476,10,2476,0,2477,0,
2575,3,2571,2790944,2574,1554093,0,2576,180000,2576,0,2670,1555200,2571,1555200,2572,1555200,2573,1555200,2574,1958400,2574,1958400,2575,1958400,2576,1958400,2570,44,2572,10,2573,0,2573,0,2574,100,2575,10,2576,0,2576,0,
2676,3,2671,2791192,2675,1539753,0,2677,180000,2677,0,2770,1344000,2672,1555200,2672,1555200,2673,1555200,2674,1958400,2675,1958400,2676,1958400,2676,1958400,2671,22,2672,10,2673,20,2674,0,2675,100,2676,0,2676,0,2677,0,
2775,3,2772,2791796,2775,1297230,0,2777,180000,2777,0,2871,1555200,2772,1344000,2773,1344000,2773,1344000,2774,1958400,2775,1958400,2776,1958400,2776,1958400,2771,11,2773,20,2773,0,2774,11,2775,100,2775,27,2776,0,2777,0,
2877,3,2873,2792044,2876,1669903,0,2879,180000,2879,0,2972,460800,2873,1555200,2874,1555200,2875,1555200,2876,1958400,2876,1958400,2877,1958400,2878,1958400,2872,45,2874,0,2875,0,2875,0,2876,100,2877,0,2878,0,2878,0,
2981,3,2974,2792004,2979,1136241,0,2983,180000,2984,0,3072,864000,2974,600000,2975,600000,2976,600000,2977,1958400,2979,1958400,2981,1958400,2982,1958400,2973,40,2975,0,2976,10,2977,9,2978,100,2980,16,2982,9,2983,0,
3077,3,3073,2791912,3076,1610509,0,3079,180000,3079,0,3172,1555200,3074,864000,3074,864000,3075,864000,3076,1958400,3076,1958400,3077,1958400,3078,1958400,3073,50,3074,25,3075,0,3076,27,3076,100,3077,11,3077,0,3078,0,
3178,3,3174,2792212,3177,1916036,224454,3179,180000,3179,0,3273,1555200,3174,1555200,3175,1555200,3176,1555200,3176,1958400,3177,1958400,3178,1958400,3178,1958400,3173,60,3175,25,3176,0,3176,18,3177,100,3177,0,3178,0,3179,0,
3278,3,3274,2792212,3277,1254418,0,3279,180000,3279,0,3374,600000,3274,1555200,3275,1555200,3276,1555200,3276,1958400,3277,1958400,3278,1958400,3278,1958400,3274,27,3275,0,3276,0,3276,0,3277,100,3278,0,3278,10,3279,0,
3382,3,3376,2792212,3381,1280308,0,3383,180000,3384,0,3476,672000,3376,600000,3378,600000,3379,600000,3380,1958400,3381,1958400,3382,1958400,3383,1958400,3375,40,3378,20,3379,10,3380,0,3381,100,3382,0,3383,10,3383,0,
3498,3,3481,2791380,3495,1047616,0,3504,180000,3505,0,3575,1478400,3482,672000,3486,672000,3489,672000,3492,1958400,3495,1958400,3498,1958400,3502,1958400,3480,28,3485,33,3489,22,3492,10,3495,72,3497,0,3501,0,3504,0,
3589,3,3578,2792228,3587,1245308,0,3595,180000,3596,0,3676,1555200,3578,1478400,3580,1478400,3582,1478400,3585,1958400,3587,1958400,3590,1958400,3592,1958400,3577,55,3580,50,3582,44,3584,40,3587,0,3589,0,3591,0,3594,0,
3687,3,3678,2792964,3685,1511736,0,3691,180000,3691,0,3776,1555200,3678,1555200,3680,1555200,3682,1555200,3684,1824000,3685,1824000,3687,1824000,3689,1824000,3677,50,3680,40,3682,20,3683,0,3685,77,3687,0,3688,0,3690,0,
3789,3,3779,2791888,3787,1404990,0,3794,180000,3794,0,3876,1555200,3779,1555200,3781,1555200,3783,1555200,3785,1958400,3787,1958400,3790,1958400,3792,1958400,3778,12,3781,10,3783,10,3785,16,3787,100,3789,10,3791,0,3793,0,
3887,3,3879,2791888,3886,1754856,63274,3891,180000,3891,0,3977,1555200,3879,1555200,3881,1555200,3883,1555200,3884,1958400,3886,1958400,3888,1958400,3889,1958400,3878,44,3881,18,3882,10,3884,10,3885,100,3887,0,3889,0,3890,0,
3993,3,3981,2788836,3991,1268758,0,3996,180000,3996,0,4077,1555200,3982,1555200,3985,1555200,3987,1555200,3989,1958400,3991,1958400,3993,1958400,3995,1958400,3980,9,3984,20,3986,0,3988,0,3990,100,3993,0,3995,0,3996,0,
4088,3,4080,2784236,4087,602287,0,4092,180000,4092,0,4178,1555200,4080,1555200,4082,1555200,4083,1555200,4085,1958400,4087,1958400,4089,1958400,4090,1958400,4079,50,4082,14,4083,10,4085,10,4086,0,4088,100,4090,0,4092,0,
4194,3,4183,2784484,4192,1311779,0,4197,180000,4197,0,4278,1555200,4184,1555200,4187,1555200,4189,1555200,4190,1958400,4193,1958400,4195,1958400,4196,1958400,4181,0,4186,25,4188,10,4190,0,4192,0,4194,100,4196,0,4196,0,
4295,3,4282,2784144,4293,1491031,0,4297,180000,4297,0,4379,1555200,4283,1555200,4285,1555200,4288,1555200,4290,1958400,4293,1958400,4295,1958400,4296,1958400,4280,40,4284,0,4287,10,4290,10,4292,0,4295,100,4296,0,4297,0,
4390,3,4381,2784388,4388,1491031,0,4393,180000,4394,0,4480,1344000,4381,1555200,4383,1555200,4385,1555200,4386,1958400,4388,1958400,4390,1958400,4392,1958400,4380,50,4383,0,4384,0,4386,10,4388,0,4390,100,4391,0,4393,0,
4495,3,4484,2784584,4495,1616568,0,4497,180000,4497,0,4580,1478400,4485,1344000,4487,1344000,4491,1478400,4494,1824000,4495,1824000,4496,1824000,4496,1824000,4482,30,4486,9,4490,18,4493,10,4494,18,4495,100,4496,9,4497,10,
4585,3,4581,2786616,4584,1872678,181096,4587,180000,4588,0,4680,1555200,4581,1478400,4582,1478400,4583,1478400,4584,1824000,4585,1824000,4586,1824000,4587,1824000,4580,45,4582,12,4583,0,4583,22,4584,25,4585,30,4586,33,4587,100,
4687,3,4681,2792196,4686,3850632,2159050,4689,180000,4689,0,4781,1555200,4682,1555200,4682,1555200,4683,1555200,4685,1824000,4686,1824000,4687,1824000,4688,1824000,4681,88,4682,63,4683,44,4684,50,4686,60,4687,55,4688,70,4689,100,
4785,3,4782,2793020,4785,2924003,1232421,4787,180000,4787,0,4881,1555200,4782,1555200,4783,1555200,4783,1555200,4784,1824000,4785,1824000,4786,1824000,4786,1824000,4781,25,4783,30,4783,11,4784,0,4784,36,4785,36,4786,11,4787,55,
